,created_at,tweet_text
0,2021-06-05 22:00:32,"['fun', 'wart', 'gnosi', 'httpstco8imolaphhj']"
1,2010-04-04 17:39:28,"['a', 'nifti', 'way', 'to', 'send', 'those', 'neat', 'powerpoint', 'slideshow', 'to', 'your', 'ipod', 'and', 'ipad', 'httpwwwauthorstreamcom']"
2,2010-03-13 12:31:32,"['rt', 'techcrunch', 'techcrunch', 'friday', 'giveaway', 'an', 'appl', 'ipad', 'crunch', 'httptcrnchdva2yw']"
3,2010-02-26 17:52:21,"['ignitedetroit', 'wa', 'soooooo', 'much', 'fun', 'last', 'night', 'im', 'look', 'forward', 'to', 'igniteannarbor', 'next', 'week']"
4,2010-02-22 23:58:53,"['i', 'love', 'you', 'uncondit', 'doesnt', 'mean', 'i', 'agre', 'with', 'you', 'on', 'a', 'damn', 'thing', 'though']"
5,2009-12-09 17:34:47,"['drintelmann', 'la2m', '80', 'of', 'tweet', 'come', 'from', 'mobil', 'phone', 'la2m', 'live', '›', 'httpustream8auz']"
6,2009-12-09 17:27:52,"['la2m', 'drintelmann', 'curiou', 'as', 'to', 'what', 'tool', 'you', 'prefer', 'to', 'use', 'for', 'mobilemarket', 'la2m', 'live', '›', 'httpustream8auz']"
7,2009-12-09 17:17:03,"['hey', 'la2m', 'love', 'the', 'moblil', 'bathroom', 'finder', 'from', 'charmin', 'la2m', 'live', '›', 'httpustream8auz']"
8,2009-04-02 16:39:40,"['i', 'am', 'the', 'embodi', 'and', 'express', 'of', 'a', 'seri', 'of', 'highli', 'unlik', 'improb', 'event', 'and', 'relationship', 'care', 'to', 'join', 'my', 'quantum', 'danc']"
9,2009-04-01 13:08:04,"['i', 'just', 'creat', 'a', 'twitter', 'account', 'for', 'the', 'chenil', 'sister', 'httpstwittercomchenillesist']"
10,2009-03-25 17:27:47,"['i', 'guess', 'it', 'time', 'to', 'learn', 'more', 'about', 'twitter']"
11,2008-07-03 19:18:32,"['the', 'daili', 'grind']"
12,2008-01-01 17:23:52,"['just', 'get', 'readi', 'to', 'go', 'out', 'and', 'shovel', 'snow', 'from', 'the', 'new', 'year', 'blizzard']"
