,created_at,tweet_text
0,2019-04-17 07:28:35,"['brilliant', 'use', 'of', 'new', 'technolog', 'to', 'solv', 'old', 'world', 'telephoni', 'problem', '😀', 'httpstcoa6xerxfoba']"
1,2018-10-09 13:01:54,"['a', 'short', 'amp', 'simpl', '3', 'minut', 'video', 'explain', 'the', 'differ', 'between', 'british', 'old', 'fashion', 'puls', 'dial', 'httpstcowjudxeiyjk']"
2,2018-10-09 13:01:52,"['i', 'ad', 'a', 'video', 'to', 'a', 'youtub', 'playlist', 'httpstcowjudxeiyjk', 'old', 'puls', 'diall', 'telephon', 'vs', 'push', 'button', 'tone', 'diall', 'phone']"
3,2018-08-10 16:44:56,"['landlin', 'oldphon', 'vintag', 'progress', 'httpstcon9bogpuleq']"
4,2018-08-09 21:39:07,"['classic', 'british', 'bakelit', 'telephon', 'from', 'the', '1950', 'httpstcodqsyk1x0ug']"
5,2017-11-03 10:54:08,"['fantast', 'work', '1940', 'british', 'bakelit', 'telephon', 'vintag', 'telephon', 'oldphon', 'bakelit', 'httpstcocattnvelfg']"
6,2017-10-26 09:31:57,"['bakelit', 'ww2', 'field', 'telephon', 'restor', 'httpstcozcdrvd4aa4']"
7,2017-09-08 14:30:23,"['if', 'you', 'plan', 'to', 'visit', 'massachusett', 'and', 'you', 'like', 'old', 'telephon', 'thi', 'look', 'like', 'a', 'good', 'place', 'to', 'put', 'on', 'your', 'schedul', 'httpstcoofln22pbjf']"
8,2017-09-04 15:23:31,"['unsung', 'hero', 'staff', 'who', 'help', 'uncov', 'secret', 'nazi', 'commun', 'gather', 'at', 'bletchley', 'park', 'codebreak', 'hq', 'httpstcoc00u2tjutl']"
9,2017-08-30 16:22:58,"['1938', 'explan', 'of', 'how', 'a', 'telephon', 'work', 'fast', 'forward', 'the', 'first', 'section', 'to', 'the', '4', 'min', 'in', 'piec', 'httpstcoov3kzpscrn', 'httpstcovyg6ixhhkt']"
10,2017-08-29 08:19:11,"['hi', 'tech', 'commun', 'for', 'special', 'oper', 'behind', 'enemi', 'line', 'dure', 'ww2', 'httpstcohlevo6e13z']"
11,2017-08-19 08:12:13,"['thi', 'just', 'appeal', 'to', 'my', 'sens', 'of', 'humour', 'httpstcoev66xn8vqu']"
12,2017-08-17 12:25:54,"['how', 'the', 'mobil', 'phone', 'ha', 'chang', 'over', 'the', 'last', '30', 'year', 'httpstcosxqj6p3evp']"
13,2017-08-12 22:10:53,"['origin', 'black', '746', 'telephon', 'httpstcobiuhlsfh2g']"
14,2017-08-11 10:58:34,"['746', 'telephon', 'of', 'the', '1970', 'bewar', 'inferior', 'qualiti', 'foreign', 'replica', 'that', 'cant', 'match', 'thi', 'british', 'engin', 'httpstcojhtiuo90hz', 'httpstcozfutsg7qbn']"
15,2017-08-09 15:53:59,"['that', 'whi', 'hull', 'ha', 'had', 'it', 'own', 'telephon', 'servic', 'for', 'as', 'long', 'as', 'anyon', 'can', 'rememb', 'httpstco4fkeohpmbd']"
16,2017-08-04 17:54:13,"['a', 'great', 'exampl', 'of', 'repurpos', 'a', 'red', 'telephon', 'box', 'becom', 'a', 'free', 'librari', 'vintag', 'httpstcovjockzvdun']"
17,2017-08-02 16:22:56,"['1888', 'yorkshir', 'district', 'telephon', 'phone', 'book', 'onli', 'a', 'small', 'book', 'as', 'not', 'mani', 'telephon', 'around', 'in', '1888', 'httpstcooa7pvcf40g']"
18,2017-07-27 10:31:19,"['151', 'year', 'ago', 'today', 'sinc', 'the', 'first', 'perman', 'transatlant', 'cabl', 'httpstcoxmyjevwtdn']"
19,2017-07-25 15:23:22,"['avmintl', 'i', 'am', 'think', 'of', 'buy', 'one', 'howev', 'i', 'have', 'a', 'lot', 'of', 'old', 'puls', 'diall', 'telephon', 'so', 'which', 'model', 'ata', 'support', 'puls', 'diall']"
20,2017-07-24 09:38:58,"['thi', 'look', 'as', 'though', 'it', 'could', 'be', 'interest', 'for', 'gpo', 'telephon', 'enthusiast', 'british', 'post', 'offic', 'in', 'telecommun', 'era', 'oldphon', 'gpo', 'httpstcog2pcpud4tr']"
21,2017-07-23 14:57:38,"['have', 'one', 'telephon', 'in', '1913', 'wa', 'amaz', 'but', 'have', '2', 'telephon', 'indic', 'you', 'had', 'to', 'have', 'been', 'a', 'real', 'technofreak', 'with', 'moneyinflu', 'httpstcop52zdmhlni']"
22,2017-07-23 14:37:58,"['1950', 'vintag', 'bakelit', 'telephon', 'use', 'as', 'a', 'voip', 'internet', 'phone', 'httpstcordbkysnsax', 'vintag', 'oldphon', 'voip', 'telephon', 'antiqu', 'httpstcotylijh6ufo']"
23,2017-07-12 13:08:30,"['hard', 'to', 'believ', 'that', 'befor', '1962', 'transatlant', 'tv', 'pictur', 'were', 'imposs', 'amaz', 'just', 'how', 'far', 'we', 'have', 'come', 'in', 'a', 'rel', 'short', 'time', 'httpstcorokatmqh66']"
24,2017-07-07 09:41:24,"['the', 'day', 'befor', 'mobil', 'phone', 'can', 'you', 'rememb', 'when', 'you', 'last', 'use', 'one', 'vintag', 'telephon', 'httpstcojxfzsjxrp4']"
