,screen_name,friends_count
0,TheStephanieS_,33
1,deon1900,11
2,GrogVaughan,769
3,theenigmaexp,1383
4,JasonMHouck,256131
5,GmdRochester,2
6,Sabrina71083192,14
7,KELLYV4U,22
8,AlfredHamadas,768
9,RayFontaine9,266
10,lestee_velardi,8
11,PopsyCakes,2911
12,Halas727,15
13,Maria16535358,6
14,1Wampel,97215
15,Angenettemcgre2,86
16,UrmeeShawon,205
17,farjanarashid55,783
18,hoch512,144
19,OlgaGvozdenovic,394
20,poodle_puppies,20
21,TracyBr30629601,304
22,khadizanazwa,83
23,AAFSouthFlorida,53
24,iqbal01021984,13
25,SFBJAudience,1121
26,ClippingPathSe2,21
27,hungryorganics,318
28,KREA_Food_Guns,691
29,FM_Creative_IT,579
30,coderarif24,178
31,salesforce,540795
32,shiftycrzytwn,1
33,tiffanymwang,51451
34,Johnafitness,17
35,WendysTortas2,273
36,minimalgraphix,5974
37,Johnboyrox,123
38,omniinks1,1
39,PalmKratom,88
40,CairnsKristen,7
41,FoodForThePoor,106487
42,drakelaw1,8
43,reapersays,10
44,terrinakamura,43103
45,divergenttravel,116982
46,BabarykoVip,662
47,premiumchatapp,33980
48,sandrapond,6
49,thebrewviews,6
50,thexsubtlexint1,3
51,cphawck2,22
52,6BillionPeople,2127213
53,JWhitefall,26
54,Long_Playldn,13387
55,breebreecuuh,50
56,SoFlGreenNews,259
57,ElriannahA,1
58,FODKWUTCh,25
59,arunus07,8
60,JWLeadership1,10
61,DineSavers,743
62,westboca302,12
63,Jimp1234pp,1
64,SloBodyYoga,52
65,LureFishbarSB,172
66,TheNavidad,70
67,JillyEnFuego,648
68,jacob_allen1,3416
69,farmerjoe555,8
70,bugleyes58,16
71,DoradoStrip,28
72,VictorGoldPA,1529
73,CrowdfundingDo,16983
74,jumiorfleury142,4
75,whiskerhead,455
76,GoPike13,1448
77,150Condoms,17
78,zizukodehox,45
79,86excuses,30
80,ashcakenc,47
81,1torontoroofing,505
82,pixelscut,4
83,bobbyjaytucker,21445
84,vzuccarini,24
85,DominiqueJusme,314
86,rachaelkay27,27
87,BigAdvantages,1557
88,GoAwesomePlaces,31535
89,ilovemyipm,1036
90,stefaniebnb,25
91,dailydetoxtips,1117
92,Samuel_Clemons,154378
93,pnordst3,13
94,ssmedia423,839
95,AdaptiveLOHAS,8321
96,mike_bull12,387
97,Di_Borodina1998,20
98,morelli0079,7
99,Michael15095914,4
100,AboZtam,16
101,US_GIFT_GIANT,51800
102,AmericanKnight2,124
103,inactiv84881337,1701
104,kenlubino4,9
105,RobLaBarFL2LV,266
106,paulbarrongroup,34547
107,dontai149,158
108,ShawnMSherlock,880
109,dbworsley2844,5
110,zafeiwu,1454
111,iamaaronfeld,300
112,FutrisTammy,44
113,NeriumN,113
114,JosueDemorisi,8
115,Kjariff79Torres,44
116,mtbbarriga49,101
117,bbkb85,27
118,AndyRattner,451
119,SavagePRGrrl,679
120,ddoonie,483
121,rebeccamcbane,589
122,wyke_john,13
123,OrganicHRVST,125
124,psychgurl5,5
125,CrossFitSquad,251
126,katrinahyoga,626
127,WestPalmPainter,319
128,KimPruittSpeaks,195
129,GoodGreensBars,2415
130,LiamNardoe,206
131,CarolineMerne,24
132,GlennGaramella,79
133,ShaiBarel_,212
134,DelPinoDelpino,126
135,StretchSynergy,1163
136,ClutchMaven,100
137,9d76d6f19e3c4f1,1
138,ActionCOACHJuan,272
139,RighteouslyRaw,6412
140,Roberta86516522,24
141,IgniteFG,86
142,itsmaxmajor,18280
143,ecoSouthFlorida,59
144,toysfortotsbk,58
145,LaylaHyer,17
146,sandikrakowski,266896
147,ThelaMedia,64
148,SooziNizooS,203
149,NewbPilot,95
150,LakeIdaVandals,391
151,ShaneRyans,99
152,CaraTRichardson,15
153,ConcordFLG,18
154,SheilaEMcRae,22
155,ShirleyLEicher,30
156,AimeeFHunt,25
157,CarrieRSchwandt,19
158,LelaKWolter,29
159,KristyGDaniel,20
160,DorothyACorona,16
161,CecilaFGoodwin,17
162,JeanRMitchell,24
163,PamelaBIbanez,23
164,EmilyRBasham,23
165,MarilynBGordon,19
166,AshleyOWells,20
167,IlonaRPonce,17
168,SheilaJRichard,25
169,AnneJHoward,28
170,TeresaPBriggs,24
171,AbbeyGMcDonald,19
172,AdelineJBucking,25
173,ReneeJDyson,25
174,AlexNPetersen,23
175,BerniceWHenry,29
176,CarmanWGress,23
177,SarahSSmall,19
178,JacindaAMahan,24
179,RuthHClayton,22
180,JeanRGillis,13
181,DorisARodrigue,20
182,TammyJIddings,36
183,DanielaTGreen,37
184,safe2microwave,653
185,OllieJHerrera,27
186,MariaJRenfro,25
187,MackenzieRQuinn,15
188,LeslieLAndrews,25
189,SusanJEisen,20
190,SharonSMartinez,24
191,AnthonyAMyers,19
192,MyraTHartman,26
193,SherryESidney,39
194,sc_saira,215
195,f_mattress,336
196,must_play_games,1204
197,Dan_Castillo85,4
198,thatgirlallie,5054
199,whskyjlt,211
200,BoyntonDentist,191
201,jeffcummins23,57
202,WeisbergL,71
203,takeabiteblog,4726
204,MickMclellan,25
205,jeremypound,669
206,BeatlesFifty,10
207,EcoSimplista_,154
208,Cheathmorgan,97
209,willy0179,21
210,PCVGallery,547
211,sunshinefarms_,448
212,TheNelsonGarcia,119
213,WorkspaceMGMT,621
214,chadhaertling,317
215,NitroFillLLC,37
216,BurtMaxs,896
217,coworkingdelray,236
218,donewyy,170
219,honeydelray,139
220,allhappening114,17
221,lesleyabravanel,63507
222,TheBoysFarmers,316
223,seanbsmith,444
224,organicallythin,79
225,Banana1966,24
226,TalkToTheManagr,39058
227,WellnessTru,3152
228,TracyCancro,325
229,thefoodbabe,98372
230,200HPLeft,544
231,jaguiar1989,323
232,TransPhonersFL,311
233,ModistFurnish,323
234,WayneDyerQuotes,54278
235,Empowered_PR,9770
236,SocialPortland,744
237,CreativeTastes,890
238,iwhimdiscounts,57164
239,JasonSimsPBC,191
240,Lingerini,342
241,marklancaster2,29
242,TheVioletWest,116
243,Mr_NiceGuyPB,567
244,StartupPBC,1614
245,jgloberman,35
246,KrystiPryde,18091
247,_franklasorsa,54
248,silvertech,2429
249,S3SunSurfSand,8764
250,EmpirePizzaCafe,7400
251,scoynebatson,654
252,StephenCaggiano,322152
253,HRCHollywoodFL,13675
254,VFLuxuryInsider,2113
255,CraveLocal,92412
256,TechPathTV,11960
257,M1ss_F1tz,357
258,WCFLA,1822
259,ashleybuttonow,243
260,nokidhungry,484664
261,melissalpacheco,2622
262,NURistorante,1029
263,BloodyMaryTour,656
264,LoveTequila,4503
265,nez_livingsmile,40
266,thebiostation,1610
267,rhino1225,45
268,514photography,90
269,sleeeping,1211
270,ikervsnadal,33
271,KWbeachliving,122
272,DineTheBreakers,1997
273,LauraSFuentes,20267
274,postano,5649
275,joewilsontv,22497
276,MichaelChelus,3340
277,GOLOrganicSport,13599
278,feelramira684,237
279,NCGLeasing,1480
280,jaimeatlanta,607
281,graceveni,36
282,LevySandra811,140
283,FlCritic,827
284,jhwjack,107
285,PaulCastronovo,13413
286,SFreedlive,70
287,webdesignforlat,169
288,mattofact,6887
289,QSRmagazine,23182
290,SomethingChang,49
291,usatabletop,28
292,BlackBox_Intel,2107
293,purehoneymagzzz,2087
294,kturnerOA,790
295,SupremeGrowers,466
296,appburst,325
297,BocaFrench,524
298,ShrewsPetCare,130
299,Eric_Roby,6213
300,Chicago_Sam,1263
301,scottabel,19830
302,JulienWatterlot,390
303,ModaMarioFL,162
304,jonahsachs,6157
305,aaronplaat,6604
306,PetersburgBroke,51
307,PMQpizzamag,10673
308,EnjoyWurk,14143
309,MorinHooper8193,1
310,colortheory,2285482
311,UltraCoedSports,243
312,PrincessModels,3188
313,just_adam1965,219
314,DrRobertMalone,529
315,robertplazar,8
316,pubquizpro,91
317,SOURCEFIRSTINC,17
318,MabeyJared,292
319,CaffeineSpaces,994
320,NefariousPepe,1
321,MilenaB0208,5
322,MichaelEch,28
323,LamyaWDL,29863
324,VitaLoungeEvent,12
325,FlipMoneyNow,17
326,jacqyeoh,308
327,SocialStarsUK,716
328,MyFTLB,2161
329,Juiceateria,317
330,KK1Sundin,21
331,BevDok,438
332,andrewisnothome,2199
333,BeachCoalition,613
334,DigitalArtFem,20872
335,OHaradev,38
336,drjoewhite45,4634
337,SavannahPlace,58
338,GETOOMI,124
339,LOVESTARGODDESS,396
340,AveMariaSuites,57
341,chrisroschek,20
342,aGoGoDesignTShi,68
343,MilkBurger,3291
344,vadotherapy,175
345,GoodFoodEXPO,5569
346,mswan0208,37
347,slowswimmer,262507
348,DeborahWFaust,140
349,LoobiGuides,12054
350,J_Maloneee,5
351,CfarrellCBS12,2936
352,VincentFoti,2325
353,GuerraMarketing,1486
354,SweetWaterPKL,8
355,TatianaCastFL,322
356,purrlita,114
357,laMadeleine,6534
358,LauraCastanza,13
359,OneBoyton,816
360,nBrandAnalytics,1523
361,steveburgerfi,343
362,BocaRatonCandle,640
363,Utatz,8
364,BellydaBelly,396
365,morkjohnmork,356
366,hollywoodlimo,606
367,FloridaApp,260
368,ErinPimm,807
369,dishcrawlfll,232
370,energyemily,65
371,ThatsMrHaley,494
372,risch_menu,374
373,LeadingEdge_,237
374,chepsadz,926
375,artistwithlight,65
376,BocaRatonCool,704
377,theredforkisme,118
378,MktgTalentInc,11051
379,bhups_rangop,63
380,FLDailyDealer,1409
381,katiedecosta,102
382,MiMoBiscayne,256
383,JmcneilEDENS,316
384,saraventiera,773
385,roseafani1,35
386,jaxonmo,88
387,AllenbyDerm,1908
388,MagnoliaPics,215791
389,AdamLipson,841
390,ricpratte,3849
391,MissMellie77,295
392,GreenYourGreen,271
393,aschwegm,376
394,DeirdraFuncheon,1406
395,crup,73
396,TheUnlucky13s,225
397,rohokitchen,579
398,ojezap,14975
399,unbeatablemedia,617
400,brandsrealized,96
401,JanusBrandsInc,313
402,iProdoos,168
403,BrandingInsider,16575
404,YourLocalEvents,47
405,eblong11,244
406,NormanDemorte,434
407,primaryAFStaffi,5
408,mikiristo,12
409,modernasestrica,47
410,Freethought001,28
411,SFECrossFit,485
412,XinfuCEOs,35295
413,VillainWOD,9
414,realglowed,3630
415,BestRealtorSFL,157
416,Shrimpcake561,56
417,wphostess,237
418,CymbidiumEvents,1497
419,Gairaca,177
420,GoatTape,2268
421,LeeZucker,403
422,Bricor_Inc,23473
423,USAirways,467521
424,RikyuLondon,939
425,ErickaSwabb,1935
426,ClintSLee,383
427,FrontFlip,894
428,sloanesapan,131
429,IvanniaZ,71
430,MissLissetteG,3022
431,jollygreenfl,9
432,dadaofdelray,514
433,Yolo_Restaurant,15523
434,Bryankorourke,78608
435,theclaydunn,1474
436,VagabondsMiami,2971
437,Lust4Surf,658
438,officekoolade,224
439,DanielleBB14Fan,186
440,HilaryBLong,185
441,STOKEDENT,361
442,conkretedigital,411
443,TCBY,9226
444,mrkbuck68,16
445,KathysVacations,29
446,SFLCrossFit,156
447,FreshConsulting,5034
448,eddybadrina,6685
449,RyanBlaire,364
450,GardenTowers,7060
451,aya_mikami,753
452,sfteich,144
453,glapenna,18
454,bobby_renaud,72
455,ShiftNote,1219
456,CaRestaurantGal,1088
457,TPMRich,14346
458,wodFuel,440
459,johnhaydon,39060
460,ACCFF,510
461,BrickYardinBoca,1273
462,saracshake,1676
463,FLspine,518
464,BarflyMIA,342
465,heysurveypay,779
466,SweetOneHundred,219
467,Asterleaf,409
468,PotionsInMotion,922
469,brsignsintl,30
470,GetGoodDrinks,117
471,TeichWM,394
472,NewsRestaurants,870
473,keithgallant,817
474,cucumberandrose,2374
475,deshonallen,3766
476,DunkinSouthFL,6364
477,dryagedkev,1342
478,chrisdenc,425
479,wheatzel,114
480,LivingFLA,7419
481,YardHouse,42062
482,JanNorrisdotcom,1161
483,areasonfordoubt,741
484,Image360FTL,521
485,GoMobileNation,360
486,JulietaQuerol,284
487,michael_silva,607
488,DelVecchioPizza,513
489,editionARTshow,359
490,GallagherSells,14
491,ChinaGrillFtL,370
492,PeterPanDiner1,397
493,JulietSalon,689
494,ardormarketing,2271
495,BocasBestPizza,223
496,constantcarenet,47
497,fusionarie,16
498,C3Career,268
499,SoFlo_Source,1870
500,paleobay,1104
501,JitterbugAnna,114
502,parktavernfl,639
503,scottnesss,238
504,mreboa,284
505,KellyCoulson,566
506,Fiatluxnyc,785
507,Leadagers,4162
508,WineWatch,1612
509,RMHCFamily,1792
510,MoreThanPaleo,164
511,CleanLifeTips,98
512,doitfortime,309
513,KellyHagarSF,1213
514,nicolebiscuiti,478
515,CreekRanch,3026
516,SlashWorkX,18283
517,BrookeTAhrens,15
518,marubazua,378
519,Sean_OHanlon,3674
520,JereHedrich,9479
521,KalaCala,228
522,baltiausa,49164
523,Yevettekhs,238
524,PalmBeachDating,254
525,Ryanlane04,23
526,jennysbest,1365
527,worstpizza,4078
528,laurenmalis,439
529,jasonmorley23,1005
530,Peterheumann,38
531,_DowntownDetail,125
532,kkstormcenter,17265
533,NYCgreencity,2495
534,Sustainatopia,1889
535,PatriciaSmithFI,268
536,ChallamaMiami,469
537,FranchiseMall,13076
538,TerrySmithMiami,217
539,LeshaIncera7484,183
540,LaurenRock,2050
541,kincowhanted,24
542,jcnz88,1192
543,SMMEXPERT007,12670
544,fireman_murphy,35
545,RyanSides225,6034
546,posdave,82
547,alexriggsmiller,454
548,speakingofsavvy,324
549,silverstein78,12
550,BlogAboutWine,523
551,levilgarza,239
552,CoterieAgency,1268
553,Restaurant_com,38154
554,JoeLyle3899,209
555,DiamondSvc,1110
556,InTheKoop,693
557,djdigdoug,822
558,YoshikoSushi1,7
559,alayaoshira,19020
560,Ryan_Belmore,1984
561,vivekchugh,99
562,jeffdukedotcom,154
563,organicmania,7917
564,PBRestaurantWk,489
565,FarmerJay1,664
566,OWKids,2902
567,StephanieOleyek,3
568,grantportier,214
569,wolfiecomedy,10707
570,MoeOvens,319
571,savortonight,4615
572,HalfTabDeals,66
573,SignsDetroit,62
574,pestdoctorinc,692
575,CarsThenCarsNow,113
576,getpunchh,25603
577,bizkette,46
578,SusanPenrodPR,332
579,TvRepairSpecial,259
580,mamagizzipasta,881
581,CoachAshley,15
582,umypomocek,46
583,venetiastyl,228
584,DominoEffectGrp,83
585,SolarProducts4u,300
586,LinenSupplyServ,234
587,JimmyCwong,8
588,georgeraythomas,20
589,chelseabressler,477
590,KidsLiveWell,3476
591,Tericalo70,339
592,Tonishafa81,306
593,kellijean,173
594,MagicCityTattoo,24
595,EyedentityLabel,351
596,jasonsims,344
597,CHARTtrainers,1707
598,GCLinenService,202
599,Sale2ndMotors,27
600,HVACJax,276
601,BetterManagers,626
602,jessarb,434
603,GOLSteakhouse,167
604,Kriskos,81
605,showing29,462
606,rafajconde,467
607,GilmoreGlobal,1170
608,BurgerFi,13677
609,blw627,60
610,strwbrywine20,35
611,LauroAuction,321
612,dosuperb_canada,1905
613,westonflonline,1497
614,Tap42Bar,22837
615,SeekTheBanana,57
616,EcoSimplista,241
617,PSPAMiami,424
618,mindingyourbiz,5459
619,EcoEvaluator,32211
620,ChadHandley,195
621,gstenback,130
622,rogeriocaiana,84
623,GuesthouseMusic,3394
624,NickBergelt,303
625,dwgsports,693
626,we_eat_local,2126
627,Zavee,735
628,HRGuySerchia,938
629,djchang_9,1085
630,ProfitableFood,158
631,Princessqux,224
632,DanMicovic,1510
633,ThrowBackGarage,362
