,id,friends_count
0,2172530634,1709
1,4697243604,523
2,26743035,3118
3,1256705497207537664,304
4,2335864922,962
5,148806588,724
6,1255096499886796801,340
7,810238442508533761,3362
8,1110890454856486912,908
9,1334164180811788297,176
10,875525911,1497
11,761862806,13676
12,1341593274,730
13,2176848420,672
14,49098630,118
15,1548914869,257
16,1374292404082253826,70
17,870158487015362560,1560
18,246449210,960
19,158201610,964
20,269889808,1725
21,183653194,260
22,1347109970811219971,552
23,14301629,1166
24,2806482400,2182
25,460517052,271
26,1242914542193119236,192
27,198569453,550
28,961800339967172608,201
29,867277129821638656,953
30,442773057,562
31,324332258,761
32,1326530172489707522,707
33,704579319205601280,858
34,125368828,2998
35,21361705,96037
36,12228802,1801
37,224012395,838
38,37280702,823
39,265557587,1375
40,279137417,502
41,242900836,723
42,300487888,1695
43,1247643924845469698,1
44,223011729,2058
45,131472293,1203
46,805602750851645441,766
47,832358470850592769,10266
48,1039236173938548736,3798
49,386420847,398
50,58761547,1419
51,1149205236600442880,125
52,295877899,328
53,194635397,7489
54,1829916098,474
55,2921983427,2896
56,2152582716,794
57,376821982,1502
58,120620613,33450
59,293646665,6650
60,459368858,2546
61,1264813099724521472,531
62,1261441935774007296,6343
63,282058309,543
64,2287781,487
65,164209554,1944
66,876941320102793221,28
67,1241683644768493568,141
68,157809480,2097
69,249179336,267
70,176020738,574
71,260967332,1848
72,813286,591487
73,1069904422443081728,940
74,408104428,3023
75,304990157,1899
76,2165461283,4999
77,289572320,3362
78,130980349,1000
79,1035545746836283392,1080
80,222547337,1467
81,2382361092,954
82,223785636,2483
83,144114055,566
84,3017981109,2187
85,99951839,1671
86,883433915926667265,2912
87,2992723828,895
88,39208916,1130
89,1443378294,1210
90,2458056671,4331
91,2345139698,1697
92,1372464301,1034
93,727102952,2865
94,968537335024537601,613
95,610465743,664
96,98781946,893
97,265953469,965
98,2878658775,3262
99,1044272969055440897,1633
100,274450702,2564
101,276699566,1835
102,421246508,753
103,631260803,3909
104,472153974,1360
105,88225843,744
106,29151579,996
107,321289174,1319
108,244483940,1200
109,317226440,2071
110,10613982,3238
111,161021621,4336
112,162591747,2424
113,703324512243343360,914
114,135221415,3271
115,613469003,1822
116,1004629805453672448,244
117,4638647352,2876
118,1052566439117410304,1949
119,1262358540,1640
120,280148714,2003
121,281627699,1296
122,715890348569010176,21253
123,1340011,1118
124,2377573030,2097
125,62314916,1808
126,260279056,328
127,66416696,2119
128,385994410,427
129,122123333,3232
130,68250986,305
131,19866509,999
132,17961887,2043
133,10250322,1224
134,44807998,1599
135,331304682,564
136,301101202,1530
137,2479448087,296
138,103614769,927
139,924361428198461441,9910
140,55523059,5233
141,408718242,809
142,204060294,1233
143,296541494,2151
144,1179616603,49
145,259190375,4666
146,3300574151,3135
147,998682999276359681,1259
148,529634658,1710
149,1113947380678897665,260
150,701849940809662464,90025
151,1041334590768525312,579
152,2565624127,662
153,829529994,466
154,242856842,1370
155,211709207,597
156,337259737,1287
157,267289786,3530
158,15047357,707
159,248763460,3694
160,1008658699509002240,371
161,145454536,859
162,784725809001066496,1691
163,17474018,2821
164,300841258,1379
165,225445834,2381
166,860154557741092864,375
167,378641626,1094
168,226364015,856
169,166252212,864
170,106204123,1410
171,788363167,714
172,322106815,6320
173,446460791,61
174,813222199,2690
175,148155433,1391
176,336009226,1042
177,444252079,2040
178,3693151876,130
179,1036612988982239232,407
180,17339358,1337
181,46700541,2233
182,302129033,310
183,818776501617393665,1017
184,398219668,440
185,434459666,2018
186,89718504,576
187,300175622,285
188,181810818,1834
189,205650506,3499
190,977556586561404928,219
191,277980170,3161
192,454415722,996
193,85780464,1417
194,772798294640721921,216
195,2899223091,409
