,id,friends_count
0,78194111,2190
1,1203037045364609024,79
2,816201896,99
3,2569743630,630
4,1193986148634447874,2
5,30354991,735
6,152770214,418
7,14529929,9898
8,471677441,1499
9,243814985,2
10,923930976983580672,23
11,2467791,1701
12,17092592,367
13,304679484,835
14,58392267,313
15,231510077,2793
16,892275857779118080,140161
17,198596758,1317
18,756008923,1315
19,2952850902,525
20,47379354,2701
21,20747881,281
22,17337857,12
23,269940592,1103
24,910492003359760384,44
25,12046902,2087
26,986347466965618694,46
27,43808848,27
28,48612282,553
29,2386299422,709
30,991796421253791744,2130
31,615213967,403
32,38232487,300
33,36743910,194
34,18018355,5413
35,22771961,4835
36,19910041,278
37,251918778,2264
38,1138959692,3388
39,1870306951,10686
40,643443,15
41,29501253,794
42,2732424194,208
43,2916305152,1
44,22790881,1611
45,18789893,6290
46,209811713,2126
47,14924965,3526
48,28602948,374
49,16056306,227
50,313484442,652
51,1623326396,175
52,50421081,7
53,292083207,5448
54,17494010,24480
55,2732010782,924
56,22677427,2500
57,733732977528705025,25
58,772941628134699008,101
59,797595258603376641,26
60,19697415,37
61,776198324747575297,742
62,10978362,757
63,23477836,165
64,22804156,151
65,1220285708,635
66,2303406624,284
67,4597092982,3
68,69008563,78
69,23440052,256
70,217461138,199
71,115044590,2385
72,213969309,805
73,108247668,48
74,226087776,12669
75,26121279,5
76,20756241,2723
77,21829541,1100
78,82322622,441
79,556260847,299
80,214413743,192
81,353786894,337
82,515803070,875
83,72254901,536
84,125832497,258
85,18251057,1116
86,172706057,637
87,38949480,190
88,2204034272,3574
89,199607307,15
90,2341852478,184
91,3221501520,1
92,42519612,486
93,1138049695,52
94,809244019,1477
95,169586790,1478
96,10671602,754
97,928703310,297
98,458713553,636
99,30541409,385
100,286404391,590
101,607281049,273
102,393672457,290
103,386420143,291
104,14082692,280
105,1937010824,10
106,298111983,43
107,67793425,359
108,44407505,1803
109,111428431,223
110,14616690,56
111,783214,35
112,50322409,374
113,431307917,61
114,19748371,1407
115,27697863,331
116,26109965,423
117,130573947,8
118,902514518,1
119,15473958,172
120,409486555,15
121,340333435,70
122,168264219,9
123,23097930,955
124,69066063,774
125,287684538,1
126,23006794,1732
127,15966494,276
128,180821354,45
129,23122466,2317
130,170080879,1
131,78212555,1
132,76795508,160
133,128637475,18
134,56313269,35
135,16457972,21
136,23611092,128
137,19658936,527
138,34214919,23
139,15901190,320
140,20822080,44
141,6977642,3316
142,14548211,56
143,16381279,2
144,21105230,820
145,798924,1949
146,17094588,78
147,17994678,11
148,14326840,929
149,16485096,3
150,17420239,15
151,813286,591624
152,17888322,93
153,15476318,429
154,939091,47
155,17220934,42
156,17828095,213
