,id,friends_count
0,2902349190,97
1,382386622,271
2,297047872,6
3,14133970,466
4,12044602,418
5,20706096,1001
6,1166413785055338496,43
7,409486555,15
8,1308908961538535424,33
9,30354991,734
10,1028115176149667840,340
11,21249970,70
12,14642495,4205
13,29873662,411
14,50393960,283
15,19740363,600
16,15764644,361
17,970207298,514
18,29442313,2330
19,138203134,3241
20,1082776909535076352,491
21,216939636,562
22,46335511,382
23,854032031977811968,786
24,714432696093646852,16
25,146316919,2679
26,285428413,1
27,42562446,810
28,2813398537,88
29,20717004,364
30,79923701,3769
31,175091719,403
32,865226690842308608,42
33,112764405,1088
34,28406270,3352
35,808523585232859137,154
36,81982525,2959
37,4385491,876
38,813286,591581
39,2251623492,1
40,1656244670,820
41,337405519,275
42,254218142,892
43,3280352616,40
44,26270913,911
45,27042513,18
46,16242081,468
47,104969057,818
48,18735167,986
49,5943622,20144
50,602317143,212
51,33838201,21
52,50090898,316
53,16115306,559
54,212361373,1733
55,47509268,1675
56,2826966145,232
57,2733440216,66
58,1001954352,1467
59,42924530,1252
60,18233184,617
61,780429,1269
62,60144640,4807
63,1023184723,5001
64,139245474,13
65,316389142,135
66,3594,671
67,2481485112,2
68,432833886,448
69,15222016,179
70,353789193,1520
71,1666038950,3995
72,1943578656,326
73,52351557,90
74,27457788,31
75,1636505665,86
76,1926831476,191
77,956619578,27
78,287952928,84
79,600150571,19
80,14211984,998
81,22903343,699
82,289509296,630
83,2161313119,1
84,583188020,35
85,274626857,4
86,1636590253,70
87,215060612,3101
88,16669898,5
89,5746452,1438
90,1184647243,5
91,9534522,1828
92,20348377,226
93,14231571,173
94,1336693088,105
95,14462439,208
96,668863,538
97,432971072,27
98,831894367,3
99,28130604,28183
100,110509537,309
101,752673,2652
102,340712528,115
103,11587602,671
104,1023096199,34
105,710963455,1
106,29255412,898
107,21454307,5867
108,53043664,396
109,785764172,1
110,172198913,15
111,17386551,593
112,21276574,325
113,16782697,165
114,9070452,730
115,19256563,51
116,21299513,185
117,881105347,12
118,11848692,573
119,539296619,36
120,9109122,6311
121,241157148,382
122,284225770,67
123,583914517,2931
124,467162656,2
125,16240267,1
126,8038312,680
127,14809096,301
128,202230373,271
129,15317640,819
130,4519121,624
131,8793142,167
132,700233696,333
133,19802879,418
134,66432490,363
135,615533958,2
136,22086312,1
137,6927562,255
138,17825445,2
139,15661871,995
140,264007125,49
141,96084671,452
142,64844802,30
143,266990704,338
144,15486395,995
145,6253282,38
146,14100886,186
147,81487274,268
148,18360980,80
149,518716530,1
150,35979629,182
151,10294322,397
152,10452222,425
153,17104751,223
154,438694535,2013
155,214542442,178
156,11458102,1178
157,10230812,35
158,63485337,227
159,637763,1596
160,539153822,16
161,51357842,901
162,529540581,1
163,14713941,751
164,10750482,415
165,183749519,637
166,257054218,704
167,14678973,1506
168,65608622,215
169,140603378,527
170,8207832,219
171,73074511,241
172,16521996,810
173,31311757,58
174,261546340,17
175,12448492,157
176,91985735,639
177,304033077,1425
178,814033,1105
179,86938585,188
180,6867422,786
181,18052480,384
182,5447362,638
183,113963,191
184,372475592,21
185,108382988,10
186,376825877,49
187,197263266,29
188,1140261,250
189,102238601,961
190,16601619,467
191,16105451,1392
192,195844641,546
193,5493662,2610
