,id,friends_count
0,801037522625318912,1021
1,2916305152,1
2,1057009147,549
3,773578637320880128,2305
4,121724948,2580
5,550306733,111
6,8269982,493
7,727680333252976640,1128
8,14181505,561
9,1224354154866532354,68
10,472177521,1
11,11032732,5
12,2189541,439
13,1228325660,3473
14,21885781,2459
15,1270191,1741
16,315490964,675
17,507846165,186
18,1029797947540746242,462
19,500712026,2096
20,549547165,963
21,65375396,329
22,1032648986753212417,552
23,2358690572,100
24,2301760633,104
25,322932811,241
26,54913,3773
27,283815467,686
28,16861128,347
29,16988411,135
30,232680302,873
31,14182218,1323
32,1017318347866853377,6
33,17884677,43369
34,18396070,997
35,50888802,83
36,15527013,186
37,356963,225
38,17241394,913
39,25046334,1541
40,16017475,1405
41,2319108198,139
42,17018765,1064
43,1070370312171212801,71
44,1314620513537454081,326
45,20348856,226
46,60757808,8075
47,14589511,887
48,129054853,535
49,3222838619,992
50,2704932312,3463
51,151166213,183
52,1363683771300671489,38
53,34754509,435
54,4815329302,359
55,1302398882186366976,47
56,1354898820400877571,1
57,324703658,23218
58,2779021436,527
59,280537869,907
60,958165347793801218,737
61,14211199,1576
62,2493607992,1554
63,1266418658521362432,2
64,1125499925935067138,260
65,18362598,230
66,47509268,1676
67,633,1622
68,1894231788,468
69,1236759885821460480,1027
70,112017535,2126
71,451131659,1313
72,157217115,2893
73,13294,537
74,50842840,432
75,1046929590663483392,338
76,3278906401,115
77,3190865591,256
78,3190865591,256
79,14161305,163
80,17044033,199
81,561589881,144
82,5867132,291
83,18822617,2915
84,9832832,1107
85,15398764,1474
86,3237409567,541
87,36838487,1970
88,15629210,6039
89,15138766,364
90,320534367,815
91,15692023,779
92,14230524,119719
93,21447363,234
94,216065430,1821
95,3230990990,87
96,14560214,2410
97,1222022367758688261,76
98,277327403,427
99,17006157,83
100,330012953,351
101,426044697,559
102,18840445,749
103,561955921,904
104,325385270,4512
105,775462585,1394
106,1174458963875618816,229
107,2895317462,211
108,15147376,26673
109,14163738,1305
110,161805283,959
111,3536736623,273
112,1595615893,39
113,884511390987407360,179
114,902926941413453824,1492
115,568066181,1024
116,55072921,64
117,200749589,275
118,35444603,509
119,2190757022,505
120,1098281649022750720,1913
121,14338147,479
122,176758255,1004
123,61417559,3781
124,14379660,621
125,2362854624,2439
126,139487079,1567
127,33962758,146
128,315991624,1343
129,183767243,672
130,15461779,880
131,16856857,729
