,id,friends_count
0,1507421174,978
1,255541786,1175
2,926459432,948
3,95978900,464
4,1651954200,1969
5,529610377,847
6,59580173,254
7,1390653205,56
8,985748287,1739
9,1577829090,538
10,375759945,84
11,983469158,63
12,1420784456,3827
13,1033226017,3639
14,1329209977,83
15,1672256814,13
16,1241151912,1593
17,1376165708,78
18,1329538688,269
19,162975699,1075
20,1318726975,1455
21,497187627,86796
22,145487046,24402
23,1380897698,1285
24,775523893,8841
25,1096661305,2866
26,187954544,4315
27,207824453,385
28,284234987,267
29,286848672,58527
30,156797273,31854
31,379759148,29
32,944893927,124
33,220747780,291
34,603142716,2025
35,340170004,375
36,100301791,2445
37,360375358,269439
38,531287034,357
39,233962623,448
40,1357196858,15
41,584331736,2498
42,800839231,20
43,446400849,38
44,161881650,294
45,135593453,6658
46,858620508,2816
47,1023554750,11
48,490278309,232
49,1328318299,19
50,69216142,69
51,1024261856,1578
52,399166017,918
53,600727191,615
54,37489804,1666
55,341311131,8478
56,226455726,347
57,887424378,727
58,1099990134,1703
59,1330816362,11
60,903028494,5002
61,951991616,1846
62,1143033565,1331
63,1357939844,854
64,1033903686,2506
65,815619120,918
66,601764580,930
67,93662917,2153
68,1348082443,985
69,1072375370,439
70,549071897,307
71,761889313,153
72,983503392,198
73,1302589363,1269
74,1349889632,902
75,152689412,44
76,1308688831,135
77,1179845726,2387
78,906519955,978
79,1365221574,1377
80,1128273780,163
81,243429013,777
82,975226832,1157
83,728889403,690
