,id,friends_count
0,755221886,333
1,465005378,86
2,1855266926,845
3,312020565,259
4,15433982,796
5,932852485,1650
6,1349149096909668363,12
7,1133282072699625472,35
8,1060923632828866561,24
9,2861608900,3788
10,141341662,10
11,1140060325,1182
12,271516607,39
13,230903043,140
14,2484386793,163
15,385570796,28
16,72215805,320
17,419532697,161
18,788817168716603392,2385
19,33537967,134616
20,14521617,570
21,91048230,61
22,1189990033203187712,8916
23,274503778,3122
24,127376410,2190
25,284598830,290
26,17569807,542
27,51259915,20
28,17220817,799
29,180536219,211
30,849913034793512961,350
31,3689114435,57
32,237670274,138
33,753706650477953024,18
34,489808285,2128
35,218664654,6
36,3546130695,61
37,299364430,1
38,164242095,1756
39,164242095,1756
40,623993618,21
41,1383296672,124
42,381212735,21
43,14132591,1316
44,2442847068,735
45,94047827,6
46,486755798,1086
47,463294936,28399
48,833194344,350
49,417841675,69
50,263055971,625
51,477680081,229
52,742934683,124
53,267659406,729
54,395984352,575
55,129911948,3616
56,105270230,205
57,1933042237,1527254
58,17925161,80
59,822377132,25
60,218671517,964
61,956316222303322112,166
62,4579083312,255
63,53848428,723
64,14134204,83477
65,45937003,1082
66,95297638,177
67,1353281612,1686
68,7555262,65437
69,3058826839,603
70,2154171,126
71,842577248871899137,976
72,913793200548122624,40
73,3309431548,13380
74,175091719,403
75,554487897,84051
76,778062382832742400,1388
77,468897402,26118
78,906395366328643584,48
79,907657591,945
80,38336805,495
81,138989408,554
82,54420047,94
83,4760694445,945
84,5548212,654161
85,833899214329442304,1180
86,809873333810393088,5
87,14645160,771683
88,62434079,1501
89,232783642,70
90,623369580,331
91,244520893,1448
92,825153022653128704,247
93,125481462,400
94,3917632342,4245
95,16191686,74
96,73279115,99
97,165964253,3823
98,240676055,275
99,3240143771,2
100,3236437008,11504
101,38139057,20768
102,3530911,495
103,4640462942,1840
104,1614008036,3089
105,19000376,583
106,740809202810118145,936
107,746557349574254593,261
108,766806660891357185,10
109,15086405,101
110,14957252,644
111,64508047,428
112,381639578,71
113,292594517,1496
114,106542971,386
115,2836941830,618
116,1692688128,2426
117,708072909114318848,427
118,3309375033,32
119,18062239,8193
120,40418283,144
121,830046786,1336
122,7384592,3367
123,51263826,1963
124,41383618,206
125,44196397,108
126,22938914,95
127,40837504,72
128,2316548786,1069
129,2100521,326
130,16701345,482
131,15473958,172
132,15165502,200
133,3317044735,182
134,245518737,4342
135,19084689,6712
136,44399968,569
137,393024497,195
138,10194392,1050
139,226219425,1761
140,3092542660,58
141,31353077,611
142,14296805,944
143,92140608,396
144,26133494,185
145,14929587,2269
146,128956175,21
147,272730913,462
148,2924808757,63
149,22304496,463
150,344790958,8497
151,7144422,247
152,2952690306,402
153,27859449,223
154,15575251,505
155,186613457,187
156,272785160,31
157,2230871,637
158,812804,684
159,99665860,558
160,284175684,636
161,15443999,1090
162,2849287063,21
163,8984102,507
164,15686433,623
165,838870002,489
166,249542083,479
167,111689551,92
168,2602315196,2643
169,135940987,102
170,37861434,6
171,814935025,336
172,98717763,562
173,2728662460,105
174,347941913,569
175,2528054786,2242
176,17051356,1772
177,533533975,421
178,22536055,105341
179,35229174,7271
180,14203895,1051
181,1688461,351
182,1412863136,142
183,36363235,94
184,745696832,18
185,441272553,30
186,562649713,425
187,55695989,238
188,13567782,3572
189,371042232,4
190,2227077463,45
191,58345427,69
192,81982525,2958
193,214717711,53
194,60350359,239
195,420537206,423
196,6449392,875
197,7426632,10754
198,17778594,4586
199,134156687,8128
200,116579566,2208
201,228435085,16587
202,20625256,560
203,19252878,81
204,14288478,1552
205,11435642,3917
206,16386077,604
207,685513,132
208,16579182,195
209,16376711,2837
210,58831565,83
211,1835411,2106
212,1120590650,499
213,479104097,260
214,1226156438,39
215,180200031,160
216,16619832,357
217,13348,2540
218,34175976,652
219,15834599,463
220,16428815,361
221,31574742,931
222,388574483,231
223,35981445,423
224,258899181,431
225,140505190,215
226,6476742,1520
227,989,1667
228,69625014,2503
229,29249778,207
230,602317143,212
231,597659476,35
232,521778168,68
233,15040446,4902
234,930061,565
235,16249481,2839
236,14749486,899
237,557015086,46
238,21213669,854
239,65119912,1020
240,791124,762
241,814253,2634
242,180505807,231
243,11864262,631
244,556343011,515
245,610533,1413
246,1242511,726
247,14717821,1097
248,9534522,1828
249,386825490,2
250,16754078,11115
251,119809267,505
252,25409819,147
253,497488508,92
254,110226247,171
255,112812887,148
256,369052137,10
257,121463393,9
258,74536754,497
259,34323617,13597
260,36771809,2495
261,17816767,7532
262,358383750,397
263,12176642,523
264,136363570,567
265,18424774,86
266,15751498,177
267,247492965,2085
268,169689492,1
269,5791442,387
270,126629610,2315
271,14324255,1079
272,14321021,287
273,11891542,3517
274,215034021,591
275,201415149,280
276,149589663,304
277,189222980,183
278,27553316,8613
279,15709297,8
280,17497078,45
281,15629990,106
282,136879221,3154
283,24584459,275
284,68824340,292
285,106802816,689
286,17093617,1441440
287,109706384,139
288,108438763,84
289,25048734,65
290,822222,987
291,7356562,620
292,15200194,1009
293,18908456,9
294,71078739,22
295,649133,1623
296,18005769,15
297,20574479,11
298,34720017,19
299,38038272,214
300,14803701,143618
301,10173562,4999
302,35519756,263
303,25943140,161
304,26008387,22
305,27961889,140
306,22182007,2281
307,20642205,581
308,15412587,1881
309,16721886,2172
310,27961547,529
311,18874041,1785
312,13411472,1672
313,14365385,571
314,19822242,553
315,17449749,461
316,18833883,10593
317,5516952,1323
318,15959560,1308
319,17978288,411
320,16513395,595
321,10350,1494
322,17725664,3746
323,657863,235
324,14413075,163
325,816214,934
326,8188062,651
327,14348594,4227
328,15662943,82
329,14741909,1715
330,3840,4947
331,14293573,818
332,14904477,62
333,15338162,847
334,14326840,929
335,767396,33332
336,1652731,190
337,14880439,422
338,15349321,312
339,12237102,321
340,3829151,3045
