,id,friends_count
0,756033804,621
1,1365624241912176640,11
2,311494913,203
3,818602449296650242,357
4,956598080773685248,321
5,765674258878066688,95
6,700738646404562944,888
7,1167017039254425600,50
8,1691583385,313
9,3376471342,2463
10,1012586159094943744,29
11,398306220,706
12,87830583,483
13,1501434991,472
14,3407656973,179
15,1308877351359479808,73
16,1301089742981943296,27
17,143538142,749
18,139398108,634
19,910486598,100
20,427739811,314
21,1268495094153383944,51
22,2235263843,165
23,43989162,1395
24,3339113661,374
25,1269932120409063424,196
26,1231124077965910016,22
27,1656252127,58
28,3030442552,203
29,1268968642445795328,40
30,239550528,536
31,144600462,2060
32,1116084037313916929,25
33,2319665089,1112
34,821457597752639488,52
35,1051392385983295488,969
36,1078904972186513409,2
37,1024131846190374912,16
38,922398883791093762,1185
39,2754746065,763
40,1038026209102385153,585
41,202230373,271
42,456913540,7
43,494546269,443
44,2802728405,48
45,795641762,77
46,4046824000,111
47,881647762172981249,947
48,303159789,392
49,135281645,319
50,28826893,5688
51,1090367333288206336,40
52,776196808909336577,8
53,1108819217304952833,155
54,1109271430192136192,941
55,1159829350964969472,13
56,1198006624213966853,83
57,918156793225863170,53
58,26280712,345
59,2431136251,17
60,1108326594471493632,94
61,1179747553513861125,2
62,1142200609237606407,1
63,1128954913214599173,149
64,1075893326602153984,122
65,877283146420686849,1591
66,1126832798919213062,293
67,731291507735461889,746
68,127550968,883
69,382307274,1378
70,712632800,942
71,775966205991616512,539
72,96997907,666
73,408328567,539
74,489837139,78
75,851377745309429765,659
76,2313256928,1467
77,4754087063,167
78,50323173,1619
79,44019254,1338
80,329629322,10
81,112462189,26
82,24576027,101
83,160933874,120
84,1017598938,2560
85,1182969685,99
86,391082704,326
87,3800768247,94
88,81680030,24
89,914844069557362690,82
90,987141928755126272,148
91,819936099254599680,90
92,903300910599819265,2223
93,1250228719,577
94,1035201811513139200,78
95,3373812033,1183
96,20463365,488
97,703294348327317509,431
98,136471123,403
99,325664710,770
100,271120943,178
101,7155842,596
102,1066151600,3088
103,460116210,355
104,835716212,560
105,105482552,651
106,15686753,361
107,64516431,540
108,399979555,4
109,397130729,805
110,18127130,494
111,631741925,3520
112,1964669514,862
113,250528138,1114
114,880442059391475712,476
115,613304383,2808
116,935742315389444096,852
117,879632564373266432,57
118,234044890,9483
119,994383526576435200,8
120,279510905,1021
121,208924932,854
122,107637333,654
123,990280944702705664,462
124,20884310,2445
125,908842727265021952,384
126,2929743297,181
127,894471262109618176,83
128,44196397,106
129,951947408316993537,205
130,4891810097,339
131,2189541,439
132,4831010888,1173
133,236132581,110
134,980836329566162944,334
135,902195575428407296,55
136,2881422017,1166
137,954671109789700096,399
138,935569705846353921,277
139,872975016828297216,690
140,877671962016919553,260
141,930877792773865473,1
142,968137879733096449,21
143,967393864368775168,67
144,2577886615,1010
145,16324992,125
146,3030973751,624
147,772745248363712512,49
148,775713041946116096,148
149,904191421158010880,1
150,909009874498940928,2
151,1888208708,366
152,3156511997,276
153,289551261,44
154,2309637680,2076
155,552561770,1522
156,910450011002912769,1556
157,2559422245,1695
158,288333760,80
159,118779247,240
160,35031708,144
161,2697459146,420
162,203876645,689
163,245396123,983
164,803993575801442307,2018
165,805877756957511684,147
166,786848750287351808,416
167,516856125,1318
168,4106809157,152
169,133045551,375
170,225977349,1801
171,738124624689520640,12
172,600029236,1552
173,257427186,2115
174,112211447,329
175,2765834914,1960
176,1927923236,321
177,219880244,22
178,369804188,262
179,701428128,379
180,2240848556,19208
181,276034478,1498
182,145669983,159
183,494321486,1397
184,276034185,1777
185,2910744329,470
186,410428427,67
187,3751863803,28
188,3176218161,61
189,3243599919,259
190,2834024512,384
191,3045794526,28
192,338533563,58
193,843281840,66
194,2416263915,1056
195,255085887,253
196,222061399,976
197,2249079716,107
198,2695206342,2366
199,306722206,1641
200,2469971159,318
201,1524883064,470
202,928390826,357
203,118789926,566
204,480448479,528
205,49429985,677
206,19923144,1824
207,597718220,663
208,344634424,136
209,2252408137,572
210,412921638,170
211,184018871,355
212,166772945,238
213,324665681,433
214,293521556,102
215,44850251,334
216,727645824,136
217,1492319377,24
218,791732840,788
219,1186526557,118
220,192902574,81
221,327304501,33
222,263698209,97
223,450134391,284
224,328072298,486
225,1633157107,570
226,312545910,8111
227,1468246230,444
228,199354750,78
229,469179013,2340
230,65369125,830
231,1027117627,303
232,260865188,291
233,1116792260,71
234,425824274,44
235,233487696,182
236,140313446,1143
237,50665193,191
238,370677103,304
239,611986351,17944
240,435258550,78
241,134818634,70
242,333158079,439
243,953669562,43
244,430861702,121
245,364875078,118
246,571028893,145
247,90615430,503
248,265586692,39
249,319099118,251
250,788893676,669
251,751821362,147
252,618288137,89
253,467254031,476
254,614705073,225
255,238097264,4192
256,509399457,436
257,503707434,17
258,180505807,228
259,548692722,26
260,186819314,383
261,432283846,34
262,394960805,401
263,211316744,52
264,397533648,170
265,283095685,388
266,282979199,156
267,382267114,161
268,93711247,331
269,379379825,46
270,146196386,88
271,176710534,102
272,286271339,418
273,338981202,183
274,289883736,23819
275,250660393,1133
276,2485041,589
277,50393960,281
278,731573,1118
279,31311757,58
280,1770311,1
281,305636219,847
282,1614411,257
283,11419202,1439
284,724783,2640
285,781293,2273
286,278172640,1389
287,6693932,1170
288,3968,590
289,285103276,109
290,56070060,1489
291,192669825,192
292,259649870,1
293,271476550,34
294,172380492,58
295,120030266,60
296,24219390,139
297,280421878,204
298,70730501,700
299,184875970,894
300,277163765,102
301,262370897,186
302,163559269,385
303,246980479,150
304,759086,345
305,40047903,692
306,80063829,288
307,2879941,578
308,118637921,206
309,17207954,401
310,19391646,74
311,23072073,40
