,screen_name,followers_count
0,owen_sakawa,46
1,EthanBampeire,6576
2,DEVYAHA1,33
3,vattanak_khun,4
4,dmitry_chekalin,78
5,nadia2247977708,34
6,NomsoOpara,51
7,anthonetti20,585
8,fautef,37
9,jacqueslepron,1
10,Sanjaym78827121,46
11,SanjayM78827127,9
12,FoundingSyd,666
13,theo_cioara,8
14,JeremyChampion,1461
15,pierreliascOGnI,902
16,cliqhaul,43
17,tlorenceau,2
18,AngkorHUB,967
19,jflaflamme,467
20,afenoum,498
21,getzegal,1668
22,OpudoDenis,668
23,SitterConnect,16
24,restyleclosetau,207
25,KK_DigitalWoman,153
26,SteeleAndMartin,3
27,MargonoNur,2
28,jordanphughes,613
29,freyahunter1,575
30,ChrisNkurunziza,1102
31,ayin_huang,7
32,Marcellia21,34
33,ozfundingalerts,75
34,B2B_Rocks,2073
35,LeasyAustralia,103
36,VCMagnet,394
37,FabienRoupsard,148
38,MCbellier,28
39,AnnePerego,15
40,RightClickVC,1573
41,FranchiseFin,86
42,hilma_ltf,158
43,johannerossi,127
44,TechboardAU,3659
45,Maker_n_Co,149
46,pkralle,2984
47,DiLoMakassar,1222
48,kairaff,500
49,PutriNursandini,3330
50,Entrepre_story,168
51,go_expat,45
52,startupmuster,4637
53,ghacklabs,12154
54,bigyahu,18141
55,we_are_designs,541
56,AppmonksAU,354
57,aureliusdrusus,86
58,StartSoc,2101
59,expat11emecirco,847
60,timlecointe,189
61,borisanggoro,626
62,Startup_Angels,550
63,nadiia_larina,270
64,persollo,353
65,aaronlepoidevin,1876
66,rooble2w,22
67,JLepron,133
68,marcjcowper,1341
69,TShape_me,578
70,AlexandreKohn,1215
71,pacificadsgroup,473
72,JoeHeffernan77,2
73,msft4startupsau,7589
74,lifeathired,218
75,TomMarechal6,13
76,help4innovators,3748
77,FannyB_B,332
78,Labloonde18,32
79,regisjay,407
80,madindine,7
81,SaWison,139
82,PeterIvett,6955
83,timmothyabel,81
84,clustox,131
85,celia_gremy,2356
86,shitondon,514
87,Cam_Lachiantee,49
88,voilawifi,49
89,LeoSyDenes,437
90,VincentMotte1,184
91,verinantoine,68
92,Home_Host,13
93,EsmeraldaLuxury,116
94,Australiance,752
95,HopNbar,29
96,cyborgprint,6
97,sanzoglassware,59
98,garnier12julien,24
99,claire_doin,8
100,Win_Shaine,54
101,DamianGoninan,9
102,itsfoz88,9
103,dejbfjdk,21
104,LES_PTITS_DADAS,4
105,ReefAgencyAU,2188
106,TimGrosvenor,25
107,matpercheron,27
108,EricEscale,63
109,Herve_Doucerain,2
110,bethlkgodfrey,6
111,dena_blue,11
112,groulti,57
113,jleblanc2704,95
114,14Wambua,6
115,RemiAubert,1419
116,texasophie,10
117,DamienOusaci,496
118,SylLorNaLee,317
119,JayWill185,95
120,loicsu,327
121,hadrienb,1233
122,solene_f,16
123,Bulloch1981,328
124,usforyoucomau,1679
125,matmat2315,28
126,capuchondubic,19
127,Delahaye33,18
128,SorinMatt,483
129,Woollahra_Hotel,15
130,ludoleray,158
131,DiegoolaOla,4
132,stroubble,2
133,62Days_com,108
134,saganwines,4
135,Lemonnierelodi1,51
136,pcad361,10
137,youyangswines,5
138,YogTopYoga,65
139,ChicParadice,115
140,chabinxl,25
141,mange_eric,94
142,sopheakmonkol,540
143,Procfort,106
144,CreateTrips,1978
145,jensenyang08,101
146,HabbenCharlie,1
147,jlcontou,274
148,bousra168,542
149,Jeromebenz,1825
150,ITWebAfrica,11382
151,Asteria_RE,245
152,f_vincourt,27
153,AxelVuibert,13
154,WiEdBo,189
155,NobleSpirits1,323
156,TurquoiseFlyer2,17
157,MaxGdj,1452
158,rudyboogy,83
159,SteckenTheo,431
160,akhomsi,184
161,KeemLylh,237
162,UrielnoSekai,809
163,moul,1099
164,yambatisme,45
165,francesurf,12138
166,florian_paulin,110
167,constanceviet,162
168,fabien_gasser,866
169,Ricicle,64
170,jamesjya,1952
171,GABdesva,517
172,azambeaux,37
173,ClaireMhjb,839
174,gvitrich,386
175,JeanSamK,10229
176,alexd,6608
177,kouidri12,45
178,stinebya,330
179,Eric_Bois,276
180,jeansevag,299
181,alxsdlt,119
182,happymuchfr,24
183,ClemLizop,15
184,YoshiFujita,16
185,StartUpBott,1457
186,b3ntri,259
187,nyobeart,416
188,TomEllesse,30
189,UnderThePole,1660
190,arctictweets,568
191,euroced,847
192,edolone,973
193,GEOfr,77770
194,Guillermo83,7938
195,cityzeum,4554
196,lorelei05,113
197,gromain,1281
198,w0arz,863
199,FranckLassagne,8621
200,nidbar,217
201,wynnemorris,23
