,screen_name,followers_count
0,opdavies,2015
1,WallisInfo_pvt,15
2,susanna_aho,474
3,JuhaJemartik,132
4,MarttiOjala,9
5,hetalad,36
6,hasttytti,80
7,hanna_artman,176
8,tormitabor,47
9,attractive_ai,100
10,ZwickZanow4,17
11,ygerasimov,548
12,LoriRob38324063,265
13,ulla_aresvuo,13
14,fluxusio,107
15,leponiemi,784
16,siesta_cloud,178
17,Acintweets,189
18,Jani_K,4
19,SiqniSurvey,56
20,SiqniSurvey,56
21,1onlinehost,871
22,lobster_ist,23
23,AllianceFintech,2295
24,VirpiMM,394
25,axelerant,1555
26,imoppel,17
27,BrilliantPlan08,578
28,shyam_raj,1760
29,watsonerror,368
30,xtfer,216
31,myunlimiteck,1314
32,rajab_natshah,871
33,foodprepfinland,11877
34,heinitiinonen,41
35,RAchonye,10
36,ITgenerator_com,873
37,FinTechVision,86
38,MikaPerttila,201
39,kati_sulin,13318
40,harrih,410
41,senioridevaaja,2539
42,roachnotes,399
43,RosenbergRiitta,168
44,yankovsky_t,1
45,dt_mates,73
46,usdv87,16
47,Iztok,3058
48,coherenceagency,1134
49,UiPath,90926
50,babecasie123,71
51,annakoronowska,12
52,bstr_finland,897
53,JariOvaskainen,332
54,chetanpanchal,366
55,agiledrop,1148
56,baddysonja,1756
57,develCuy,786
58,janne_hietala,490
59,DrupalLucknow,260
60,nikanant,192
61,MaciejLukianski,186
62,christianinbiz,971
63,samigranfors,417
64,avaus,1658
65,TalentedFi,719
66,Hanttae,146
67,MattiPalmu,19
68,amazeeio,1076
69,worktunity,125
70,Segments,1240
71,HRTrendInst,9846
72,montlsss,3
73,karolwojtaszek,110
74,juhtolv,210
75,web_peppers,1128
76,londontechbrief,346
77,pharmartstore,124
78,SannaE,1545
79,kubafilipowski,2626
80,ScatterSpoke,1071
81,JonnaMyllari,369
82,mbahor,600
83,dagtarin,32
84,ICFNewMexico,1063
85,anttirautakorpi,278
86,spenoir,69
87,comprock,895
88,NordstromPia,42
89,currencytransfr,1221
90,sydneydrupal,241
91,lena14,1024
92,EronenHeidi,221
93,jasonondesign,1214
94,botafoccat,364
95,CornwallBOTB,613
96,druidfi,670
97,Kassax,7204
98,juckix,41
99,vepsma,214
100,IntBestPractice,2612
101,Will_Heinemann,177
102,akoutlas,308
103,DeesonAgency,2837
104,aburrows,1374
105,simonwakeman,3699
106,RupertLB,710
107,markhopetweets,1759
108,spf13,30087
109,holmium,131
110,DrupalSurrey,36
111,knowledgetreeT,83
112,digiworkforce,764
113,reloaddk,403
114,AlexDeWinne,140
115,drop_guard,1008
116,youhoney,181
117,ros_bulych,214
118,bluearrowawards,737
119,Korkia_Group,1111
120,PreviousNext,976
121,MarinerPPM,732
122,claudiu_cristea,745
123,bhushanjawle,288
124,juho_paajanen,9
125,mo6nl,278
126,reszli,254
127,vijaycs85,1122
128,rabellamy,272
129,hunvreus,931
130,qSplit,75
131,PekkaRyhanen,1366
132,ashabed,530
133,maarif,171
134,LinLdr,128
135,robertcastelo,2213
136,lord_of_freaks,254
137,therealmarcusx,26
138,luiscastillo891,1053
139,wizonesolutions,1668
140,nikmettez,26
141,julia_graphics,4
142,c_lehel,356
143,druplified,85
144,cla_meme,161
145,ttlukkar,81
146,anttihellberg,69
147,jaakkokuurne_,7
148,kimmo_harju,7
149,bits_ee,80
150,jannevaltakari,226
151,JoburgAlex,642
152,HannaStolt,165
153,ferranriera,571
154,rafaelcichini,1980
155,TimMallezie,362
156,tarjatalks,282
157,HarriKoponen,3670
158,InParallelConf,61
159,mlncn,2019
160,ricovandevin,342
161,DrupalSquad,647
162,ChandeepKhosaDv,2683
163,AnttiSipila,2990
164,ravindrasingh01,1206
165,WCStockholm,255
166,Toshit_hyndpro,161
167,freistilbox,497
168,DaniaGerhardt,856
169,teppokoivula,451
170,DrupalPartners,273
171,yvonnedaher,312
172,midehammer,55
173,WeConnectMinds,6829
174,juhaetelaniemi,4344
175,247drupalr,134
176,teuvokarppinen,2151
177,heinihm,3227
178,lassedotleino,357
179,T_keksi,2
180,achton,396
181,startflowing,196
182,educoweb,3033
183,agentrickard,2406
184,aqeelkhan,600
185,betovarg,1154
186,martyvernon,553
187,advomatic,1376
188,natecopt,243
189,cheriwhite44,26
190,pixelmord,483
191,mbgolfer4life,78
192,RitaValja,34
193,ivarlaks,113
194,KellyMorganSOLD,16971
195,rstotland,384
196,tparssinen,188
197,j2schonert,666
198,mitrpaka,4
199,EdenJaeger,619
200,piyushpoddar,1108
201,Expressntverket,43
202,trinfinity,76
203,porkkanana,61
204,er_anwar,309
205,moisiakalina,40
206,anoopjohn,1394
207,usabilitysoft,346
208,dionmck,399
209,pinkstfer,1291
210,HannesKirsman,31
211,dietmarg,737
212,PaulaNikula,374
213,kushalmsp,138
214,RantanenLeo,1962
215,joshtaylor,392
216,stephanbarrett,1837
217,jaripullinen,1854
218,jaripullinen,1855
219,Vizpro_Agency,88
220,jussipiri,1231
221,LiliusPetra,602
222,LeaPapaya,16
223,outi_aari,18
224,TiinaLarsson,383
225,jariaxen,140
226,KieronSS,97
227,xAbhiGoel,214
228,vasamieselmeri,3
229,amuranen,1704
230,aake_n,2
231,bluedroplet,1900
232,mikkovirenius,526
233,atommic,133
234,mikkehelenius,147
235,jmakinen,869
236,LaaksoSanna,86
237,annukkaaurinko,173
238,KristiinaKaski,356
239,drupal_camps,529
240,SIsotalus,11
241,markusnieminen,10856
242,TechnopolisHQ,1885
243,p_artem,19
244,henripylvas,98
245,mikaelkulma,165
246,andreasstierna,723
247,FrederikVO,706
248,JoelPihlajamaa,146
249,UofATexan,42
250,geek_cat,24
251,GRUPPOMODELO,6
252,Hehkulamppu,89
253,tlaturi,1758
254,Kimou1188,1
255,roeldl,58
256,degrootjoris,107
257,karolbryksa,303
258,ediootti,2219
259,mattshilden,213
260,hugotm,31
261,peterraczpm,31
262,dcagencyltd,31
263,monsoonBharat,895
264,codeworks7,18
265,moerazem,630
266,marceloostdijk,391
267,ahaapaka,50
268,WeAreLemberg,1210
269,heikkiyrjola,62
270,aliceyerichmond,168
271,anngalland,258
272,robgr,424
273,cweagans,4614
274,WaelSaeedSaeed,263
275,bamlhs,166
276,Airwolf_80s,240
277,paololibanore,242
278,kaelle76,1180
279,jtbolstad,95
280,CKGFBvgmurphy,224
281,RageCubeJKL,24
282,pheiramo,553
283,LittleMsDrupal,812
284,SkillsForTeams,124
285,wiza_,70
286,dominiquedc,788
287,duksh_cms_ninja,74
288,NiklasJEriksson,88
289,nigauw,559
290,tero_w,698
291,ottomanninen,33
292,karppinen,251
293,drupalcampgbg,139
294,MathieuFrench,674
295,PeterLok,73
296,lesupermidget,123
297,Joce_Fournier,4302
298,aaltonenmari,502
299,KimmoSaarni,10
300,TomGrammens,335
301,TaruWeckroth,41
302,Oxxycoin,170
303,peterfredman,1340
304,akivanni,5238
305,hponka,10938
306,BunnyfeetFi,17
307,PetriHirvimaki,94
308,unitas_kl,46
309,liisamcdougall,9
310,AstaKujala,648
311,ilkkamakitalo,2667
312,echristensen42,2014
313,TuomasRuhanen,32
314,MarkkuVirtanen,134
315,ransu,1141
316,TuulaMkel,30
317,Pirkola,165
318,elinavaltonen,51318
319,ReijaL_ng,1710
320,frauruokamo,713
321,vemaho,772
322,__Passe__,8
323,DigitalistInfo,14462
324,villetolvanen,35761
325,CJuselius,95
326,docfromtheblock,1091
327,hfagerstrom,298
328,alter_spaces,321
329,iluli_eu,104144
330,MagnusSilen,89
331,Erwan_Leg,441
332,droptica,467
333,gvancout,454
334,jonsims,300
335,flowhub,97
336,michelvanvelde,909
337,daniellekulczyk,919
338,o8agency,659
339,michael19751,18
340,aapakari,10633
341,Innovestor,953
342,_basvdheijden,126
343,OnetoInfinite,2987
344,zaporylie,297
345,d8rules,1056
346,karhuhelsinkifi,23
347,RaatikainenSu,21
348,grzegorzbartman,787
349,DrupalCampPol,165
350,Feyisayo,389
351,MilttonCreative,2390
352,sampoaxelsson,2803
353,sage_tree,490
354,dcalpeadria,220
355,CandaceMoses5,193
356,juhanikataila,86
357,mmarjala,1475
358,PekkaValo,82
359,CodePositive,523
360,HarHarju,2
361,simonsurtees,383
362,mattivahtera,1005
363,pvhee,654
364,ctospring,14
365,pixelshelsinki,1369
366,drupaluganda,211
367,blautropf,111
368,mrbaileys,373
369,drupal_cafe,299
370,_StuartMiller,175
371,teenum,832
372,AndyKyr,465
373,natfoo,704
374,nickopris,340
375,precessionmedia,31
376,VKoiviola,1383
377,playnone,672
378,wikitalkoot,63
379,Luukyb,678
380,TarjaHillman,48
381,tommisaarela,26
382,PippaLaukka,4003
383,leancept,126
384,da_silverstein,873
385,claire_jac,30
386,CristianRAndrei,60
387,PetriHakanen,1095
388,JyrkiNivala,323
389,ChrisSchmechel,609
390,hytonet,729
391,vpeltoniemi,23
392,joKiville,177
393,jouni_makipaa,89
394,JoukoMarttila,4265
395,MariannaHyva,569
396,HannaMaria_A,33
397,AYlhainen,2799
398,HarkkeSatu,20
399,DrupalDaysEU,442
400,VirvaAimala,113
401,LEWL_Oy,46
402,teamcoach,610
403,chipway_en,316
404,Maastamuutto,443
405,jbbergmann,492
406,pekkamattila,4844
407,fenomenagency,24
408,joesb,839
409,PKauranne,60
410,ragonni,126
411,BaezGracianny,172
412,Talalus,943
413,THelppi,181
414,SoikkaCOM,1394
415,thereforeca,298
416,JuhaJavanainen,219
417,thomjjames,396
418,MXMCOM_SE,35
419,dronttioy,118
420,larowlan,1168
421,i_vi,2235
422,davidpirogov,30
423,hernanibf,492
424,RobVandenberg,1823
425,joonapenttila,128
426,rasmusluckow,950
427,akujaakko,123
428,khromov,431
429,drupalcanvascom,28
430,timdeeson,2060
431,vesakoti,459
432,kubair,1519
433,manarth,777
434,TuomasLeppnen,8
435,mikahatakka,23
436,MKSECom,1638
437,CadAbroad,88
438,geteastern,85
439,kielpfrost,94
440,lauramanki,3089
441,perhnystrom,140
442,MNHSoftskills,317
443,oetseli,172
444,fmmribeiro,123
445,hanzig,136
446,kobever,182
447,_twiq,298
448,rteijeiro,1841
449,WeebPal,153
450,mikumaria,8489
451,schrammos,175
452,aleksey_tk,253
453,mthamala,202
454,miro_dietiker,454
455,Wunder_io,1133
456,DrupalPin,408
457,jsalmio,302
458,krasinmaki,3
459,BVZ9,63
460,dimnazarenko,202
461,cbiggins,1615
462,alinouman92,119
463,adubism,490
464,memimedia,145
465,FiveMile,613
466,TapioNurminen,461
467,ToniSaloranta,39
468,stefvanlooveren,812
469,Jubec01,921
470,peterfeddo,1043
471,nois3lab,553
472,Drupal_NL,288
473,tuomastiihonen,643
474,FredPlais,1797
475,wearesynetic,290
476,ryancross,1592
477,jonpugh,1325
478,sameerverma,1389
479,AcharyaVaddey,252
480,cam8001,447
481,kallehiitola,188
482,colorfield,304
483,mori4you,892
484,MikkoMkynen,365
485,zetta200,10
486,surmohan,414
487,grifon,16
488,tom_olivera,256
489,drupalero,896
490,oschettler,334
491,GoalGorilla,895
492,PepeSanchez,591
493,Koenmunication,483
494,pkej_drupal,9
495,PSDtoPrestashop,135
496,JanisJanovskis,780
497,drupalcare,241
498,RantanenSusanna,5883
499,j_ryden,46
500,ojalamarjo,49
501,DavidStrauss,4408
502,FinnairHelps,13512
503,AnttiHalla,421
504,tmeire_,678
505,MCaccavano,972
506,jjuujarvi,19
507,plastic,568
508,Joomla_Pros,533
509,Jalojarvi,23
510,jussihalli,3362
511,simehobbs,634
512,webwonker,964
513,stephvhosny,1318
514,kaittodesk,3
515,codeenigma,1491
516,Jvrpa,69
517,pkej,615
518,sepposinkkonen,51
519,drupalcentricuk,2219
520,jawi_online,131
521,syrneus,1059
522,HeidiMaunu,92
523,tacopotze,1210
524,thomtoogood,564
525,agregwilson,242
526,mattimck,606
527,claudinec,1288
528,kmox83,464
529,zinak,613
530,WorldWideWili,18
531,LauriTuomola,836
532,_ImranAhmed,62
533,lanzeedotcom,170
534,sannejn,182
535,drupalfi,163
536,4M4T3UR,52
537,corparation21,5
538,plutado,10811
