,screen_name,followers_count
0,chase63120688,8
1,VirginiaCecil5,268
2,Maruf26752895,6
3,nnadiekwe2,9
4,7CEeAN4Gj00djdn,5
5,nature_and_wild,6317
6,KyawThuMin10,1
7,gvt_joseph,8
8,wtfomgworld,5607
9,avochanaw,6640
10,4579naito,195
11,cnGwllDd2Suocre,143
12,yuru_56__,585
13,y888jms,3401
14,reimu00606,1
15,phantom_kun_,271
16,tyokomeronn1,257
17,pyo002,10
18,kikiyo_lou,151
19,7bpeqJcR7tT60ms,96
20,rennrakusann,16
21,8z_____,1091
22,Qushl,22
23,fdmyonnnnn,9
24,_6_3_1,744
25,ninoninoshun,25113
26,2bF4LWxe9xHgUqs,2
27,moka_luz,71
28,0120_508_803,6
29,gryne_iii,18
30,DavideOberta,660
31,hasebeheshi,230
32,kerokerotyokobi,93
33,creeet4,401
34,p2irdlq,60
35,po_ke_aka,1423
36,omnisciencemoon,3318
37,mitsuha0719,11
38,sa6789342,210
39,3_uif,421
40,k_jvz,152
41,silver_jack22,115
42,Ahmancy01,793
43,YD29gpI1cADLYib,447
44,X8_K6,652
45,Yj8K1n,1730
46,SuitENDTired,4032
47,MoneDatte,156
48,g2d_r,467
49,marutiyanzzzz,421
50,sodaat055044,220
51,m0chiha215,404
52,LXLxz_,271
53,0_C_T,23956
54,m8_vK,337
55,Rodneygarcia8,994
56,v_zhiend,820
57,Diego_balvin,1427
58,RLXVS,28269
59,xxvoy,67
60,Sisters51321310,157
61,unkodaisensei,383
62,yoka52171,2139
63,minyankan,212
64,LgittVvQxLbRfk5,153
65,l38l3,332
66,I38I3,345
67,uox_o,339
68,0I00l0,312
69,SACHU2319,13
70,Ace_ch,2905
71,114514810_MUR,752
72,igrxh,359
73,r4TaICC1wGZv6bz,110
74,lollonhreira,88
75,x24_4,174
76,houtiaka04,52
77,kicchiguytarou,9
78,kaofffo,3464
79,AHYZKKcl010223,507
80,4_Ri_0,671
81,xn_wx,11
82,N4Rv8,169
83,WpiXr,306
84,XtmpamLife,709
85,sorasora_0320,904
86,nobunagahonnozi,3
87,LuckyDaddy9,6
88,hurikakemasu,513
89,1N0Rl,72473
90,a_a5p,1131
91,ryu23gtr,894
92,AITOA82,105
93,AzelZark,430
94,darknes548679,165
95,nyokugi945,70
96,Y0MIMARU,231
97,ryancansdale1,2494
98,gn_z_n,365
99,m90w0_lol,25
100,hack__Aj,4109
101,arukemi_0926,681
102,MoneBakugekiDao,2
103,__nanigasi,33939
104,_a81_,48494
105,9NEMidBqfFMzV1V,67
106,uraakadagg,200
107,kazyu0124,260
108,9_aeo,2570
109,aaaannnkk1,8654
110,tumugichan55,785
111,K0T0i,65
112,raikirimn4649,438
113,raia__yami,2038
114,miinataaaan,159
115,tsubada8,463
116,Mii0223mii,256
117,gmak_777day,4530
118,bakuchi_1,200
119,lol2I,5
120,GTA0o,14
121,orZx____,2
122,AssBX,5
123,PoqXl,6
124,RZRlx,7
125,ZqxlR,42
126,oozarukun,268
127,iLL_niboshi666,314
128,sanitoi06,231
129,Asuka_soccer,258
130,twrjtpmgtpwjtj,524
131,Moerugo5mi3,100
132,DORAGONzakura2,16783
133,yjsnpi114514y,103
134,ka0606ze,396
135,_meIitaso_,88
136,rp7j74herw1,324
137,kohh_fuck,266
138,riarrrr421,304
139,JkZw7k,1330
140,yuukuriKOIDE,19561
141,kfuzh,180
142,zadokieru_r34s,448
143,zwei_FD3S,311
144,wasarawasara931,12
145,Itsincited,41
146,OfuOJ1kHSJhyEN4,91
147,HnNTGUjOhFf7OQD,83
148,___Bielzinho___,93
149,XCrAEUEr7ICRG8,11
150,kotaroupp,85
151,HP858,213
152,NuP9y,4
153,subaru_yumi8888,8364
154,tesupasu,451
155,sr2bu,2097
156,R9d0L,30
157,yadon110,3
158,myapi396,20
159,gameululululul,29
160,follow4649_,520
161,ko_u_mu,321
162,BIGBANGMADE__,92
163,_ei10,12107
164,guchi_chan99,304
165,__xR7,201
166,io_0228,317
167,5_t4w,7
168,kf0vt,7
169,i0_su,9
170,Cl1yP,5
171,Xy7By,9
172,QkC0e,11
173,9st8R,5
174,3d72h,10
175,ZvgnA,6
176,UqF2r,9
177,i1v_k,3
178,n5w_e,7
179,_X_e_n_o_,93
180,ratesukeDezain,418
181,0USKQgKqzEiIqmZ,108
182,MlD0KU,1641
183,Tatsh_k,190
184,yuiandoorganic,910
185,daidara_channel,704
186,__ciel__love__,392
187,choiyami_yamina,686
188,ExkDx,54
189,mojikun00,1922
190,tekumo_road,2827
191,Z12345B,941
192,c5jco,7
193,Shipfucker40298,149
194,L1225K,160
195,Gutimi_5656,61
196,kumaponpon2164,29854
197,Love0start,70418
198,jmtmtpxuxptwtxt,529
199,jkmyemr,4
200,Mayyoufindmu,720
201,fertrefert,364
202,crow01417700,1373
203,tibamatudo2783_,441
204,RZqxl,7800
205,YwIIQWpxeSx1y0V,218
206,pomu2579,187
207,nekomanma12111,90
208,show_show_00,1899
209,nyn666nyn,310
210,mmmmiruku333,306
211,ze_ry55,330
212,Happy_end_15,73
213,woroworobot,132
214,nekusoku,12679
215,yunadgj,1155
216,PlwqywhD,4
217,inoko5123,95
218,Leptospira_AT,376
219,runa71077,1595
220,Y9eoFdd,177
221,rinnaloveeeeeee,301
222,Xa67649,6
223,Xa5112,50
224,N_E_K_U_A,130
225,oo_ajp5,1377
226,rk9njDJRe0aYg5b,686
227,Krvaqrcoflzi0j,292
228,FrhVtSL4WwqjRhr,8
229,ALkEeEe_jk,2583
230,CrazyTXG,2
231,RaiT89584974,202
232,TbtweetdT,17994
233,m78_r_b,171
234,tukino098,235
235,ElectroSympho,2077
236,pcap2DtDf39yscC,321
237,Sweetfuwamofu,69
238,Z4Q5_,267
239,misa0317neko,5
240,LINEStamp____,208
241,GN_swordbit,2316
242,hallll252525,222
243,tabosukedesu,586
244,ruipou12,1334
245,IllIIIIlIll,545
246,1201_38,245
247,BNLFX,7277
248,osbxu,621
249,yuudokuchan2727,308
250,Zenzai1231,3159
251,ME_TA2,257
252,sihainin_,86
253,motarou0505,379
254,3zPd03KRfLMn9KP,18
255,HaruAki415,421
256,jampgintama,1477
257,sweetsweetTimes,205
258,nicolefcosta,76280
259,staromega_hkame,91
260,_a_b_c_d_1_2_,166
261,e_Nsyy,710
262,ritsunnmet,854
263,sorata_minto,136
264,nazonozinbutuX,1717
265,AngelBeats1042,240
266,kskmikan02,413
267,100Watatyan1110,635
268,Gox8ecK,79
269,ca5iLJH3VtGX03S,322
270,rintan1101,588
271,chicken_lovegod,117
272,PirozhkiZaku,85
273,Lv_5q,817
274,Ke6uGkVTLKjPxzZ,825
275,senna_shin,463
276,bezitapuru_wsr,469
277,gcb8_q,2817
278,mainitinemuides,220
279,Iwentyoubad4989,360
280,kei_shos,340
281,haruponz0106,1892
282,_uoyevol,3160
283,Yuta950342191,390
284,shirorun_,738
285,rin2001_y,114
286,sushikohitsuji,43
287,4445575732495jg,305
288,Ax_To_46,757
289,ram_knnn,598
290,D0G5h,122
291,Tahi10_byakko,607
292,souge_2,105
293,_Sana_n,30
294,Amenootoa,91
295,miyama_rui,506
296,ZERO_IS_GOD2,272
297,pp4i8uva,541
298,rina_Riria,580
299,misa_iraetu,140
300,misa_iraetu,140
301,sirohq0610,96
302,komachi_tokyo_,22663
303,Natsume161,406
304,lovelive5544,82
305,Korotowa413,341
306,U83raa4,142
307,sougoyun,145
308,Touka7230,121
309,mfuuu_,469
310,_a_o_c_55,58
311,JuhoGmvXiSaBKf3,89
312,r_r_wsr,10
313,Fubuki20010810,41
314,wddga,874
315,cabosu10su,495
316,O6jLQ4wCcnn8A1x,60
317,rokuroku559,92
318,chika5855,689
319,3xp77CQYEy3eqvv,616
320,3xp77CQYEy3eqvv,616
321,fuki35913639,2343
322,mikuanasd,624
323,a_7p,1832
324,akira77545,537
325,arufanosabu,412
326,zaitakuworklife,43049
327,s79s_,6
328,4_w_W,248
329,fox_cat_guy,1850
330,suzu2631,444
331,14matsu_tanaka,350
332,ryota14114,260
333,yunayu7yu7,525
334,ikasa_ma,1458
335,S_SB_K,46
336,dksofo,290
337,Tinatsu555,788
338,Xaaaci_1582,5893
339,i81yKLV7z6hO9TD,1381
340,KENZENKENZEN,26823
341,AsunaYuuki0930,239
342,dqnig,1173
343,mentallovemi,117
344,snspro_eito,298252
345,x_x898,1478
346,monsuto_boku,2112
347,ocmvx,27
348,becy091120,449
349,Qjin_soho,66438
350,t1syo,274
351,Rirutaso2525,14
352,jOzdrY7T7GImbCB,116
353,REN__0204,12
354,jiji_96neko,58
355,kisetudan,80
356,kaitoukiri70,368
357,misotosyouyu,415
358,Ruka_Gotiusa,2047
359,ferimela,20059
360,T_K3913,1245
361,scgtrkhyg,174
362,FzTULZR1MtxIdOK,213
363,fucknfurapetino,468
364,2jLtyou,129
365,fuga0890,811
366,SR_HJK_,606
367,215kouki19990,872
368,lv_zf,1255
369,ghrS8QhLIJ4IAJW,26
370,YT89742753,761
371,83__10,192262
372,1db_,6377
373,silfu_,12
374,jxgbg590,29495
375,hisahnao,700
376,padpadjk,30
377,LuiSA_llI,943
378,rei_rei_rei_038,209
379,Delta_Guynemer,460
380,yume_old,209
381,w2arara,1402
382,kusowaro_kasu,74
383,rai43872545,1225
384,ehejdjijdj,35
385,uta_kta,102
386,Y_7Taizai,1338
387,kurokirikuroto,192
388,Fx1122999,20
389,Fx1122981,19
390,Fx1122939,17
391,Fx1122817,19
392,Fx1122811,17
393,Fx1122672,17
394,Fx1122610,21
395,Fx112256701,23
396,Fx1122555,21
397,Fx1122444,17
398,Fx1122333,17
399,Fx1122292,18
400,Fx11222222,18
401,Fx1122201,19
402,Fx1122123,17
403,Fx1122117,20
404,Fx1122111,19
405,t54t534tr3r5t3,54
406,memetyo0112,131
407,rontom_xx,332
408,castrosonidos,7
409,findplus062,1627
410,bapt02m,207
411,1_itinose_,205
412,sorantan_aozora,688
413,in_shibuya,77
414,________RuIkA__,345
415,RqD7u,679
416,r_i_n_r_i_n,384
417,krswkrs810,670
418,LnuG32mbAILuAKy,274
419,yuuya_k4f,28
420,JPTHEFUJG,868
421,__boku___,81
422,hukuann,185
423,yumiri14,809
424,Milk_milk_34,1003
425,fVUl30YKvrTP6Gs,1913
426,hyoukunazoaka,148
427,sakuuuuu1234,124
428,bringmaster_,103320
429,kagezeroTK,39
430,Haruki_kun2,788
431,hyouku1146,102
432,Botan_kun0,723
433,Zelda_chairman,2458
434,SiNi_maru,677
435,amecha_05,134
436,bot23583096,29
437,rinon_1210,836
438,ytplg04,2919
439,HatimityuLemon,2181
440,NaoE8d,34
