,screen_name,followers_count
0,diego40918143,135
1,HakiDemir17,7
2,poloespejel,8290
3,jorgemesseguer,17251
4,mundodegeografo,51
5,MAF_1274,5091
6,rojounder35,135
7,julybautister,476
8,Gmwathunga,100
9,MayoraSteven,42
10,prettytiedup20,15151
11,ederziin12,211
12,Marcos8595469,40
13,syzavel19,29183
14,Daniel93918251,149
15,Eddroca,262
16,LuisCar85828031,694
17,Tomy_gotres,78
18,medusa1_1,32
19,ximy_n,67
20,JuanPerze23,52
21,adrian_bohem,196
22,Agus70983997,4
23,AlbertQuevedoHu,504
24,xxxfrdaxxx,12
25,gazu74,243
26,vodkta,48
27,ElenaCardenasR,49999
28,KivMx,50652
29,armandoaraiza,368500
30,PaulZaragoza7,396
31,CiudadanosMor,658
32,guruchuirer,191764
33,estelambrewer,43
34,soniariverosh1,516
35,DevittRuis,43
36,Roman_Krakatau,73
37,khykikhyki1111,106
38,Reportero1965,2752
39,Joaotiagolucas4,3
40,LaAlamedaMor,14631
41,MiguelValenci10,1428
42,VidaparaAylin,239
43,Mor_en_lucha,4744
44,mirialpes,9
45,FebrianaPandu,24
46,PacoNavarreteC,81
47,Aspria_BE,349
48,LupMuhamad,7
49,Hariraya78,2
50,JuanMontes2011,1
51,cangri248,10
52,lorenaflores09,48
53,HernandezLuison,284
54,ayosoalfonso,81
55,MedievalFight,279
56,allpeim,437058
57,bonbonevent,84
58,CaritaKarina,18
59,morelossindisc,1042
60,kidekdie,75
61,_Classyhah__,71
62,ernest_lemble,15
63,hobbyr1,30
64,carloos1589,168
65,UnicCue,215
66,michelejohns0n,209
67,deeanh,9
68,daina_freaki,1
69,TruequesMorelos,131
70,MorelosMac,707
71,allanbryan3,53
72,CuernavacaSur,1322
73,JenniferKinasih,68
74,PublimailCuerna,3434
75,Hesham1355Marya,23
76,kiki_kikoo,6
77,gstarlin04,3
78,askarconk01,1
79,solociudadanos,16199
80,luishha79,208
81,satriosbond,35
82,Steppenwolf_528,1293
83,ulriek,108
84,HeksjeSh,74
85,Radio_Chinelo,1741
86,Endang_Wisastra,858
87,fathiadinarr,187
88,AA_DF,1711257
89,fiafeemuets,4
90,kevinrifandy,90
91,isela_ocabri,37
92,95Analyn,10
93,wenddeterminan,17
94,ErickMalela,179
95,LieMingx,22
96,AngieContreras3,38
97,jlgarrido37,7
98,legalgeekery,4095
99,ListriiiW4rk1t4,13
100,abangonzalez,367
101,Arfiansyah_13,26
102,idhamr,142
103,TalkToChange,387
104,9876cerrado,2395
