,screen_name,followers_count
0,feeley_frida,10
1,Noticiasdmundo_,1540
2,reishsartorius,66
3,NiktaKanuka,458
4,Kisseyyprincezz,282
5,SakuraOffice224,6
6,unicornia369,25
7,Taylor1446814,15
8,HibnerSophie,2
9,courtneynota15,2
10,nicenoelyn,48
11,karlarivera805,16
12,vivi_bea2000,3
13,paolasanchezmm,22
14,AllyGrey63,2
15,GorgeusMemories,21
16,MichelleSac,176
17,BizzleMaria1994,70
18,nayelid12206003,25
19,ximeemmb33,32
20,Camila_Bieber_A,119
21,DelphineDucos,91
22,OfficclubBieber,143
23,AMknd,1
24,chinahinds,54
25,anni_mae,154
26,anna_mahonelove,108
27,MzelleConneries,489
28,AnnieWi26927943,88
29,NuriaGmezSnchez,68
30,Legohouse_x,501
31,amber6_amber,27
32,OmarMayet,114
33,nomesopoto,154
34,AngelaMao4,150
35,onpailin1880,5
36,LiorGaming,19
37,IzabelliithaJB,23
38,peualves2011,370
39,SweetGirlStyles,11
40,DjStar4Ever,506
41,chirineseddik,14
42,MouldRobyn,27
43,GerryDirection,22
44,NikkyLory,17
45,HoranZannie,82
46,rusher4331,271
47,patty50114281,141
48,shinmonlatt,115
49,AndreaVeras_,913
50,KjunMarga,2
51,NandosandVocals,2
52,sunshineruiz70,102
53,HoranMiica,177
54,NiallsDimplesM,103
55,vejer_marta,23
56,kiralocke2,332
57,jessy_bieber13,236
58,niamhxbubblesx,82
59,HaleighLlyod123,295
60,CastelStacy,21
61,ArianaSmithDion,23
62,Louisehunt1499,46
63,CamilleBenard29,84
64,TiffanyHoran12,498
65,MizzIrdina,44
66,nadiafe55320992,126
67,Geralhoran,299
68,drewssecsivoice,342
69,Agatheapoweer,154
70,1_Andrea_2,173
71,GreHoranlove1D,40
72,nadtellaa_,88
73,ho_my_bieber,449
74,kirsty_jain,7
75,Albany_Eliza,54
76,GabrielaPastenP,15
77,GabbyhallHall,40
78,MarinaTelenti98,33
79,84_itzel,8
80,Constance62260,12
81,ValleLorri,8
82,shaneisawsome9,68
83,LovaticZY,138
84,official_manel,553
85,Esme_escamillaI,31
86,AdamRaymont,383
87,toni_annxx,18
88,ValentinaPotato,175
89,emmaanikan,3
90,TTedynka11,295
91,crazymindthings,306
92,sayeedha_i,100
93,jessica12138855,134
94,LasheaCope,8
95,DanielBlacutt,206
96,ChristianIGUP,4
97,SarLivLove,268
98,21stCenturyMobi,9
99,smilin808hapa,1353
