,screen_name,followers_count
0,Marielenacast15,3
1,KmposTopt,1
2,RubnFra87161660,2
3,DoloresLenHino2,14
4,TomasMo84749856,5
5,PlataformaPens5,46
6,ReinaOr93242411,6
7,Alexis1902151,35
8,simeonCRojasCh1,2
9,VictorAldana13,99
10,k4zSNzmXiYVF5mR,27
11,IsaChao,162
12,MartaR04755665,1
13,Ana97313559,11
14,MyriamCabral1,57
15,DonaldoGonzal13,1888
16,LuisPadilla2020,61
17,PauloLp26756257,6
18,FaustoMelgim,4
19,LorenzoAranda13,2
20,FoenaC,144
21,rcdelrio,275
22,AlexisVillama13,9
23,Sodjo6,69
24,carloswsanabria,730
25,EdgarDavidCand1,27
26,Ricky95853371,5
27,CynthiaOjedaa,60
28,javier_almada21,59
29,ArmandoPalomo12,1
30,ArlequinJoker1,5
31,FranGarcia1985,277
32,Damea15,17
33,gv4_1977,81
34,AldoCas03861856,3
35,VanezaRamirez17,65
36,CristoferZelay5,1
37,DaroCanales1,4
38,1987juandavid,299
39,MMachuca06,7
40,TotoIbarra6,19
41,BarzEdgar,9
42,franklinmonzon,20
43,VCarosimo,48
44,yunuencm,374
45,MartinC85630066,18
46,pedrorafaelgar4,33
47,perlita34344127,10
48,Edwinatorres01,134
49,Arami91445465,2
50,sbienmamonaklos,52
51,Decol791,1
52,LupitaR23461316,11
53,Frankamonzon,1
54,Nazario84594232,52
55,jvelazzquez,192
56,lendy_parra,11
57,Nelidateresaro2,6
58,CarlosG54487329,235
59,jcruizdiaz,20
60,gabrielozunac,179
61,NinoDelvalle1,18
62,Manuel78591907,25
63,Rodrigo17660976,50
64,JonattanSanche6,16
65,zully22valdez,47
66,GustavoOlmedo19,140
67,DaanNunes11,1402
68,MANOLO07572163,5
69,Rodney70830815,3
70,FabianOrtigoz,14
71,DariRuben1,2
72,Esteban25778412,4
73,Viggo56013666,3
74,oscarbe65781671,1
75,sapo_feo,92
76,Francis33146561,4
77,JoanaRamirez98,7
78,OvelarTorres,51
79,EliodoroGomez3,17
80,ArielRoa16,1
81,LaMoni57896033,1
82,EliezerOvelar,19
83,avilaantony25,19
84,Marcosd82642182,4
85,GloriaP84319361,2
86,eliasherrera33,54
87,AnyGGomez84,9
88,Gonzalo03886288,43
89,CeferinoAlbari5,2
90,MariaAv43090270,7
91,MarioMa02121992,1
92,Eduardo20013045,58
93,victorwiris85,9
94,EdgarBe52159478,3
95,CelsoEchague,6
96,Blanca83318691,3
97,Alanro_17,264
98,Thaisoladaa,175
99,xodozinhopires,159
100,JoseFra92151951,65
101,LuisOca19756344,1
102,juannatalicio,343
103,CarmenOcampos5,56
104,raquelinfran25,71
105,AlbornoMartin,3
106,bayron_lazo,35
107,cutelucy3,45
108,shihan_castro,1752
109,OlgaEsperanzaM1,387
110,EspinalWimer,24
111,Beverly06299849,3
112,AlexLopez1912,2
113,richardbauverd,4
114,Rossi23587194,6
115,francis42531499,48
116,RubenElOlimpero,5
117,maurorojos,840
118,Silvia21838603,7
119,Gabriel62500029,1
120,FedeLavezzi93,21
121,Vanessa18Marcia,4
122,Rodrigojose1984,13
123,soulguerjimenez,44
124,AdolfoBritez4,2
125,William35153621,36
126,AnahiiMarecos98,12
127,Willian74143823,3
128,GloriaP80802725,4
129,kirito_jrs,55
130,josepae07708196,8
131,3v3r_silv3ro,13
132,Mario65527797,2
133,LeitoRans,3
134,Marcos66448942,5
135,RominaA48519751,1
136,Cristhi55379714,4
137,belvega03,7
138,DiazTarcicio,10
139,ElasFerreira97,1
140,GaviGugu,1
141,Gusfaroso,312
142,JorgeAc878,133
143,DavidFis91,15
144,AlexRam80004749,2
145,vero_olazar,674
146,bordon_nery,17
147,Emildo24,6
148,gladyspaivah,140
