,screen_name,followers_count
0,watson_cath,17
1,caufcoleield,1993
2,irlisthebest,160
3,darrylosmith,19
4,RuseCS,546
5,runforlarche,245
6,BrendaKasianiuk,1146
7,mynextrace,3936
8,chabot4calgary,1160
9,arrowwoman,127
10,SpaceshipsLB,104597
11,MsLMRoberts1,6
12,LouisRielDay,424
13,sheridanprkfire,20455
14,puppysighs,8
15,runtrail2016,7
16,FDL63,1
17,trinatitus,37
18,BoylanCanada,156
19,daynjerdave995,8
20,winemad,427
21,ToolShedBeer,8789
22,treeonatree,5
23,CRAFTbeermarket,17117
24,jeanetterun,72
25,PowerAndRace,216
26,Wendelas,49
27,granvillebeer,14601
28,FunNHealthy2015,10
29,PeterRooney48,17
30,santaclausandco,100
31,ZennyNeumann,16
32,VagabondCalgary,283
33,viettasuewilson,7
34,LaraRuns,33
35,levelneville,1364
36,Ferdiyei,216
37,traceyploss,232
38,2dirtyharry,7
39,NeilDonnelly17,229
40,berkladyb,78
41,HStJean,112
42,TheMamaRuns,1637
43,davidclarke,45
44,LeslieHolth,46
45,chevy845hp,5
46,stagefab,31
47,KADeans,365
48,Grantmcr,1
49,AdamDotCom,1456
50,Tyre_94,790
51,Jimi_Zeppelin,2262
52,missyolinn,203
53,trailrunningCan,3681
54,gayladehart,56
55,papergirl29,87
56,uJUSTINcredible,5404
57,RoguesRunYYC,5
58,JanneCash,31
59,TraceyCornish2,36
60,PunchiiPromo,148
61,pisomojito,23
62,JulieJcv,388
63,AkeemRobinson,2
64,jsathome,76
65,TeamPaula_P,368
66,ByeByeDent,178
67,BlaineDamage,133
68,TheJeffTowers,265
69,Soksikert,45
70,Lovacotte,28
71,James94329856,7
72,dave_fortune,480
73,JD_MHT,2555
74,DreamTravelCAN,540
75,DaveRunner63,18
76,cogs9,125
77,carollwhyte,171
78,sethrobin,33
79,vtaylorhorses,3512
80,Winni634,41
81,IPad2_64GB_d9,65
82,KylieMccabe,13
83,fryfry1979,23
84,Jessica0805,689
85,StridesRunning,928
86,jcpollock,3407
87,riggerjon,99
88,themisianos,72
89,Soulistech,168
90,chad_guy,1054
91,powerplaygum,438
92,hootsuite,7606334
93,couponcalgary,395
94,Smart88Mall,530
95,Horsebetworld,674
96,SerialHorseplyr,2071
97,paulrunnals,221
98,themastercoach,872
99,SsecialsBUF,53
100,k8jnkns,201
101,missymac65,18
102,ChairmanDenis,174
103,BMXBikesHeaven,384
104,timtouring,473
105,danklasspill,268
106,surfstarUK,671
107,Zendevi,1650
108,cafebelge,494
109,TweetDeck,2552535
110,Northern_Wilds,871
111,loudlllo,1
112,Tlbryant22,157
113,happn_in_berlin,2254
114,happn_in_stock,409
115,happn_in_oslo,818
116,GlastoPostcards,4499
117,GioCianci,568
118,EverestBand,2786
119,craighenshaw,231
120,SAMccarley,51
121,klvana,16
122,yycblogs,1996
123,TheMime,20493
124,paulapoundstone,158717
125,KevinNolan,275
126,tweetjeff13,75
127,HabsIO,13997
128,pFindLists,5193
129,andywalker,3205
130,StockMarketData,736
131,butterscotchTV,1066
132,C_YF,566
133,TUAW,110094
134,ziver,21
135,davidhurlin,537
136,twhirl,4643
137,jhnhrpr,273
138,bookgaryvee,394
139,osen,5737
140,scubadave,1
