,screen_name,followers_count
0,DFOCommunity,413
1,evankeast,4529
2,Cryptoworm2021,1143
3,DystopianPunks,3042
4,AncestralCyborg,807
5,lasereyepunks,3107
6,Akopto83951,516
7,tonyherrera,4310
8,UrveshDev,299
9,revertfinance,1045
10,mycodotspace,752
11,MrMccoyDefi,549
12,lawyer4crypto,160
13,ic_invictus,21769
14,UnidoEP,22714
15,loisdefine,8
16,voxelgang,167
17,shillicuddy,446
18,allysonpaigexo,955
19,EnteroPositivo,513
20,aihippie,19
21,na_ramadori,130
22,TeamTabooTech,438
23,ytrAigiD,331
24,vizaw3,448
25,Arke56374430,6910
26,JeniaBark,4624
27,CJustin33845606,49
28,hashogen,512
29,ETHgas,1855
30,uPlexaCommunity,1104
31,Blockchainartex,4880
32,DefiUnderwriter,23
33,clouddeficrew,11
34,ninachinoo,500
35,CollectorshubA,3860
36,AliceolaCrypto,3802
37,louis16art,1458
38,CryptoWolfPack,16939
39,deejfi,1041
40,rariblecom,150083
41,Equisafe_io,1607
42,HuobiGlobal,354930
43,TaoDustEquity,136
44,bethwalrond,798
45,DefiDegens,1208
46,Podgurchenko,23
47,ArtemGoryunov,63
48,SexTechBand1,52
49,portal_finance,605
50,DorisGi40652201,917
51,kernra,26643
52,MatieMathews,147
53,LoraEdwardss,161
54,jeffyion,3
55,The__Gradient,140
56,BitsOfRiches,139
57,internet_dating,7381
58,vovaaa_ua,4
59,6BillionPeople,2126847
60,sigmonics,434
61,danielbarryMD,81
62,colinowilliams,607
63,get_howl,385
64,goat_capping,79703
65,AlexaKolyshkina,2
66,edspircia90,80
67,alex_pazhyn,627
68,Karbowanec,168
69,JonasClaudelin,18
70,NailerSindy,890
71,michelledaimle1,17
72,AntonKrasun,23919
73,simplesamon,27
74,vanessasilva,1303
75,matchuk_s,200
76,Mariia_Doc,3124
77,allprintedru,683
78,HdA90b9St0wTb0C,1
79,OlegAgureew,130
80,perpetualchill,540
81,MaximMax4373,14
82,Mestre_Sousa,87
83,AndreDella75,177
84,AngelinaZa_,13
85,rebelbookclub,2623
86,gowide_official,349
87,DenVoroshylov,124
88,Gonalve42849843,8
89,Vidmak,1132
90,TheUntitledVC,7
91,BetaTestingGuy,227
92,Inviita,1046
93,SvetaKruykova,82
94,andbud37,100
95,yOJXNWV5zTyRXbN,11
96,AbVukolov,2
97,poeticcapybara,106
98,imogen_ingram,203
99,bareyursoul,125
100,maxvasylets,97
101,Zappudo,625
102,caligrown90,16
103,thambo_official,480
104,mangal_company,71
105,trustmebaby,1407
106,msoutomaia,49
107,Ttwcarl,1
108,moviinn,251
109,mytripto_bybia,977
110,tanl4ka07,1
111,zmitrok80,46
112,timbardovsky,1
113,tala_kumral,178
114,marcsansms,575
115,mytriphoto,189
116,OJorgeSantos,219
117,hsdmiranda,243
118,vlasova27041904,1
119,leocfava,61
120,bmhinnawi,248
121,nicholasosei10,11
122,CyLeila,6
123,dragoibi,4
124,StrekalovaAnn,3
125,cyberien,673
126,visloukh,1
127,Blleep,47
128,popappfactory,414
129,eightMILESwide,423
130,ivanday,391
131,avzaleski,56
132,grinuova,966
133,slavavoloshyn,3
134,PAJOKREYES1,1
135,Slacknatic,287
