,screen_name,followers_count
262,dance_shomei,6995
263,rokuneko_jpn,658
264,KeyyGloxkz,2189
265,social_kitchen,1946
266,bartokbotjp,2707
267,luispolanco98,186
268,hatashi_bot,1617
269,__GOTJUICE,439
270,polyfar,2360
271,coreshinsho,3607
272,omigaku,527
273,miku_rokozmosz,625
274,wooqman,1654
275,atptic,1209
276,shanefilanhere,2
277,woman_in_revolt,278
278,takatsuka161,747
279,hashimotronika,1637
280,ozawa_jimusho,212801
281,dodoitubot,18682
282,ODAZZI,8008
283,setagaya_ldc,1976
284,cook_onakasuita,1661
285,odeconet,2
286,MCANjp,25796
287,book_and_beer,29287
288,animame_bot,96756
289,rosanyabunga,8
290,henbyoushi_bot,5455
291,dj_anzan,11040
292,higurasibooks,1003
293,peaksilence,1113
294,kaspanchi,1347
295,ayano2,19
296,takuo0811,1452
297,Qualia___,709
298,_meditations_,13644
299,OkanDoZine,308
300,chilichilita,780
301,Jerrylwens,1190
302,nishinotabi,514
303,RAHASUNA,715
304,HorimBey,1539
305,shakuchoku,1465
306,himcast,542
307,Manhattan_House,1362
308,hashimototsutom,1825
309,kannadukikaorin,733
310,higewriter,369
311,Sidney_room,151
312,kaomojicafe,41193
313,kaomojiapp,13627
314,michi78max,183
315,julunggul,3886
316,Shake_ya,111
317,CanesGen,326
318,rootsy,16007
319,sun77a,179
320,eeiiiee,202
321,LoveYaCriss,43
322,TheMime,20498
323,chikky55,862
324,ETIC_NPO,1785
325,ToruSaeki,11
326,SAY_IT_LOUD_8_7,67
327,innamixer,977
328,Fsight,9523
329,junko_in_tokyo,97
330,CalvinDuggerGBD,61
331,Yucca1230,488
332,natsumijigoku,21
333,sy_udon,200
334,OnukiMotoharu,38
335,missei57,5698
336,m_i_h_o_uchida,52
337,nhk_katano,41
338,AMEPHONE,604
339,k_watarigarasu,127
340,Yumicoco0906,107
341,cherub_chiki,183
342,BitcoinBonus,3203
343,cydica,191
344,slowlife_gifu,253
345,atomit,267
346,puma_puma,14
347,shimajiro_care,11994
348,humagri44,337
349,hiroishi_takuji,27
350,miyo_photo,3768
351,arinko_m,1305
352,TristanTzarabot,7698
353,tanemaki_jp,1089
354,socienecafe,28222
355,BONC60,205
356,hideyor,760
357,orahono,1012
358,oyakonohi,861
359,shuheikishimoto,11179
360,conveniitekuru,315
361,ragnarokshots,411
362,nkymhrn,627
363,wakatori_ouen,1667
364,tintincool,100
365,bot_recipe,346
366,NezuTown,26
367,kakko_shi,156
368,ssk_ysms,141
369,greenpost,4963
370,calmandpunk,414
371,TakagiMasakatsu,29783
