,screen_name,followers_count
0,dawndawncr,16
1,GQndu0he321n58A,2
2,cynosure2222,259
3,kenhalu,2
4,perplexedfinger,118
5,katsufry1,378
6,yun_che_0304,9
7,thank_you_apple,115
8,KryanWars,4977
9,SnowMiao,8
10,Lanbrand,6
11,campsitecooks,1911
12,XCYL1417,26
13,aprilweihung,64
14,Oselkaisea,2
15,2tLl31mp5uPtkiI,21
16,engrave77,17
17,Xin_Rui_He,30
18,TaipeiHedonist,10397
19,ootshenn,978
20,elO_Ola,338
21,sina880612,36
22,Yu_tong,270
23,Manari000,82
24,8iZxQarFmFoMPf2,131
25,ryuuzaki0123,2
26,AAUstudent,1
27,Human6947,1
28,saysyeahoo,4
29,angle69531649,48
30,annaq___,20
31,hi_kirin,19197
32,mindy11_22,14
33,yoyo3120220,989
34,hqfgsr,79
35,julyg77,30
36,RexChen229,3
37,midnight235959,8
38,Evins1333,41
39,richard_cwyo,298
40,en9_li,2
41,pcaho,34
42,DreamAsDreamer1,3
43,song_mangi09,58
44,82HOHO,14
45,Joychun_,45
46,Coding001,101
47,AppUps,942
48,poppy208209,251
49,CZ58082865,1
50,yktcat,19
51,MTkMtPOmIYn3DSc,73
52,John20278231582,99
53,Aowlcchiu,24
54,loveten12883958,14
55,tlfjlt,98
56,hanyanghsu,118
57,lujia1988,334
58,uzurrrrr,74
59,hanwei812,23
60,taiwan_jc,95
61,warmeago,109
62,sofiawu,32
63,wildskyf,258
64,hc05969379,4
65,MozinMur,26
66,missdaisy0310,34
67,leavelilyalone,2
68,Jzy008,12
69,ZwNHj5EAnXqqxYv,43
70,P3gPy,6
71,lIllIIlIlIlIIIl,47
72,chocobomars,332
73,tzjwinfcha,6
74,roadhouse_tim23,4
75,Charles76780202,5
76,zo__os,21
77,brecht2077,46
78,calmer_hypabe,146
79,bangsplatthud,29
80,StilleShan,190
81,snow272144,7
82,marksixdaisin,42
83,chhuang0123,4
84,lqOb2cNaphKlnbg,426
85,Pterephyllum,66
86,ChamgJingDe,27
87,spencer_sun,10
88,PttCodingMan,329
89,HOHOHO27466257,1
90,Aries86547608,22
91,loada2266,90
92,cannibalism27,23
93,Kkkoyt246iou,9
94,phoefoi,2
95,SilverField10,5
96,cat_CIA007,1078
97,ProgrammersBot,181
98,yukiee0127,20
99,BUYEE18467708,29
100,0Tiansin,15
101,DHarry9806,16
102,jinyan914,689
103,mvollmer1,73763
104,joeyisbest1235,103
105,DengJocelyn,39
106,ordermic,1
107,EMsrp9NGc0W1l8S,48
108,weichanblue,219
109,GA9IrlGbphWqjrj,990
110,j1992624,1454
111,YhkGJ58gjt,174
112,swhbgi,7
113,TangfurII_,385
114,sonya_uxd,16
115,michaelyleu,180
116,oniondiary,85
117,donmald0212,52
118,Taiwan0001,2
119,haveyourback_,315
120,chaoben7,99
121,w_w4m,33
122,Michael_2000_G,170
123,WolowitzAl,12
124,kuwenpen,17
125,UtBak,17
126,WB5p8F99fs3zABw,4
127,wwwzhang4,120
128,egaosei,43
129,katielovetw,2
130,xiaobaiairibi,5
131,giftfractal,13
132,jefferysac,41
133,mylxixi,133
134,yiyayouyou,1
135,Timamc866798,28
136,y_yg_ren,1357
137,immumumumu,54
138,jameswa44034503,16
139,Wennieqqq,3
140,yuubarimochi,10
141,XNXHG8PjJD8G095,91
142,uy0uy0uy0uy0,627
143,naturalizedprof,2319
144,yxiNL7qIB1RDgiR,1278
145,fading333,22
146,NmslOutdated,19
147,ZhenLiu00853542,71
148,Roy82324,62
149,buyazoo,27
150,himesama_sara,54
151,day5368,101
152,fernsoftware,728
153,sheepman1976,251
154,tynat2020,10
155,WANG201305,89
156,cCfreeCc,91
157,Alen8023,25
158,flake,49
159,joanne85326,408
160,TNT_NIN,184
161,Caltain2Caltain,84
162,Siriusjaye,30
163,LinHumi,253
164,yuibobb,55
165,leo604448,21
166,twitte2020222,58
167,mtoshing,35
168,sanv30512504,90
169,4catcatcat,128
170,alangbrarian,6
171,nathan5396,57
172,im_wower,8844
173,nnnnnnie,37
174,charlene_yu,2
175,thydungshem,1
176,vikisatzu,273
177,coxrhmokjuj,22
178,K102129,61
179,Aaron987987,45
180,huibluemmm,10
181,EasonOu2,2
182,ninfiamusou,2
183,dqMtlwVv06CM3zN,42
184,86415125,2
185,steve_tw,9
186,johanssonkatyty,68
187,Texas_exusiai,47
188,kEoa9wZdn413MYW,16
189,p21T2AW22l0Vt6v,450
190,qtlintw,19
191,sundmary,144
192,seankaixiang,71
193,Ryusei233,32
194,bkr5ellya,16
195,petetcan666,59
196,HoneyCoders,277
197,googologiism,11
198,quackooo033,10
199,whyuse99,215
200,yhc941220,918
201,egnarowl,1
202,geyao,54
203,qlife,185
204,5C9BItp2ESzvyVe,15
205,Huskyffblog,13
206,oikubunn,7
207,cz_tw,153
208,johnpupu,125
209,Mcc061835,76
210,thresh19931127,58
211,Fandayo,260
212,nicotinenme,875
213,DIYism,1452
214,lifufa1,4
215,a9aOho5hjEO39vz,135
216,cTJV081gP4exa42,2154
217,bwydlg,1549
218,uDo3ToVs9M6RNa3,126
219,xidownhanup,69
220,gg_chong,20
221,gogoafrica,65
222,PUAJL,4
223,kai8home,8
224,mangoice,542
225,qjwxsq,42
226,eo1niya1eo,7
227,Arhtee93,5
228,cyantifik,1221
229,mimifly131,2
230,s2339956,23
231,sudoer,31
232,_elegant_Ashley,1963
233,Ahfortythree,29
234,findredblue,11
235,jamie70712996,2
236,madeloveinchina,57
237,Chuckhehe,317
238,aliensahaocao,586
239,Ihaveplan00,127
240,antipodes_,56
241,ting_byul1222,213
242,lukapellar,24
243,floratear,95
244,imgoodBuu,58
245,NERO64323398,90
246,0sepmon0,12
247,kyuuichi2000,15
248,life4twice,166
249,Mochi_Luna1105,11
250,anacecherry,9
251,dodolu___,103
252,Cod3BobC,48
253,katelin923,3
254,Maoni_er,11
255,ji3g41o3fu_tw,113
256,sunwaylife,285
257,gfm83255235,11
258,Falcon70133325,28
259,kate_yufang,37
260,Tealook1,468
261,LinusChen7,68
262,pjyang11,3
263,babygoat1124,30
264,zoelin9102,12
265,r710077,38
266,LiuWenkui,1330
267,OEoun,55
268,AvinsZhang,309
269,skywaltz2,70
270,AdrianChen116,86
271,9RXyWLBjwklpxAz,33
272,jace_tw,58
273,Lee03338986,306
274,fightforhordeTW,175
275,Mclimcoon,1103
276,ian123nai321,6
277,zhuyun112801,425
278,chiahungtai1030,81
279,OoeAp2Ky7gJd9nb,2
280,felinemotie,41
281,nbpuxt,2
282,ChenLiane,56
283,MahlerHuang,98
284,LInJIND,277
285,FtjNZu0NjnkzGxy,181
286,luluonmyway,16
287,xjk112,20
288,cutetaenggu,5
289,ACiou1990,82
290,yhcyhc1111,6
291,wupk2002,755
292,coldnew,38
293,cqmyg2050,150
294,chinacjc,29
295,XXJ0sMSvl7M5CDe,43
296,Winnielove99,306
297,Elvis21120903,1164
298,aboutRSS,1163
299,ArissaChoi7,3
300,jamopenyoureyes,11
301,Storm101831721,1868
302,sachiko_lxr,397
303,jasemjim813,392
304,alanradarbanana,16
305,TopbapapaKoo,10
306,agoodlife1986,283
307,_matilda_a,978
308,lamtha0,935
309,mu_chi77,53
310,hanhan0604,308
311,GanNaSong,238
312,janeian,13
313,Frederi_B,111
314,akimhuang,24
315,kongya88,88
316,6D6cdQk5QhrAtHS,902
317,HansTTTTTTTTTF,16
318,GraceCh81574508,90
319,winkshan,64
320,GnayCraco,31
321,chisah75,11
322,Wainwainread,1124
323,blueicesir,227
324,ajunku,12
325,hanyanghsu1,12
326,Taipei705Sanxia,358
327,Oebbla,43
328,bluewhaleloveca,4
329,bokoey,183
330,kabi0414,2
331,mooyjiang,191
332,moseswcn,5
333,thomaslou0202,32
334,1eKtRPOpPnMOH2A,69
335,kiseperopero,1
336,Plus_Hongshun,26
337,LeoLinum,117
338,mikeliu93980295,46
339,chanshun10,332
340,qukan2011,175
341,Sunflow1203,26
342,gsmyh666,29
343,cma32657,186
344,hangyueliang1,82
345,jad_dev,181
346,GQ9zGZek4IhIdRM,10
347,chs0503,21
348,liaoyuansong,94
349,dzhwww,180
350,laniakea_lee,649
351,DakiniFighting,211
352,wang231329,59
353,iu_iu7,38
354,MaxYang19647666,27
355,briian,214659
356,janson101,81
357,playtoyman,1
358,Desertcold,94
359,TrynaBeLoved,100
360,AllenBrownC,104
361,guzheng2,54
362,sheye_lee,126
363,loada5566,414
364,straydx,9
365,4Dgd7YkyY1lnvjf,45
366,Larrys73392020,3
367,haohowhaohow,572
368,P0nic,8
369,gentleflyman,192
370,peirongliu,57
371,lin13706,3
372,teacup09078415,18
373,op12381932972,1255
374,XINZI1978,698
375,CHINGooo_tys,41
