,id,name,followers_count,friends_count,statuses_count,likes_count
0,7340382,CycleTyler,102,410,2085,906
1,7350392,Tom Ferrio,52,187,4928,9917
2,7360401,أفتخر,717,1612,4019,1028
3,7370442,Tim Butler,985,3890,2263,4060
4,7380442,Ron Moon,500,303,1388,7217
5,7390442,W.T.✈︎関西📸,142,503,7913,3834
6,7400442,Andrew Owen,190,137,1315,34
7,7410442,Andrea Gavurin,47,199,1117,1977
8,7420442,Fisto,583,242,28991,2716
9,7430442,Dean Baker,14,111,41,3
10,7440442,tooomanycreeps,335,1581,37222,3537
11,7450442,tvpoejo,25,100,929,2
12,7460442,Passion-Radio.COM,2171,417,1380,87
13,7470472,Théophraste Longuet,41,164,1551,3806
14,7480482,email2clint,80,168,2290,1710
15,7490502,Mark  Kaftanski,72,194,914,8
16,7500532,jonas Öquist,182,384,459,172
17,7510552,Philip Tellis,3515,1246,19613,250
18,7520572,Preston Parish,195,324,4893,3004
19,7530592,magu,413,1514,4447,7334
20,7540612,Shiyuan Deng,784,206,1711,1347
21,7550612,RaduVunvulea,759,856,1906,758
22,7560662,Jithendra Antonio,1874,4968,42982,5818
23,7570662,Dave Walker,13709,2795,37659,13651
24,7580662,Siddhartha Deshaprab,139,161,821,1562
25,7590692,Jennie,2395,4995,36087,89256
26,7600692,Joe Gray,641,751,3565,35
27,7610742,Jeremy,308,298,2117,2647
28,7620742,Gustavo Quiroz,3272,3003,6188,912
29,7630752,john kooker,93,249,1606,357
30,7640782,Azeem Azhar,39075,1568,21912,31933
31,7650782,Siobhan Quinn,4036,1273,2158,449
32,7660802,Heather Womack,82,130,67,114
33,7670812,tauntaun（奴隷商人）,787,737,286809,53088
34,7680822,Carla Lewis,238,596,149,47
35,7690852,Hamstyle,474,2556,5534,37867
36,7700892,冴えない社畜のひまみれ,198,236,55610,268
37,7710932,James Koole,57,166,361,80
38,7720932,Kevin Morgan,230,850,327,9683
39,7730962,石,91,150,4518,82
40,7740982,steveg,358,544,4930,5396
41,7751032,Callie B. Carroll,1077,2420,1109,3004
42,7761042,Euanne 💕,340,234,23892,6035
43,7771057,ゆず,40,102,20,34
44,7781062,Jamie Schofield,164,693,2480,6656
45,7791092,Breanna P.,210,374,8650,2953
46,7801102,Speedy Tables,64,258,6,8
47,7811202,Michelle Ross,360,423,1356,6
48,7821252,3GNease,110,109,310,20
49,7831252,bulleuh,63,307,1094,46
