,id,name,followers_count,friends_count,statuses_count,likes_count
0,8813822,uemura,48,119,7998,186
1,8823881,坂東慧,120,159,5044,1938
2,8833882,🙃,170,186,3088,2758
3,8843882,postmedia,141,860,2723,851
4,8853952,vickih,1388,1242,2581,1709
5,8863972,pa-redwood,27,482,0,2
6,8873982,Jeff Pierce,440,175,3033,3055
7,8883992,Alfredo Ascanio,539,2363,3102,27
8,8894072,Derek P Robertson,5792,3440,27721,10868
9,8904092,Jocelyn,325,364,8745,9744
10,8914102,Nuri Cankaya,4696,1040,2135,28
11,8924152,Melissa Cohen,276,308,2134,16
12,8934152,blujeanmomma,251,253,734,4
13,8944162,Chris Wells,362,223,7817,12
14,8954182,Lucía Caro,2169,939,8984,9933
15,8964192,IntSchTech,21,161,1,0
16,8974192,nightmare78,63,240,155,40
17,8984232,Dimos C,251,755,5528,88
18,8994242,Wayne State University,47679,5701,17363,10091
19,9004242,Juan C. Vides,217,506,791,89
20,9014292,lilfish123,31,171,415,67
21,9024342,Jason Duerr,1426,1866,11830,6197
22,9034342,Jose Ricardo,48,197,2980,219
23,9044402,Fredric Miggins,188,1034,128,212
24,9054432,assistam framing britney na globoplay,170,174,17432,1027
25,9064472,techbangalore,324,166,421,0
26,9074492,Seb van Dijk,564,830,14143,180
27,9084502,Paul Telford,191,166,5188,23
28,9094502,Dave Tremel,515,2646,14273,3239
29,9104521,Adit singh,3,152,1,0
30,9114572,Angela Kimmel,39,163,174,139
31,9124642,"Scottish Lass 😷 wear a mask, get yer jags ya bams",1690,4952,3789,9716
32,9134642,Mauricio Candamil,1993,837,17118,191
33,9144792,Michael Ballard,402,1848,7339,2966
34,9154802,Javier Frachi,1806,1063,24642,34433
35,9164852,edsongoes,78,251,600,242
36,9174872,Megan Klimen,253,681,587,170
37,9184882,Elizabeth Enders,1042,1126,4351,318
38,9194924,MANAl ♚,133,368,2640,7
39,9204932,gjurassic,295,251,460,24
40,9214932,Dr. Valerie K. Jones,498,710,1969,3623
41,9224952,A Coster,271,341,2985,245
42,9234962,thuls,71,197,490,308
43,9245072,brusmat,98,416,974,155
44,9255152,🔥 ͏r͏a͏m͏o͏n 🚀,65,273,116,189
45,9265152,Julia Dillard,4,813,5,5
46,9275242,Joe Carroll,1113,947,31085,21954
47,9285252,Mitch Featherston 🐧,415,375,26041,495
48,9295252,kash06（ジュスト）,587,1077,52149,60456
49,9305332,Guan Sin / pratamad,450,420,4229,22
