,id,name,followers_count,friends_count,statuses_count,likes_count
0,7831372,Joel Bush,340,387,360,15
1,7841372,Alexandria Phillips,16,138,0,0
2,7851372,Kika,2825,2557,54009,12193
3,7861392,Valeria Estrada,13,101,275,57
4,7871397,おみき∞Micky,123,307,2030,403
5,7881442,nac,178,355,3278,40
6,7891442,maya23,72,173,1604,10
7,7901462,Marko Plahuta,1070,1852,824,2097
8,7911462,Steindór Emil,130,357,231,12
9,7921472,Bookwyrmsart,47,133,656,1417
10,7931472,Mikael Vissing,49,106,45,40
11,7941482,Katie Farrer,713,423,1349,206
12,7951502,giorgio,195,400,11,4
13,7961522,Luli!,70,110,404,1329
14,7971572,JC,58,1709,56,6608
15,7981592,Erin Flood Fortier,473,545,2111,8
16,7991602,Gaia,257,186,608,19
17,8001632,Jennifer MacRostie,1338,593,94858,57043
18,8011702,Michael Tsai,6396,644,17141,61423
19,8021722,Rich Siegel,6684,1171,54788,20985
20,8031732,Joe Cipolla,65,124,1029,41
21,8041772,Eric Owles 🦉,2106,292,16,9664
22,8051792,るいゆ,311,233,300410,8014
23,8061812,Christian Yeung,15,109,243,124
24,8071922,Cary Agos,186,892,945,343
25,8081952,jeroenwesthof,159,160,737,8
26,8091952,Lars Burgess,202,429,640,0
27,8101982,Febby DC,36,139,345,64
28,8111999,jose carlos moreno,12,102,3,1
29,8122033,22033,0,246,4,13
30,8132052,Alex Killby,521,1113,4853,4970
31,8142062,Vaibhav Dugar,5174,295,1461,348
32,8152112,ramygabr,21,198,47,26
33,8162122,うら,487,417,32893,2286
34,8172122,Raidrz7,119,514,1964,190
35,8182152,Jenna 🍕,1050,1740,60128,24499
36,8192182,Leo Borj,912,949,9685,3301
37,8202192,A. Báez Quevedo,180,455,825,217
38,8212232,chibi_oneiros,49,153,1560,268
39,8222250,It'syahboydwayne,102,470,4,2
40,8232292,becky s,62,160,3491,936
41,8242322,Raja Indra Putra,572,2797,7141,5592
42,8252322,Hélène,906,470,9096,20006
43,8262322,Moinllieon,27,135,2386,16
44,8272322,bettercalltalal (404)500-0000,542,2121,2032,2193
45,8282322,Tyson Chaney,225,427,1950,1
46,8292342,hkkbs,394,1769,4848,3401
47,8302342,Gree,40,188,212,361
48,8312342,thagood,101,1162,568,41
49,8322392,AlwaYs REaDy & ...,16,756,395,99
