,id,name,followers_count,friends_count,statuses_count,likes_count
0,11291302,Marc,222,449,8104,2507
1,11301302,Chablis,24,140,178,10
2,11311312,Qwitter,363,113,8,0
3,11321372,Arbetov Insurance,2016,251,260,0
4,11331412,memeo,71,112,83,0
5,11341442,Redscroll Records,2866,590,6907,3962
6,11351522,Stefanie Nelsen,95,218,5269,55
7,11361522,Kimberly,53,423,6091,17807
8,11371542,matsutom0,1689,2141,6645,24544
9,11381571,rahmawati,64,101,51,0
10,11391582,Pete Underwood,35,510,344,2414
11,11401582,girino,326,252,3456,58
12,11411592,Nick Galarneau,53,125,1255,32
13,11421662,Takashi Okada,424,1210,6485,4599
14,11431702,Olorundare Segun S,23,139,77,276
15,11441712,Geoffrey Clouser,19,100,536,539
16,11451722,mjlandy ☮️ “listen then decide”,136,472,2003,2514
17,11461732,Lewis Speller,429,1196,6560,2542
18,11471742,Paul Majeski,153,586,13855,31895
19,11481792,Uyulala,179,237,11078,819
20,11491802,I Am...RisqueGlam,234,324,6668,21
21,11501812,elis65,61,1604,46,1572
22,11511822,Cynthia Tinapple,1888,205,3700,21
23,11521832,Jhosyta B.,640,493,33542,206
24,11531832,raheel zahid,49,132,464,616
25,11541852,tvt1968,5,498,24,83
26,11551852,mish lapi,336,400,9528,24456
27,11561852,Kristian Lauritsen,49,204,12,27
28,11571862,Len Dorfman,80,142,177,4
29,11581872,migk,195,808,894,520
30,11591892,'cartoon' on RedBubble.,6041,1472,26009,19981
31,11601942,No one's free until Black lives matter,774,1210,31451,59416
32,11611942,Scott DeSmet,723,1130,674,1
33,11621942,Doug Reed,38,567,251,3034
34,11631952,coliloca productions,178,383,5286,29762
35,11641992,Mariska Min-Leliveld,496,242,2612,376
36,11651992,Willis Whitlock,968,1264,2537,14
37,11661992,Joshua Derck,111,213,1126,25
38,11671992,Denae,213,147,5000,6807
39,11682002,Oleg Bovykin,93,148,571,3
40,11692002,ℝ⊗ℂ⊗ℍ⊗𝕆,99,315,6319,4805
41,11702052,Justin Mascio,137,278,3933,8153
42,11712092,craigchurchill,575,1194,588,5
43,11722102,Monte Fowler,106,170,13,0
44,11732112,Heather/Beachgrrl915,57,192,179,1
45,11742132,code_bird,3,107,5,1
46,11752132,Ale Benevento,60424,1508,73797,5831
47,11762152,Henoforever,21,202,933,4
48,11772192,Concetta,99,133,133,297
49,11782202,Sean Dodd,53,299,320,3592
