,id,name,followers_count,friends_count,statuses_count,likes_count
0,6357992,Jim Barker,469,875,18859,19
1,6368011,Aysel TIRAŞ,22,111,56,17
2,6378012,Laure,369,138,696,36
3,6388052,Alberto Jiménez,185,231,16664,107
4,6398052,Mahesh Krishnan,1364,658,3094,379
5,6408092,ぺ主,209,107,11981,495
6,6418112,Alex Page,87,310,1889,10
7,6428152,Ann Marie,259,412,1040,32
8,6438152,Kostas Kolomeetz,1248,923,3907,3373
9,6448202,anything_goes,103,136,2499,513
10,6458202,Devenish Smith,97,393,283,30
11,6468262,Diana Nuzzo,1971,2069,43092,71480
12,6478282,Nicolas Oren,67,183,93,12
13,6488282,kefir of god,3441,1269,43857,124467
14,6498322,Neil Turner,684,294,38845,66099
15,6508342,Scott R,740,213,3,5
16,6518412,𝙞𝙂𝙚𝙧𝙙,465,3689,1567,169
17,6528422,⭐ hayley ⭐,507,1956,45062,179465
18,6538472,Nick Jespers,600,519,7326,756
19,6548492,Persist and resist,282,160,27290,10453
20,6558512,Ikeda Masakazu,1721,855,19318,103
21,6568512,Vijay Basrur,1718,987,17185,11568
22,6578542,Seema Suchak,61,211,92,90
23,6588555,игорь калинин,21,253,2,21
24,6598572,Gerry,85,100,81,0
25,6608642,Action Jay 🐾,1917,2142,84849,1
26,6618672,Jeroen de Bakker 🎧,3558,1452,11179,5036
27,6628692,Olivier Levard,966,152,563,489
28,6638712,Thomas,74,185,262,2
29,6648712,Vincent Colombo,1485,4998,1510,7191
30,6658712,Naoya Watanabe,17,195,5,0
31,6668752,Allen Straith,24,296,383,0
32,6678762,Baptiste M.,963,829,4236,3242
33,6688772,Steven Tartick,3277,1405,11275,12208
34,6698772,Marcos Moret,1066,4633,4766,6670
35,6708812,Lewis Best,803,1776,12126,5970
36,6718862,amit srivastava,149,3618,138,69
37,6728902,Nancy,3,243,0,0
38,6738932,Alec Hipshear,328,571,3740,376
39,6749022,David Rodríguez,227,321,337,164
40,6759072,bear_hsu,141,409,3315,3163
41,6769112,Ted Byars,107,222,3869,1063
42,6779112,Brennie,41,294,10468,3930
43,6789112,Mats Lindgren,136,126,5698,23
44,6799132,Elona,82,396,575,990
45,6809202,Jérôme Neuvéglise,770,425,5151,2753
46,6819202,ToddHellsKitch,1284,2453,70468,16298
47,6829202,Mike Abasolo,601,124,6199,427
48,6839272,Zach,564,291,69,1291
49,6849272,Scott Hall,153,548,1339,41
