,id,name,followers_count,friends_count,statuses_count,likes_count
0,11782212,El Ucumar,15,300,464,34
1,11792222,Usman Ahmed,108,417,694,8961
2,11802232,Tiago Fidalgo,52,213,173,5
3,11812312,Xena,81,139,16341,167
4,11822312,Connie Terwilliger,2585,102,1005,127
5,11832312,mscobina,469,1058,1899,442
6,11842332,HouseofSoundandStory,884,883,3558,244
7,11852362,Roman Koellges,145,215,3675,846
8,11862402,Oliver Barreto,118,212,1255,153
9,11872422,iaiakasa,93,257,1241,592
10,11882462,Geet Purwar,446,752,556,771
11,11892482,Limephusion,555,165,5647,0
12,11902482,Rolf Luginbuehl,99,115,665,24
13,11912482,Takuru Ichigami,344,762,20,0
14,11922492,Jeff Morris Jr.,87064,1699,24048,41880
15,11932492,SHU,267,173,1553,29
16,11942492,jessebuckley,603,1124,400,12
17,11952512,Tim Mather,3055,1933,13019,3221
18,11962542,Andrew Au,1455,1142,29374,10094
19,11972542,Foxy Kazoo,244,391,3731,55054
20,11982592,daniela toledo,276,488,6461,86
21,11992612,allanchanly,76,422,324,6492
22,12002612,Mike Harper,110,127,960,441
23,12012642,Ibsan,161,722,9367,128
24,12022642,徐宗敏,53,173,2066,746
25,12032672,Mats Byrkjeland,43,185,19,22
26,12042682,Patrick Aitken,111,277,107,75
27,12052762,marencosta,2432,1195,1229,3044
28,12062772,Christian Kotschy,176,270,966,559
29,12072772,WimProot,303,983,4231,13
30,12082782,Mike Helfenbein,5227,5562,12548,25700
31,12092806,almazi,7,127,22,4
32,12102825,Adimanalah,161,148,4067,30
33,12112902,Lori Mullaney,572,943,1462,2765
34,12122942,Ryan Canterbury,121,318,2365,226
35,12132982,Carlos Santamaría B.,193,195,1313,179
36,12143012,Estefany Pineda,205,170,217,11
37,12153072,"SÍGUEME! Soy Berny Ventura, el @ClarinMx",1633,1411,3020,4558
38,12163142,Maurice Bizzarri,1143,2125,270,27
39,12173142,ほとりー,1517,917,324653,89975
40,12183142,Margo Sanger,262,271,1038,1694
41,12193152,Mauricio R. Sánchez,86,125,2077,11
42,12203252,MelTisme,111,169,161,39
43,12213262,Ξric ͜ Thɳ,141,318,1256,7
44,12223282,cwilder,0,122,18,5
45,12233316,ติ่งเกาหลี ?,334,812,3,1
46,12243331,アイウチ,160,167,4561,2993
47,12253342,Great American patriot,1276,2738,34744,18388
48,12263392,Jana Morley,231,576,4309,107
49,12273442,Amy Allen,198,378,1181,706
