,id,name,followers_count,friends_count,statuses_count,likes_count
0,8322422,Lurking Serpent,114,300,884,1375
1,8332422,める,460,637,40385,13818
2,8342422,Shane Seepersad,156,363,4853,11089
3,8352422,Javier Z,24,114,655,719
4,8362422,MG,116,338,2740,21
5,8372482,balhoff,254,283,1017,829
6,8382482,yaoyuan,33,256,345,16
7,8392482,Seiki Fabrício,296,263,1415,50
8,8402482,Matthieu V.,53,149,7323,1814
9,8412502,Gabriele Floria,173,226,287,45
10,8422542,#p,342,1055,18032,2920
11,8432552,angelinedo,10,167,10,63
12,8442552,Tekatten,221,217,594,20
13,8452632,Katherine Rice,244,1453,4180,116
14,8462652,Mark Shipley,136,288,1003,35
15,8472652,Eliksōtika Krotkaïa,717,1919,13122,29179
16,8482652,Kid KaKa,173,203,2072,6
17,8492652,Billy Lile,609,286,5482,174
18,8502662,GugaSurf,4,635,0,0
19,8512692,da ba dee da ba da,184,221,3143,81
20,8522702,Michael,39,168,2047,834
21,8532702,mhelil,27,124,180,2
22,8542742,mikewilliams,56,1012,1874,658
23,8552762,Autoxloo DMS,434,805,1239,83
24,8562772,Erre Pê,186,675,7780,10020
25,8572862,Jimmy Diaz,348,475,11744,45001
26,8583122,_,58,181,180,83
27,8593132,Josh Tubbs,1157,883,92853,51
28,8603152,bigbowl,43,312,192,42
29,8613192,Dorian Logan,481,1404,2718,187
30,8623192,Rodrigo Sensever,474,805,3893,4241
31,8633212,Akinori Yamada,223,363,12614,68
32,8643212,نهى,800,1440,15577,4027
33,8653236,بدايه شعبك يحبك,21,154,52,6
34,8663252,Robby Habans,43,104,59,0
35,8673282,Andrea D'Orio,618,1465,3731,5889
36,8683372,ecwooten,50,210,1805,456
37,8693372,zHeNNiNo,188,245,2610,11
38,8703382,藤野 幸嗣　Yuki Fujino,1936,1289,26806,2676
39,8713412,Juan Jose Flores,958,1707,4295,1124
40,8723432,Szabolcs Sulik,308,160,717,448
41,8733459,john kopra,0,149,3,0
42,8743472,wicak,1407,1418,60240,22721
43,8753472,fernanda vieira,237,188,5373,144
44,8763482,inuone,254,216,9744,1253
45,8773632,Tweetivation,53612,7040,10390,30619
46,8783692,saudinidal,3,1339,235,85
47,8793742,Stuart Gray,933,2537,15391,17008
48,8803742,infiity,134,1275,2114,26745
49,8813752,falei de vc pra minha psicóloga,410,225,12466,3493
