,id,name,followers_count,friends_count,statuses_count,likes_count
0,12764492,Louis Leano,77,240,476,129
1,12774522,Dod March,967,831,34733,1235
2,12784522,hlawz,19,123,73,0
3,12794542,Sarah Sleem,37,150,290,41
4,12804582,sofia,145,113,179,1
5,12814582,Jim Elliott,364,485,2284,2906
6,12824582,Siany Williams,436,1501,3054,3950
7,12834582,maxin,174,534,1774,1977
8,12844622,nolanryan,38,163,2,9
9,12854632,Maffioletti,221,696,8480,1652
10,12864642,Scott Nelson,105,112,500,3
11,12874672,xavijur,12,104,17,58
12,12884772,CMendoza,438,673,4202,867
13,12894782,Christa Rimonneau,168,391,285,175
14,12904782,Sehmi.Conscious,267,334,1432,125
15,12914802,Fleming College,10758,259,21148,2842
16,12924802,DrTeddy,480,651,9280,34
17,12934832,Peter Heine 🦌,2559,383,33066,28395
18,12944832,matthew bowers,285,262,1581,221
19,12954862,Hookit,7186,1716,2099,720
20,12964862,Abby Thaker,779,1185,1443,3769
21,12974862,Cybass,523,464,12697,1540
22,12984912,The Happy Pitbulls,2144,103,598,0
23,12994942,Mark Morgan,443,484,9,1311
24,13004962,Stephanie Sparer @ Home,2059,2360,52393,53738
25,13014982,Dilvsy,438,618,27147,930
26,13024982,isabela z,242,370,5538,2648
27,13034982,Lisa Mackintosh (she/her),2709,2479,6756,9589
28,13044992,なお🐮,143,1696,4047,40571
29,13055092,Manvi Drona,1551,519,4576,39
30,13065092,wjhuie,1318,3765,10745,13481
31,13075162,heekyung,301,577,458,8
32,13085202,Hironobu SUZUKI,10227,760,225774,37285
33,13095202,ninjadad,50,162,1885,10514
34,13105202,Nicholas Pepersack,174,161,5132,13
35,13115212,Shannon Burch,2182,2095,8678,670
36,13125232,Andy Brody,505,256,1748,10512
37,13135242,julian46,63,227,808,1045
38,13145242,ShesAllWrite,6161,4174,72424,89835
39,13155272,just ric,341,354,20248,7475
40,13165282,Chris Haro,450,509,3729,175
41,13175352,Froggy,54,760,539,703
42,13185352,Rich Forestano,1170,1037,28891,3356
43,13195382,SamuraiHIPHOP,473,522,25243,1773
44,13205402,mapetitechou,131,183,29,0
45,13215422,Vida Killian,1221,1211,1429,952
46,13225432,Alex Dumitru,6746,260,3346,2
47,13235442,Brian Rogers,132,312,257,7
48,13245462,DanO,571,139,2619,1
49,13255492,Rodrigo,41,647,1308,1228
