,id,name,followers_count,friends_count,statuses_count,likes_count
0,10288192,Yo,534,1451,2655,2154
1,10298212,Junichi,320,677,2736,452
2,10308242,ironfang,11,416,203,75
3,10318242,Ualas 🔬💻✝️,1046,523,42375,7413
4,10328242,Melissa Carter,129,476,5265,368
5,10338242,Maitiki,43,290,292,12
6,10348242,Amanda,465,283,1534,151
7,10358242,Web Positioning Cntr,284,324,1432,0
8,10368262,Ole Zorn ⁂,11945,733,8886,10445
9,10378302,Rheea H. Prudente,138,233,253,5
10,10388342,lenetaylor,221,646,8427,21734
11,10398432,Vote in midterms too. Never forget. 🥀,1187,1492,142594,199198
12,10408432,不露好嘶,393,550,12271,2059
13,10418482,Liam,113,571,529,1533
14,10428492,igogo,397,1833,265,316
15,10438502,ppyy,99,120,4712,438
16,10448512,Philipp Weidenhiller,75,1089,36,171
17,10458512,_kenta,879,839,55173,20449
18,10468552,Carson McKee,1843,168,315,2395
19,10478552,CogentQueer,631,1661,1475,10
20,10488592,Zack,348,756,5560,1004
21,10498622,Caroline Mytton,3077,2497,13384,47
22,10508642,Ross Brandes,141,100,3028,1394
23,10518662,juanmarketing,11624,1415,24090,348
24,10528662,joe,65,214,211,188
25,10538662,Joan Riera,234,154,411,97
26,10548722,pawan ranta,35,186,107,1079
27,10558842,はったー,450,491,25923,4493
28,10568882,Julia Jones,263,162,571,1718
29,10578952,Amanda Labrie,43,135,255,607
30,10588972,Rushabh Choksi,1537,256,2169,143
31,10599002,"No mas, ya no mas!!!",43,201,338,42
32,10609052,guxtabo,79,260,160,57
33,10619092,Milly Ramiro,237,1139,12031,19582
34,10629182,Jennifer Jo Cobb,58974,1983,13584,859
35,10639182,V,143,1276,1148,223
36,10649182,Jody Wilson,542,382,5475,1436
37,10659182,Alba Rodriguez,1068,1114,1686,172
38,10669222,get bent,120,291,7181,12577
39,10679222,Juan P. Lesmes,205,392,483,4
40,10689222,Chris,88,320,237,35
41,10699232,jelkawasaki,72,506,776,163
42,10709272,Jesús Suárez Ardid,95,262,90,30
43,10719272,Michael Woody,34,128,71,33
44,10729302,ignatandrei,1748,1695,2611,31
45,10739302,Tony Wu,420,1027,2975,121
46,10749332,aninha,137,138,4496,190
47,10759372,Tom Determan,76,329,1454,93
48,10769382,Connection Church,1374,255,2333,223
49,10779412,Jon Fingas,9063,4741,76893,137
