,created_at,tweet_text
0,2021-05-11 15:02:26,"['devot', 'some', 'resourc', 'time', 'amp', 'effort', 'into', 'the', 'art', 'in', 'your', 'home', 'stay', 'humbl', 'and', 'stay', 'strong', 'enjoy', 'httpstcoku8fgyfiad']"
1,2021-05-06 19:46:31,"['come', 'hell', 'or', 'high', 'water', 'markrobinsonnc', '2a', 'httpstcoksyrgkm9bz']"
2,2021-05-06 15:02:59,"['what', 'do', 'you', 'valu', 'most', 'in', 'life', 'choos', 'it', 'amp', 'pursu', 'it', 'relentlessli', 'beyond', 'order', 'rule', '7', 'explain', 'enjoy', 'httpstco90aofgwrb6']"
3,2021-05-04 17:48:23,"['when', 'all', 'of', 'the', 'odd', 'are', 'against', 'you', 'never', 'trust', 'your', 'faith', 'to', 'a', 'decis', 'knock', 'the', 'bastard', 'out', 'joe', 'loui']"
4,2021-05-04 15:00:02,"['when', 'you', 'tyrann', 'the', 'product', 'who', 'are', 'you', 'left', 'with', 'is', 'everyth', 'a', 'zerosum', 'game', 'is', 'there', 'alway', 'a', 'victor', 'and', 'a', 'loser', 'whi', 'is', 'there', 'so', 'much', 'divis', 'answer', 'to', 'these', 'question', 'and', 'more', 'in', 'today', 'video', 'enjoy', 'httpstcowcp9ecpbra']"
5,2021-05-03 15:00:00,"['how', 'to', 'get', 'a', 'better', 'credit', 'score', 'now', '6', 'step', 'guid', 'credit', 'sesam', 'review', 'httpstcokyrvtkww6f']"
6,2021-05-01 21:04:32,"['we', 'are', 'all', 'equal', 'miser', 'socialismin5word']"
7,2021-04-28 15:02:09,"['how', 'to', 'fix', 'your', 'life', 'that', 'you', 'hate', '5', 'step', 'guid', 'beyond', 'order', 'rule', '5', 'explain', 'httpstcovwggajmsgc']"
8,2021-04-27 15:03:16,"['fail', 'in', 'life', 'by', 'do', 'thi', 'one', 'thing', 'everyday', 'beyond', 'order', 'rule', '4', 'explain', 'httpstco2os8g3lq07']"
9,2021-04-22 15:03:15,"['how', 'to', 'fail', 'and', 'succe', 'in', 'goal', 'set', '4', 'step', 'guid', 'beyond', 'order', 'rule', '3', 'explain', 'httpstco5pimxhyifn']"
10,2021-04-21 20:31:01,"['thank', 'you', 'homedepot', 'dont', 'be', 'bulli', 'the', '10k', 'i', 'spent', 'thi', 'year', 'there', 'is', 'money', 'well', 'spent', 'httpstcox2rcs8txh4']"
11,2021-04-11 16:30:09,['httpstcoy5iwwe5f7i']
12,2021-03-19 17:04:31,"['timeless', 'jesuscultur', 'httpstcoobefjll8lv']"
13,2021-03-15 16:31:09,['httpstcodg9y7oywjw']
14,2021-03-15 15:22:11,['httpstco2wbavf9dsp']
15,2021-03-13 01:02:49,"['peac', 'if', 'possibl', 'truth', 'at', 'all', 'cost', 'martin', 'luther']"
16,2021-03-05 00:10:33,"['all', 'the', 'young', 'fella', 'here', 'great', 'advic', 'thank', 'jordanbpeterson', 'httpstcooftiuzbphz']"
17,2021-03-02 18:38:16,"['if', 'you', 'dont', 'see', 'yourself', 'as', 'a', 'winner', 'then', 'you', 'can', 'not', 'perform', 'as', 'a', 'winner', 'zig', 'ziglar', 'ziglarquot', 'zigziglarfan', 'thezigziglar']"
18,2021-03-02 18:05:53,"['ninetynin', 'percent', 'of', 'who', 'you', 'are', 'is', 'invis', 'and', 'untouch', 'buckminst', 'fuller']"
19,2021-02-05 21:11:44,"['i', 'am', 'not', 'what', 'happen', 'to', 'me', 'i', 'am', 'what', 'i', 'choos', 'to', 'becom', 'carl', 'jung']"
20,2021-02-04 00:13:12,"['httpstco97zogocvkl', 'on', 'repeat']"
21,2021-02-03 04:46:34,"['lion', 'do', 'not', 'concern', 'themselv', 'with', 'the', 'opinion', 'of', 'sheep']"
22,2021-02-03 04:27:04,"['happi', 'birthday', 'ayn', 'rand', 'thank', 'you', 'for', 'atla', 'shrug']"
23,2021-02-02 23:35:08,"['httpstconjhyjyc8tn', 'king']"
24,2021-02-02 20:15:56,['httpstco2wbavfqojx']
25,2021-01-16 00:13:53,"['feelin', 'like', 'shaq', 'in', '94', 'andymineo']"
26,2021-01-16 00:11:56,"['httpstco3ahfbfxnc', 'andymineo']"
27,2021-01-07 00:33:07,"['im', 'give', 'away', 'oneway', 'ticket', 'to', 'texa', 'dm', 'me', 'if', 'you', 'want', 'one', 'and', 'you', 'must', 'leav', 'your', 'crazi', 'calfornia', 'idea', 'on', 'the', 'west', 'coast', 'kag', 'httpstcoybcvi5rvuw']"
28,2021-01-06 01:11:31,"['sent', 'mine', 'off', 'yesterday', 'httpstcoaebjzfqrkv']"
29,2021-01-03 18:45:18,"['2021', 'listen', 'to', 'thriller', 'by', 'michaeljackson', 'for', 'the', 'first', 'time', 'all', 'the', 'way', 'through', 'ripmj']"
30,2021-01-03 18:40:19,"['jordanbpeterson', 'love', 'ya', 'jbp', 'just', 'bought', 'the', 'futur', 'author', 'for', 'myself', 'and', 'someon', 'close', 'in', 'my', 'life', 'thank', 'for', 'all', 'you', 'do', 'and', 'here', 'to', '2021', 'and', 'beyond', '😃']"
31,2020-12-26 18:58:36,"['do', 'you', 'rememb', 'when', 'you', 'join', 'twitter', 'i', 'do', 'mytwitteranniversari', 'httpstcoms0vugzdqt']"
32,2020-12-23 21:27:15,"['kidcudi', 'one', 'day', 'httpstcorleklassgx']"
33,2020-12-19 02:26:50,"['humil', 'it', 'is', 'better', 'to', 'presum', 'ignor', 'and', 'invit', 'learn', 'than', 'to', 'assum', 'suffici', 'knowledg', 'amp', 'risk', 'the', 'consequ', 'blind', 'it', 'is', 'much', 'better', 'to', 'make', 'friend', 'with', 'what', 'you', 'do', 'not', 'know', 'than', 'with', 'what', 'you', 'know', 'jordanbpeterson']"
34,2020-12-17 23:14:17,"['take', 'name', 'suggest', 'need', 'to', 'start', 'with', 'a', 'p', 'duck', 'duck', 'pekin', 'pekinduck', 'duckl', 'httpstco8jtvegdzuu']"
35,2020-12-14 18:12:23,"['fail', '90', 'of', 'the', 'time', 'therealjencohen', 'httpstco9tb9iigzyy']"
36,2020-12-10 23:11:23,"['all', 'grace', 'everyday']"
37,2020-12-08 02:17:51,['httpstcoazddlnjrkl']
38,2020-12-08 01:56:28,"['level', 'up', 'socialclubmsft', 'httpstcoohhvaqgwfl']"
39,2020-12-08 01:48:14,"['to', 'whom', 'much', 'is', 'given', 'much', 'is', 'test', 'kanyewest', 'httpstco8bezijnxan']"
40,2020-12-08 01:43:54,"['welcom', 'kanyewest', 'httpstcowxavx8riui']"
41,2020-12-08 01:38:42,"['it', 'feel', 'good', 'to', 'live', 'your', 'dream', 'when', 'they', 'were', 'doubt', 'you', 'socialclubmsft', 'httpstcoyjmdrioncw']"
42,2020-12-08 01:35:18,"['merri', 'christma', 'httpstcovef4qm6pdi']"
43,2020-11-25 23:25:00,"['nor', 'did', 'i', 'say', 'it', 'wa', 'simpli', 'put', 'someon', 'name', 'at', 'the', 'end', 'of', 'a', 'tweet', 'doe', 'not', 'impli', 'it', 'a', 'direct', 'quot', 'thi', 'is', 'a', 'phrase', 'thrown', 'around', 'recent', 'amp', 'it', 'remind', 'me', 'of', '1984', 'httpstcoi0geqnpsst']"
44,2020-11-25 23:21:12,"['alright', 'it', 'for', 'certain', '2021', 'is', 'go', 'to', 'be', 'an', 'awesom', 'year', 'httpstcoynzghbkys1']"
45,2020-11-10 20:20:08,"['speech', 'is', 'violenc', 'orwellwarnedu', '1984']"
46,2020-11-03 21:06:41,"['kag', 'abilen', 'texa', 'httpstcoegqtmwtoxw']"
47,2020-10-26 21:26:05,"['take', 'ownership', 'of', 'your', 'life', 'jockowillink', 'httpstcofcfn4w1ojt']"
48,2020-10-25 03:24:16,"['how', 'do', 'you', 'terrifi', 'a', 'man', 'that', 'aint', 'scare', 'to', 'die', 'andymineo']"
49,2020-10-25 03:23:49,"['use', 'to', 'ask', 'for', 'more', 'bless', 'now', 'i', 'thank', 'him', 'for', 'the', 'one', 'he', 'give', 'andymineo']"
50,2020-10-25 03:23:06,"['give', 'me', 'a', 'snake', 'and', 'ill', 'make', 'a', 'nice', 'pair', 'of', 'boot', 'andymineo']"
51,2020-10-25 03:22:41,"['i', 'aint', 'tryna', 'be', 'like', 'man', 'im', 'tryna', 'be', 'a', 'light', 'andymineo']"
52,2020-10-20 03:14:12,"['💚', 'best', 'new', 'of', '2020', 'jordanbpeterson', 'is', 'aliv', 'amp', 'well', '❤️️']"
53,2020-10-08 14:07:06,"['set', 'asid', 'our', 'differ', 'amp', 'live', 'in', 'harmoni', 'is', 'out', 'of', 'fashion', 'whatev', 'happen', 'to', 'our', 'polit', 'western', 'societi', 'that', 'said', 'i', 'disagre', 'with', 'you', 'but', 'i', 'will', 'fight', 'to', 'the', 'death', 'for', 'your', 'right', 'to', 'say', 'it', 'differ', 'with', 'someon', 'ideolog', 'is', 'a', 'chanc', 'for', 'you', 'to', 'understand', 'httpstcooxy7je0de8']"
54,2020-10-07 15:27:09,"['shoutout', 'to', 'eeve', 'she', 'is', 'the', 'best', 'assist', 'amp', 'help', 'me', 'stay', 'super', 'product', 'duck', 'ducksoftwitt', 'farmlif', 'farmanim', 'swedishblu', 'blueswedish', 'duck', 'pekinduck', 'pekin', 'pekinlif', 'httpstcox6ger6j12a']"
55,2020-10-01 00:15:53,"['rememb', 'to', 'throw', 'that', 'iron', 'around', 'httpstcomcvalcsvsa']"
56,2020-09-25 16:03:34,"['it', 'settl', 'im', 'move', 'to', 'texa', 'httpstcoageaw6xc6u']"
57,2020-09-24 18:07:00,"['rememb', 'to', 'count', 'your', 'bless', 'be', 'aliv', 'is', 'a', 'gift', 'httpstcofcz01hfpdo']"
58,2020-09-22 15:12:03,"['what', 'do', 'you', 'do', 'that', 'make', 'you', 'feel', 'strong', 'i', 'sweat', 'pool', 'of', 'liquid', 'befor', 'the', 'sun', 'rise', 'amp', 'appear', 'to', 'be', 'constip', 'stage', 'cycl', 'indoorcycl', 'strong', 'httpstcofbwdtfavvk']"
59,2020-09-21 16:51:02,"['what', 'your', 'plan', 'for', 'the', 'week', 'i', 'am', 'read', 'read', 'read', 'amp', 'write', 'some', 'new', 'video', 'script', 'if', 'you', 'dont', 'plan', 'out', 'your', 'life', 'someon', 'els', 'will', 'get', 'a', 'plan', 'httpstco0fwhupvr2a']"
60,2020-09-19 14:00:38,"['thi', 'is', 'my', 'reaction', 'the', 'goat', 'when', 'someon', 'say', 'im', 'a', 'male', 'feminist', 'beta', 'betamal', 'bealpha', 'alphamal', 'httpstco52cwvcet']"
61,2020-09-18 16:55:02,"['friday', 'is', 'a', 'bless', 'day', '😁', 'anim', 'farmanim', 'countryliv', 'countrylif', 'farmlif', 'farm', 'httpstco9udouwinq']"
62,2020-09-17 15:32:01,"['🇮🇱', 'httpstcomnnse0idwl']"
63,2020-09-17 15:26:14,"['my', 'daili', 'mantra', 'i', 'am', 'the', 'problem', 'amp', 'i', 'am', 'the', 'solut']"
64,2020-09-14 23:00:17,"['who', 'wore', 'it', 'better', '2020', 'thank', 'to', 'the', 'communist', 'parti', 'china', 'or', '1984', 'thank', 'to', 'the', 'thought', 'polic', 'of', 'oceania', '1984', 'georgeorwel', '1948', 'orwellian', 'dystopia', 'httpstcogq6uqrw3lh']"
65,2020-09-11 15:03:02,"['on', 'thi', 'day', 'in', '2001', 'radic', 'islamist', 'terrorist', 'attack', 'amp', 'commit', 'a', 'terribl', 'crime', 'we', 'lost', 'nearli', '3000', 'brother', 'amp', 'sister', 'on', '0912', 'we', 'link', 'arm', 'togeth', 'as', 'the', 'unit', 'state', 'and', 'began', 'to', 'rebuild', 'someth', 'even', 'greater', 'amp', 'stronger', 'let', 'continu', 'build', 'in', '2020', 'amp', 'beyond', '911', 'httpstcoq0yfpqs2qz']"
66,2020-09-11 14:55:01,"['pistachio', 'amp', 'opal', 'wish', 'you', 'a', 'fantast', 'friday', 'pet', 'petsoftwitt', 'petsofinstagram', 'duck', 'ducksofinstagram', 'ducksoftwitt', 'farmlif', 'farmanim', 'httpstcomdvj00ww1']"
67,2020-09-10 16:30:02,"['when', 'someon', 'say', 'here', 'are', 'some', 'fruiti', 'candleswax', 'tart', 'for', 'you', 'yankeecandl', 'fruit', 'scent', 'yummi', 'httpstcosgytvv2jmu']"
68,2020-09-09 16:24:12,"['feel', 'lone', 'rememb', 'to', 'reach', 'out', 'to', 'other', 'the', 'best', 'way', 'to', 'not', 'feel', 'isol', 'is', 'to', 'speak', 'with', 'those', 'who', 'care', 'about', 'you', 'thi', 'is', 'a', 'call', 'to', 'call', 'your', 'siblingmotherfatherbest', 'friend', 'you', 'havent', 'spoken', 'with', 'for', 'a', 'while', 'rabbi', 'can', 'beat', 'thi', 'lone', 'time', 'so', 'can', 'you', 'famili', 'httpstconn6gns6vkh']"
69,2020-09-09 16:18:51,"['komradesyla', 'im', 'not', 'blame', 'renew', 'energi', 'if', 'you', 'read', 'the', 'tweet', 'it', 'say', 'the', 'misguid', 'prioriti', 'are', 'caus', 'these', 'fire', '75', 'year', 'old', 'infrastructur', 'is', 'the', 'caus', 'of', 'mani', 'wildfir', 'old', 'infrastructur', 'is', 'the', 'ridicul', 'part', 'of', 'thi', 'stori']"
