,created_at,tweet_text
0,2021-01-05 22:08:51,"['i', 'can', '’', 't', 'believ', 'my', 'littl', 'brother', 'is', 'offici', 'a', 'teenag', 'happi', '13th', 'birthday', 'maka', 'httpstcovdhcwamn1i']"
1,2020-12-03 20:34:25,"['just', 'post', 'a', 'photo', 'httpstco7di6sm2qli']"
2,2020-11-05 05:02:03,"['kitti', 'found', 'some', 'sunshin', 'today', '🐱', '☀️', 'httpstcopxlcenkjh2']"
3,2020-09-25 20:23:43,"['just', 'post', 'a', 'photo', 'httpstcocpacjv3s0i']"
4,2020-09-22 03:26:56,"['so', 'you', 'should', 'watch', 'thi', 'video', '—gthttpstco0pwoja4wxc', 'it', '’', 's', 'worth', 'your', 'time', 'httpstcow3ihphdpui']"
5,2019-12-21 04:24:38,"['so', 'we', 'onli', 'made', 'it', 'through', 'two', 'film', 'today', 'but', 'we', 'had', 'fun', '9', 'more', 'to', 'go', 'starwarsmarathon', 'httpstcovqlxowbw1j']"
6,2019-12-20 15:36:45,"['it', '’', 's', 'star', 'war', 'weekend', 'time', 'to', 'introduc', 'eden', 'to', 'the', 'whole', 'stori', 'she', 'hasn', '’', 't', 'seen', 'ani', 'of', 'them', 'yet', 'but', 'obvious', 'pop', 'cultur', 'ha', 'done', 'a', 'good', 'job', 'make', 'sure', 'she', 'know', 'at', 'least', 'one', 'major', 'refer', '😂', 'i', 'love', 'these…', 'httpstco968ppcz0pi']"
7,2019-11-22 02:51:52,"['one', 'guess', 'as', 'to', 'what', 'we', 'are', 'up', 'to', 'tonight', 'rave', 'motion', 'picturesfallen', 'timber', 'httpstcou5ccuxlrg7']"
8,2019-11-20 17:48:10,"['we', 'found', 'a', 'new', 'to', 'us', 'mediterranean', 'restaur', 'last', 'night', 'i', '’', 'm', 'sure', 'you', 'can', 'tell', 'by', 'josephsouth', '‘', 's', 'express', 'that', 'we', 'were', 'excit', 'to', 'tri', 'thi', 'food', 'we', 'were', 'not', 'disappoint', 'homemad', 'pita', '😍', 'ps', 'that', 'white', 'bowl', 'is…', 'httpstcoi5urhb12ya']"
9,2019-11-13 00:04:20,"['it', '’', 's', 'the', 'most', 'wonder', 'time', 'of', 'the', 'year', 'firstoftheseason', 'peppermintchocolatechipmilkshak', 'chickfila', 'perrysburg', 'plaza', 'httpstcoodqvqwtplt']"
10,2019-10-12 02:05:42,"['she', 'is', 'in', 'kitti', 'jail', 'see', 'how', 'feroci', 'she', 'can', 'be', 'catsofinstagram', 'httpstcon6gxkukvo']"
11,2019-10-09 16:51:35,"['someon', 'is', 'happi', 'that', 'i', '’', 'm', 'home', '😍🥰😻', 'httpstcoipr8aqsymu']"
12,2019-10-05 13:05:08,"['quit', 'liter', 'on', 'the', 'road', 'to', 'oz', 'highway', 'lol', '👠👠🌈💚', 'homefromoz', 'oztoberfest2019', 'wamego', 'kansa', 'httpstco5pyjw8nywi']"
13,2019-10-04 21:58:53,"['road', 'trip', 'with', 'my', 'man', 'kansa', 'here', 'we', 'come', 'also', 'i', 'think', 'we', 'need', 'a', 'bigger', 'car', 'httpstco5yr3lvzsiw']"
14,2019-10-04 17:52:12,"['ye', 'pleas', '😍', 'opa', 'httpstcorkqsv3kqf2']"
15,2019-09-14 04:41:09,"['life', 'with', 'a', 'cat', 'quit', 'liter', 'multiplelevel', 'thegameoflif', 'catsofintagram', 'ififitsisit', 'lookmomabox', 'amiintheway', 'httpstcoorwpqs2nz5']"
16,2019-09-07 21:49:56,"['spent', 'the', 'afternoon', 'celebr', 'thi', 'beauti', 'wild', 'mommatob', 'congrat', 'aleta', 'httpstcodc14tidqvc']"
17,2019-09-07 18:15:22,"['readi', 'to', 'take', 'on', 'the', 'weekend', 'with', 'my', 'new', 'neon', 'pink', 'shoe', '💖', 'httpstcozdpikxsafw']"
18,2019-08-18 00:57:40,"['we', 'surpris', 'the', 'boy', 'with', 'a', 'trip', 'to', 'ikea', 'they', 'love', 'everi', 'minut', 'of', 'it', 'mayb', 'ikea', 'httpstcorgiaqw1j84']"
19,2019-07-14 12:34:31,"['2', 'week', 'from', 'today', 'i', 'will', 'be', 'wake', 'up', 'as', 'mr', 'south', 'i', 'can', '’', 't', 'wait', 'to', 'spend', 'the', 'rest', 'of', 'my', 'life', 'with', 'thi', 'man', '💞💍👰🏼🤵🏼💒', 'httpstcozjq7lpdn8w']"
20,2019-07-05 16:01:46,"['just', 'post', 'a', 'video', 'httpstcodicbsawlzu']"
21,2019-06-24 14:19:08,"['today', 'mark', 'one', 'year', 'with', 'thi', 'man', 'over', 'the', 'last', 'twelv', 'month', 'we', 'have', 'have', 'travel', 'to', 'michigan', 'new', 'york', 'virginia', 'and', 'florida', 'we', 'have', 'invent', 'a', 'game', 'and', 'start', 'a', 'compani', 'we', 'have', 'laugh', 'and', 'cri', 'we', 'have…', 'httpstco2q9rnbbncq']"
22,2019-06-08 22:46:41,"['if', 'you', 'haven', '’', 't', 'heard', 'yet', 'thi', 'year', 'josephsouth', 'and', 'i', 'start', 'a', 'compani', 'and', 'creat', 'a', 'card', 'game', 'base', 'on', 'the', 'wizardofoz', 'it', 'ha', 'been', 'such', 'an', 'adventur', 'creat', 'thi', 'game', 'and', 'get', 'it', 'into', 'product', 'next', 'month…', 'httpstcow4ic9w7wu1']"
23,2019-05-18 18:19:12,"['help', 'what', 'song', '’', 's', 'music', 'video', 'ha', 'a', 'girl', 'tri', 'to', 'get', 'into', 'a', 'lock', 'theater', 'get', 'in', 'perform', 'her', 'song', 'on', 'stage', 'and', 'then', 'there', 'is', 'a', 'singl', 'guy', 'in', 'the', 'theater', 'and', 'he', 'applaud', 'for', 'her', 'it', 'wa', 'within', 'the', 'last', 'few', 'year', 'i', 'think']"
24,2019-05-15 14:52:30,"['you', 'know', 'i', 'have', 'a', 'lot', 'go', 'on', 'right', 'now', 'when', 'i', '’', 've', 'been', 'at', 'work', 'for', '45', 'hour', 'and', 'am', 'just', 'notic', 'that', 'i', 'am', 'not', 'wear', 'match', 'shoe', 'today', '😵🤪😂', 'timetoslowdown', 'ye', 'fm', 'httpstcorvlakje6rh']"
25,2019-05-05 20:13:52,"['had', 'a', 'blast', 'serv', 'in', 'a', 'muddi', 'muddi', 'field', 'with', 'these', 'peopl', 'today', 'trashpickup', 'littlethingsmakeabigdiffer', 'rebelchiropract', 'watervil', 'ohio', 'httpstcogjqfvpz4en']"
26,2019-04-18 22:36:11,"['easter', 'fun', '🐰🐣🌸🥚💚✝️', 'schedel', 'arboretum', 'amp', 'garden', 'httpstcofe3w3xks7q']"
27,2019-04-12 03:44:03,"['15', 'year', 'ago', 'my', 'high', 'school', 'self', 'would', 'have', 'never', 'believ', 'i', 'would', 'have', 'thi', 'opportun', 'i', 'wa', 'excit', 'to', 'be', 'a', 'part', 'of', 'bring', 'kj52', 'to', 'lima', 'tonight', 'hi', 'cd', '“', 'it', '’', 's', 'pronounc', 'five', 'two', '”', '…', 'httpstcoex70chyk5p']"
28,2019-04-07 13:41:25,"['i', 'iz', 'water', 'bottl', 'httpstcow5cpw0cxqu']"
29,2019-03-24 15:35:22,"['celebr', '9', 'month', 'with', 'thi', 'man', 'with', 'a', 'breakfast', 'date', 'befor', 'church', '❤️🍳🥓🥞🍞❤️', 'waffl', 'hous', 'httpstcod3kl3iqouc']"
30,2019-02-11 15:03:30,"['i', 'love', 'thi', 'man', '❤️', 'saint', 'augustin', 'florida', 'httpstcojjci7qwvm5']"
31,2019-02-08 23:08:23,"['enjoy', 'ride', 'with', 'the', 'top', 'down', 'listen', 'to', 'the', 'greatest', 'showman', '🌞💙🎶💖🤳', 'jacksonvil', 'florida', 'httpstco10f9c0idpq']"
32,2019-02-08 21:37:16,"['i', 'think', 'we', 'need', 'a', 'bigger', 'cart', 'trader', 'joe', 'httpstcovtctxcldyt']"
33,2018-04-14 22:36:46,"['patthebarrett', 'will', 'i', 'get', 'the', 'chanc', 'to', 'meet', 'you', 'tonight', 'so', 'we', 'can', 'talk', 'more', 'about', 'your', 'humbl', 'drive', 'a', 'minivan']"
34,2018-04-09 21:59:59,"['brookdubi', 'couchtun']"
35,2018-04-09 16:27:23,"['last', 'week', 'interview', 'with', 'patthebarrett', 'on', 'yesfm', 'httpstco3o62hpbuvx', 'look', 'forward', 'to', 'saturday']"
36,2017-06-11 19:06:33,"['the', 'napkin', 'tast', 'so', 'yummi', 'texa', 'roadhous', 'toledo', 'httpstconwtsxtpsiz']"
37,2017-06-11 14:23:43,"['she', 'wa', 'so', 'excit', 'at', 'last', 'night', 'firework', 'httpstcoeeuzlur450']"
38,2017-05-29 23:33:52,"['be', 'silli', '❤', 'rita', 'dairi', 'bar', 'httpstco42clqpszev']"
39,2017-04-25 03:22:46,"['tire', 'but', 'not', 'want', 'to', 'sleep']"
40,2017-04-22 14:43:05,"['my', 'new', 'realiti', 'start', 'today', 'holdmejesu', 'godisincontrol']"
41,2017-04-21 17:16:56,"['sunburn', 'suck', 'redheadproblem']"
42,2017-02-27 02:32:55,"['i', 'am', 'appar', 'now', 'aunti', 'fahfe', '😍', 'httpstcojt47vtqcnq']"
