,created_at,tweet_text
0,2021-05-08 16:39:15,"['britishoakshef', 'hi', 'guy', 'place', 'an', 'order', 'for', 'food', 'earlier', 'today', 'just', 'seen', 'a', 'fb', 'post', 'say', 'your', 'close', 'yet', 'your', 'still', 'current', 'take', 'order', 'what', 'happen', 'guy']"
1,2021-05-06 11:49:37,"['finndogbgp', 'sound', 'like', 'a', 'plan']"
2,2021-05-04 16:53:55,"['rebeccaemenzi', 'love', 'that']"
3,2021-05-04 16:49:00,"['scatstips1', 'getcakedbgp', '£1098']"
4,2021-05-03 16:01:48,"['getcakedbgp', 'miss', 'the', 'postff']"
5,2021-05-01 16:50:27,"['bet365', 'just', 'spent', 'an', 'hour', 'tri', 'to', 'sort', 'an', 'issu', 'with', 'you', 'guy', 'on', 'live', 'chat', 'wast', 'of', 'time', 'got', 'nowher', 'and', 'you', 'claim', 'to', 'be', 'britain', 'favourit', 'bookmakerr']"
6,2021-04-28 13:53:40,"['getcakedbgp', 'that', 'wa', 'unlucki']"
7,2021-04-26 21:07:28,"['getcakedbgp', 'great', 'job', 'rupe', 'keep', 'up', 'the', 'good', 'work']"
8,2021-04-21 16:06:27,['httpstcohdq41z1ltj']
9,2021-04-21 07:41:45,"['paddypow', 'the', 'big', '6', 'noth', 'to', 'see', 'here']"
10,2021-04-20 15:17:40,"['gosporttomarlow', 'pinch', 'thi', 'one', '😂']"
11,2021-04-19 08:29:20,"['getcakedbgp', 'richard', 'out']"
12,2021-04-16 16:03:01,['httpstcojq2nctlclt']
13,2021-04-16 11:02:16,"['just', 'for', 'denni', 'gosporttomarlow', 'httpstcowukf6k5tfv']"
14,2021-04-14 20:59:38,"['tzee80', 'wow']"
15,2021-04-14 16:20:34,"['dgarac', 'tzee80', 'great', 'run', 'back', 'to', 'form', 'there', 'for', 'cdc', 'well', 'done']"
16,2021-04-14 16:08:54,"['geniu', 'httpstcoip6wouzrgl']"
17,2021-04-14 16:03:27,"['jdavelow', 'chesterrac', 'plot', 'away']"
18,2021-04-11 20:14:17,"['watch', 'the', 'master', 'and', 'when', 'did', 'the', 'green', 'becom', 'brown']"
19,2021-04-11 19:24:33,"['have', 'ani', 'blade', 'player', 'actual', 'made', 'a', 'challeng', 'yet']"
20,2021-04-10 14:14:32,"['shesnotamuggl', 'itll', 'be', 'differ', 'next', 'season']"
21,2021-04-10 08:37:37,"['getcakedbgp', 'go', 'for', 'burross', 'saint', '91', 'it', 'mullin', 'and', 'a', 'lucki', 'number', '7', 'along', 'with', 'the', 'luck', 'of', 'the', 'irish', 'nail', 'on', '☘']"
22,2021-04-09 19:07:11,"['gosporttomarlow', 'have', 'a', 'great', 'one', 'denni', 'with', 'mani', 'winner']"
23,2021-04-08 17:57:49,"['gosporttomarlow', 'brilliant', 'that', 'realli', 'tickl', 'me', '😂']"
24,2021-04-07 11:23:22,"['dazjacob10', 'skybet', 'yorkracecours', 'hi', 'daryl', 'who', 'is', 'the', 'most', 'competit', 'jockey', 'in', 'the', 'game', 'today']"
25,2021-04-06 15:30:48,"['getcakedbgp', 'what', 'the', 'stori', 'tomorrow', 'is', 'it', 'a', 'go', 'or', 'no', 'go', 'with', 'dave', '💰💰🤞look', 'for', 'a', 'deckchair😉']"
26,2021-04-02 21:07:22,"['tzee80', 'gut']"
27,2021-04-01 05:12:02,"['bgrupe', 'getcakedbgp', 'skybet', 'betfair', 'coral', 'for', 'the', 'hors', 'or', 'the', 'booki', '😂😂']"
28,2021-03-31 20:18:37,"['getcakedbgp', 'too', 'much', 'nah']"
29,2021-03-31 19:29:54,"['getcakedbgp', 'crack', 'day', '🥃🥃🥃']"
30,2021-03-30 18:50:09,"['getcakedbgp', 'wudashudacuda', 'did']"
31,2021-03-30 11:23:34,"['shesnotamuggl', 'ok', '👌']"
32,2021-03-30 11:22:10,"['shesnotamuggl', 'sound', 'like', 'it', 'everyth', 'ok']"
33,2021-03-30 11:20:31,"['shesnotamuggl', 'appar', 'someon', 'say', 'you', 'know', 'what', 'your', 'problem', 'is']"
34,2021-03-29 18:50:48,"['getcakedbgp', '😂😂😂']"
35,2021-03-28 20:02:04,"['shesnotamuggl', 'definit']"
36,2021-03-28 20:00:45,"['shesnotamuggl', 'we', 'need', 'to', 'get', 'our', 'match', 'one']"
37,2021-03-28 19:22:00,"['ronniemoore53', 'i', 'love', 'thi', 'era']"
38,2021-03-27 18:40:56,"['getcakedbgp', 'onli', 'think']"
39,2021-03-26 10:12:09,"['shesnotamuggl', 'and', 'didnt', 'offer', 'to', 'share']"
40,2021-03-25 19:36:30,"['gosporttomarlow', 'brilliant']"
41,2021-03-25 16:52:26,"['getcakedbgp', 'dave', 'obvious', '👍👍']"
42,2021-03-23 17:22:12,"['getcakedbgp', 'thi', 'the', 'one', 'that', 'hasnt', 'jump', 'a', 'twig', 'yet']"
43,2021-03-19 19:12:42,"['jdavelow', 'awchamp', 'oh', 'pleas', 'with', 'my', 'name', 'it', 'must', 'have', 'a', 'chanc', '😂🤞']"
44,2021-03-18 14:51:58,"['getcakedbgp', 'justic', 'final', 'glad', 'i', 'could', 'help', '😂😂']"
45,2021-03-17 10:25:35,"['paddypow', 'feellikeafavourit', 'httpstcor0jiue5znb']"
46,2021-03-16 17:45:18,"['tzee80', 'you', 'guy', 'are', 'on', 'fire', 'well', 'done']"
47,2021-03-16 11:18:46,"['finndogbgp', 'soar', 'glori']"
48,2021-03-15 20:41:25,"['myracingtip', 'mycheltenham', 'ha', 'to', 'be', 'honeysuckl', '🤞']"
49,2021-03-13 13:43:41,"['presenc', 'of', 'mind', 'hereford', '327', 'good', 'point', 'winner', 'bumper', 'form', 'look', 'ok', 'too', 'look', 'like', 'a', 'chaser', 'miss', 'the', '121', 'due', 'to', 'work', 'but', '51', 'isnt', 'a', 'bad', 'price', 'httpstco3xndn1jqkj']"
50,2021-03-12 11:42:36,"['skybet', 'requestabet', 'what', 'odd', 'for', 'valerian', 'ismael', 'to', 'be', 'next', 'perman', 'sheffield', 'unit', 'manag']"
51,2021-03-08 14:42:02,"['martinpbsmith', 'rip', 'up', 'my', 'bet', 'slip', '😂😂']"
52,2021-03-07 18:33:34,"['getcakedbgp', 'sad', 'i', 'know', 'but', 'nice', 'choic', 'of', 'wine']"
53,2021-03-05 19:11:59,"['tzee80', 'great', 'shot']"
54,2021-03-04 21:11:38,"['dgarac', 'benacurti', 'johnstonrac', 'great', 'perform', 'well', 'done', 'and', 'well', 'deserv']"
55,2021-03-04 16:19:00,"['tzee80', 'dgarac', 'fantast', 'didnt', 'even', 'see', 'it', 'wa', 'run', 'today', 'so', 'so', 'pleas', 'for', 'you', 'guy', 'veri', 'well', 'done']"
56,2021-03-03 21:39:52,"['what', 'a', 'goal', 'officialrufc']"
57,2021-03-03 18:12:48,"['finndogbgp', 'cue', 'all', 'the', 'tweet', 'ask', 'whi', 'theyv', 'not', 'had', 'a', 'dm']"
58,2021-03-02 14:59:18,"['finndogbgp', 'ill', 'take', 'that']"
59,2021-03-02 13:27:35,"['finndogbgp', '200', 'catterick', 'william', 'of', 'orang', '92']"
60,2021-03-01 14:13:20,"['racingtv', 'guarante', 'oleari', 'will', 'have', 'got', 'a', 'big', 'discount', 'on', 'hi', 'fee', 'go', 'forward']"
61,2021-02-28 17:17:45,"['do', 'you', 'rememb', 'when', 'you', 'join', 'twitter', 'i', 'do', 'mytwitteranniversari', 'httpstcouw0l7rkand']"
62,2021-02-26 11:28:34,"['shesnotamuggl', 'tesco', 'aldi', '😂']"
63,2021-02-23 17:28:23,"['finndogbgp', 'erm', 'everyth']"
64,2021-02-23 17:08:19,"['finndogbgp', 'bloodi', 'hell', 'think', 'i', 'might', 'have', 'got', 'it', '😂😂']"
65,2021-02-23 16:49:12,"['getcakedbgp', 'happi', 'day', 'cheer', 'fella', '🍺']"
66,2021-02-23 16:45:14,"['getcakedbgp', 'woof', 'woof']"
67,2021-02-23 16:36:24,"['finndogbgp', 'my', 'head', 'hurt', 'alreadi', '😂😂']"
68,2021-02-23 13:24:25,"['getcakedbgp', 'easi', 'as', 'you', 'like']"
69,2021-02-23 09:50:36,"['balnastraid', 'tzee80', 'definit', 'a', 'good', 'effort', 'under', 'those', 'circumst', 'then']"
70,2021-02-22 20:04:05,"['tzee80', 'balnastraid', 'wa', 'a', 'tough', 'race', 'good', 'effort', 'though']"
71,2021-02-22 17:31:14,"['tzee80', 'balnastraid', 'good', 'luck', 'tonight', 'with', 'coup', 'de', 'champagn', 'crack', 'young', 'jockey', 'too', '🤞']"
72,2021-02-21 11:17:50,"['getcakedbgp', 'go', 'for', 'someth', 'a', 'littl', 'differ', 'today', 'shakemupharri', 'newburi', '114', 'for', 'a', 'place', 'ground', 'and', 'trip', 'not', 'a', 'problem', 'amp', 'money', 'come', 'for', 'it']"
73,2021-02-20 20:49:59,"['gosporttomarlow', 'itvrac', 'skysportsrac', 'attherac', 'racingtv', 'well', 'done', 'denni']"
74,2021-02-20 19:20:03,"['tzee80', 'i', 'would', 'expect', 'noth', 'less', 'from', 'you']"
75,2021-02-20 19:09:13,"['tzee80', 'no', 'i', 'disagre']"
76,2021-02-20 15:48:33,"['work', 'out', 'whi', 'the', 'scottish', 'footbal', 'dont', 'feel', 'the', 'cold', 'they', 'get', 'a', 'half', 'time', 'scotch', 'skysportsnew', 'httpstcous84zkd28']"
77,2021-02-20 14:51:44,"['17djb', 'trendsbgp', 'getcakedbgp', 'i', 'doth', 'my', 'cap', 'well', 'done']"
78,2021-02-20 14:35:38,"['gosporttomarlow', '👍👍👍😂😂😂']"
79,2021-02-20 10:26:44,"['getcakedbgp', '240', 'haydock', 'ive', 'gone', 'for', 'enqard', '92', 'left', 'hand', 'track', 'will', 'suit', 'trip', 'and', 'ground', 'shouldnt', 'be', 'a', 'problem', 'think', 'the', 'trip', 'and', 'extra', 'weight', 'will', 'stop', 'the', 'favourit', 'sojourn']"
80,2021-02-19 21:48:47,"['finndogbgp', 'so', 'your', 'expect', 'and', 'nichol', 'opinion', '45', 'length', 'no', 'problem', '👍😂']"
81,2021-02-19 19:53:50,"['getcakedbgp', 'kell', 'fair', 'run', 'last', 'time', 'behind', 'ace', 'it']"
82,2021-02-19 17:26:55,"['getcakedbgp', '👂']"
83,2021-02-19 13:51:09,"['martinpbsmith', 'done', '👍']"
84,2021-02-18 19:24:26,"['jdavelow', 'awchamp', 'chelmsfordcrc', 'crack', 'effort']"
85,2021-02-18 10:01:19,"['balnastraid', 'happi', 'birthday', 'for', 'yesterday', 'paul', 'hope', 'you', 'had', 'a', 'great', 'day🤞']"
86,2021-02-16 11:14:26,"['tzee80', 'complet', 'shambl', 'but', 'funni', '😀']"
87,2021-02-16 10:24:32,"['tzee80', 'wowthat', 'crazi', '🤣']"
88,2021-02-14 19:40:54,"['multisportsguru', 'getcakedbgp', 'wa', 'the', 'info', 'good']"
89,2021-02-13 20:31:12,"['getcakedbgp', 'shame', 'about', 'lamma', 'but', 'the', 'other', 'were', 'ok', '👌']"
90,2021-02-13 13:11:48,"['gosporttomarlow', 'ijfoffici', 'injuredjockey', 'good', 'luck', 'denni']"
91,2021-02-07 10:30:02,"['gosporttomarlow', '😂😂😂']"
92,2021-02-06 18:58:51,"['getcakedbgp', 'got', 'a', 'feel', 'it', 'gon', 'na', 'be', 'a', 'great', 'summer']"
93,2021-02-06 11:27:36,"['getcakedbgp', 'ieuannnn', 'probabl', 'wouldv', 'left', 'a', 'nasti', 'tast', 'though']"
94,2021-02-06 11:23:50,"['jdavelow', 'look', 'good', '🤞']"
95,2021-02-05 19:42:46,"['gosporttomarlow', 'cheer', 'denni', 'hope', 'you', 'have', 'a', 'great', 'and', 'profit', 'weekend', '😀']"
96,2021-02-05 19:27:15,"['getcakedbgp', 'interest']"
97,2021-02-05 19:15:29,"['gosporttomarlow', 'brilliant', 'denni']"
98,2021-02-05 12:24:16,"['tzee80', 'dgarac', 'good', 'luck', 'with', 'warn', 'armi', 'today', 'finger', 'cross', 'for', 'you', 'guy', '🤞']"
99,2021-02-04 17:20:27,"['gosporttomarlow', 'erm', 'ye', 'ye', 'ye', 'and', 'onc', 'again', 'ye']"
100,2021-01-31 20:02:50,"['gosporttomarlow', 'actual', 'ye', '👍']"
101,2021-01-29 19:32:26,"['argyllze', 'brilliant', 'ride', 'that', 'zee', '👍']"
102,2021-01-29 19:31:23,"['dgarac', 'jonnypeate2', 'johnstonrac', 'fantast', 'perform', 'well', 'done']"
103,2021-01-29 17:58:45,"['getcakedbgp', 'inde']"
104,2021-01-29 17:50:55,"['getcakedbgp', '3rd', 'just', 'but', 'get', 'in']"
105,2021-01-29 15:44:52,"['getcakedbgp', 'igcom', 'that', 'not', 'good']"
106,2021-01-29 12:22:35,"['getcakedbgp', 'callumperkins6', '£2257', 'i', 'think']"
107,2021-01-29 12:19:20,"['finndogbgp', 'awesom', 'mate', '🍺']"
