,created_at,tweet_text
0,2020-12-14 20:54:08,"['shannon', 'graduat', 'fellowship', 'wa', 'establish', 'by', 'late', 'jack', 'wolf', 'and', 'is', 'one', 'of', 'hi', 'mani', 'last', 'contribut', 'to', 'graduat', 'educ', 'at', 'ucsd', 'jack', 'wa', 'a', 'truli', 'gener', 'mentorrolemodel', 'for', 'me', 'so', 'special', 'to', 'have', 'my', 'own', 'phd', 'student', 'directli', 'benefit', 'from', 'jack', 'generos', 'and', 'vision', 'httpstcoe5pytxhcq']"
1,2020-11-21 20:45:35,"['ergodicwalk', 'kamalikac', 'you', 'two', 'are', 'too', 'kind', 'i', 'can', 'not', 'imagin', 'my', 'own', 'career', 'wo', 'you', 'two', 'alway', 'push', 'me', 'into', 'cool', 'territori', 'i', 'am', 'scare', 'of', 'like', 'push', 'me', 'to', 'do', 'thi', 'on', 'twitter', 'which', 'alway', 'seem', 'like', 'an', 'alien', 'world', 'to', 'me']"
2,2020-07-15 23:54:43,"['اعدام\u200cنکنید', 'httpstcoxfeecrbcdz']"
3,2009-06-15 13:18:59,"['stopahmadi', 'obama', 'refrain', 'frm', 'commnt', '2', 'avoid', 'give', 'excus', '2', 'lble', 'the', 'protest', 'american', 'smart', 'move', 'i', 'think']"
