,created_at,tweet_text
0,2021-05-12 20:18:07,"['kingsatwestern', 'kingspolisciclb', 'kingspolisci', 'erinhannah2', 'huronatwestern', 'cdnclublondon', 'great', 'leadership', 'student']"
1,2021-05-12 14:57:06,"['lauradesveaux', 'good', 'for', 'you', 'for', 'post', 'the', 'public', 'relat', 'strategi', 'of', 'the', 'ontario', 'is', 'miss', 'the', 'boat']"
2,2021-05-12 14:53:32,"['kingsatwestern', 'kingspolisci', 'cdnclublondon', 'huronatwestern', 'look', 'forward', 'to', 'particip']"
3,2021-05-12 09:06:23,"['ctvlondon', 'bayfield', 'deepli', 'rout', 'in', 'nautic', 'tradit', 'and', 'histori', 'great', 'stori', 'scott', 'miller', 'httpstcoidcsenxk1v']"
4,2021-05-12 08:04:02,"['kingsatwestern', 'kingscampusmin', 'congratul', 'and', 'best', 'wish', 'father', 'michael', 'you', 'will', 'be', 'miss']"
5,2021-05-12 08:01:40,['httpstcotncsquxrvn']
6,2021-05-11 20:55:38,"['westernu', 'whbrown1862', 'shout', 'out', 'to', 'western']"
7,2021-05-11 15:41:41,"['bresciauc', 'agre', 'never…']"
8,2021-05-11 09:10:28,"['cchcrusad', 'ovarianrun', 'ldcsb', 'congrat']"
9,2021-05-08 17:36:32,"['staudt1', 'ldcsb', 'congratul']"
10,2021-05-08 10:31:05,"['kingsatwestern', 'ticat', 'cfl', 'westernufb', 'westernmustang', 'askdeanjo', 'congrat']"
11,2021-05-05 10:08:22,"['ctvlondon', 'the', 'provinci', 'guidelin', 'and', 'regul', 'are', 'all', 'that', 'are', 'need', 'if', 'follow', 'by', 'all', 'the', 'municip', 'to', 'tri', 'to', 'layer', 'anoth', 'level', 'of', 'agreement', 'among', 'municip', 'to', 'govern', 'beach', 'open', 'will', 'be', 'near', 'imposs', 'httpstcoilu83jonpm']"
12,2021-05-05 01:00:55,"['ctvlondon', 'of', 'great', 'concern']"
13,2021-05-04 22:53:20,"['special', 'council', 'meet', 'may', '4', '2021', 'httpstcor5wzbtnoqb', 'via', 'youtub']"
14,2021-05-03 16:00:13,['httpstcoe5irdj6llg']
15,2021-05-02 19:27:44,"['shania', 'twain', 'and', 'dolli', 'parton', 'coat', 'of', 'mani', 'color', 'httpstcot2qifuelpq', 'via', 'youtub']"
16,2021-05-01 21:24:39,"['andrewpaino', 'kentuckyderbi', 'nbcsport', '👍']"
17,2021-05-01 09:39:57,"['hppublichealth', 'thank', 'you']"
18,2021-04-30 17:00:12,"['westernu', 'congrat', 'everyon']"
19,2021-04-30 12:00:52,"['ctvlondon', 'while', 'i', 'disagre', 'with', 'the', 'restrict', 'of', 'golf', 'cours', 'i', 'total', 'agre', 'that', 'doe', 'who', 'defi', 'the', 'law', 'should', 'face', 'the', 'consequ']"
20,2021-04-30 11:31:55,"['lynn', 'novick', 'and', 'ken', 'burn', 'discuss', 'the', 'controversi', 'ernest', 'hemingway', 'and', 'httpstcoi3o8dm0hcd', 'via', 'youtub']"
21,2021-04-29 16:40:31,"['johnsonneilg', 'lhsccanada', 'mlhealthunit', 'keep', 'it', 'up']"
22,2021-04-29 16:38:20,"['ctvlondon', 'critic', 'time']"
23,2021-04-29 11:40:02,"['kucalumni', 'kingsatwestern', 'time', 'to', 'reconnect']"
24,2021-04-29 11:39:11,"['lfpress', 'fordnat', 'about', 'time']"
25,2021-04-29 11:29:32,"['happi', 'intern', 'danc', 'day', 'httpstcozsrg3on133']"
26,2021-04-29 09:05:37,"['kingsatwestern', 'congrat']"
27,2021-04-27 13:55:52,"['lfpress', 'randyhilli', 'not', 'help', 'matter', 'at', 'all', 'he', 'is', 'culpabl', 'for', 'break', 'the', 'law']"
28,2021-04-27 13:54:36,"['ctvlondon', 'amaz', 'that', '’', 's', 'the', 'spirit']"
29,2021-04-27 09:19:56,"['get', 'your', 'vaccin', 'shot', 'what', 'is', 'your', 'favourit', 'tune', 'httpsopenspotifycomuserspotifyplaylist37i9dqzf1dwx5zczexka9usimzaqgiys3kqxhafe6dyrg']"
30,2021-04-27 07:39:00,"['lisaslisson', 'httpstcod0tkkrswn2']"
31,2021-04-27 07:36:23,"['lisaslisson', 'westernu', 'congrat']"
32,2021-04-26 20:43:46,"['am980new', 'great', 'strategi', '👍']"
33,2021-04-26 19:15:31,['httpstcon6i90vvhib']
34,2021-04-25 15:36:16,"['whi', 'have', 'rule', 'if', 'not', 'enforc', 'httpstcoek0edwbmbv']"
