,created_at,tweet_text
0,2021-05-07 02:41:51,"['just', 'post', 'a', 'photo', 'south', 'austin', 'httpstcozdg1qjedc']"
1,2021-05-06 02:25:19,"['happi', 'garden', '\U0001fab4☀️', 'garden', 'hillcountrylif', 'chard', 'amateurgarden', 'rainbowchard', 'green', 'plant', 'txgarden', 'hillcountrylif', 'hillcountryrealtor', 'southwestaustin', 'hillcountrybrok', 'jennsalladay', 'southwest', 'austin', 'httpstcoe5ctnazggl']"
2,2021-05-01 21:46:19,"['just', 'post', 'a', 'video', 'east', 'austin', 'austin', 'httpstcowrvubchpxk']"
3,2021-04-27 12:45:24,"['dad', 'so', 'hard', '💪🏻🦸🏼\u200d♂️', 'at', 'the', 'bu', 'stop', 'httpstco4sx4nesk1b']"
4,2021-04-24 17:58:23,"['just', 'post', 'a', 'photo', 'drip', 'spring', 'texa', 'httpstco1hqc80smwr']"
5,2021-04-23 14:01:40,"['still', 'tri', 'refi', 'or', 'buy', 'now', 'is', 'the', 'time', 'as', 'rate', 'drop', 'below', '3', 'again', 'httpstcolkfuqnrnrp']"
6,2021-04-21 15:30:42,"['with', 'price', 'up', '19', 'and', 'less', 'than', 'two', 'week', 'of', 'inventori', 'we', 'just', 'went', 'bigciti', 'as', 'the', '11', 'largest', 'citi', 'in', 'the', 'us', 'are', 'we', 'in', 'a', 'bubbl', 'no', 'job', 'growth', 'stricter', 'lend', 'standard', 'and', 'land', 'to', 'develop', 'support', 'thi', 'growth', 'httpstconc15eqntpp', 'httpstcozqhw2sxwkq']"
7,2021-04-15 16:47:17,"['just', 'post', 'a', 'photo', 'south', 'austin', 'httpstco4sak9edtcg']"
8,2021-04-09 21:34:25,"['just', 'post', 'a', 'photo', 'austin', 'texa', 'httpstcoeaxcgswlap']"
9,2021-04-07 15:18:05,"['just', 'post', 'a', 'photo', 'east', 'austin', 'austin', 'httpstcoqe1wgagtqa']"
10,2021-04-02 20:31:32,"['just', 'post', 'a', 'photo', 'travi', 'height', 'httpstco1fpdyugeqk']"
