,screen_name,friends_count
0,AskPS_ANZ,19
1,PickUpAliaColin,113
2,waffle_drone,60
3,WhiskyOnMyMind,252
4,pax,5
5,maydayheyyay,57
6,cwgabriel,40
7,playthornwatch,8
8,PAXAus_TT,49
9,paxaus_lines,9
10,rkhoo,33
11,TychoBrahe,42
12,pvponline,387
13,Bardic_,274
14,tonyreypak,343
15,WildStarWiki,98
16,StephanFrost,1558
17,ColettePatterns,1278
18,WildStar,102
19,patternreview,1400
20,ProfPincushion,36
21,ShaneAdamczak,1580
22,thejonbennett,745
23,charlescomedy,601
24,ActuallyNPH,157
25,AlanTudyk,612
26,WinnipegFringe,371
27,MayandAliaDo,108
28,sciencecomic,3269
29,kerithfanclub,355
30,BlackHoleAus,213
31,AbbyHoward,207
32,Alancumming,353
33,neilhimself,974
34,actuallyharry,524
35,ErikaMoen,1
36,katiejrice,655
37,SpeakEasyNTH,508
38,eugyeene,192
39,TheTweetOfGod,1
40,AngryOrc1,5352
41,NathanFillion,610
42,Hamface,294
43,Ricky_Wal,440
44,SirPatStew,212
45,veryneant,293
46,tabletop,57
47,popupplayers,1079
48,hitRECordJoe,482
49,GW2Guidez,264
50,gonzosmoonwomb,22
51,PAXAus,234
52,feesable,6780
53,WesSnelling,195
54,MeowTopia,191
55,NewFatLadies,63
56,GeekandSundry,2191
57,davenlamb,621
58,GuildWars2,193
59,drbrowncomedy,304
60,mr_jonathon,171
61,rickygervais,1506
62,andymancini,98
63,TheatreCartel,242
64,JamesAlexWray,234
65,TheatreNetworkA,1290
66,snafutheatre,423
67,BeauMcCafferty,1616
68,SuitcaseRoyale,203
69,mkatheatre,816
70,butterflyclub,528
71,McKenzie_Ben,4597
72,richardthewatts,2184
73,poetlaureatetn,845
74,MalthouseMelb,1298
75,LaMamaTheatre,2215
76,_MarkNunan,320
77,OttoRot,1075
78,thinkgeek,216603
79,TripodActual,59
80,Wizards_DnD,648
81,theJAargument,144
82,sandeepparikh,467
83,amandapalmer,1920
84,PennyArcadeFeed,11
85,colininmelb,139
86,BrieMacnish,459
87,timminchin,519
88,stinabel,303
89,wilw,476
90,DaveTheGame,480
91,geeksdreamgirl,285
92,muse,10
93,erinvoth,180
94,petrakalive,497
95,listoperators,410
96,johnbonbailey,735
97,mellisdesigns,316
98,MosDeef,249
99,ndubberley,485
100,emsexton,917
101,MoniqueSchafter,1171
102,vaguelym,2224
103,kipslife,353
