,screen_name,friends_count
0,JohnCleese,247
1,NeuvanaLife,126
2,750words,2
3,SoundCloud,18193
4,michaelthaber,1137
5,tahlraz,2711
6,RadNet_Inc,128
7,JackieALawlor,752
8,yourbreathspace,137
9,fiveminutecoach,306
10,deedle6524,387
11,alaindebotton,2004
12,cleanlanguageNL,182
13,CleanCoachingPL,12
14,nntaleb,1187
15,ocrahope,4130
16,inesolza,672
17,KodiakAvenue,2778
18,NancyDoylePsych,3945
19,cultureQs,85
20,mjglauser,4348
21,ajamyx,15694
22,chrismoorelive,22310
23,radu_seuche,2190
24,GeniusRaviraj,97
25,StartupGrind,1031
26,OnlineCoursez,56042
27,MG_Leadership,10809
28,EYCToday,1928
29,ryan_shelley,19229
30,HollyAnnBurns,17968
31,SandraJClayton,25058
32,StuMcLaren,1073
33,theintercoach,3693
34,wrobertsfood,90716
35,SerenityVista,26544
36,BrettBaughman,9042
37,BlogAid,6823
38,recetasthermomx,63
39,CJ_Brough,2251
40,SubstanceForYou,39455
41,LaurieHillis,415
42,NateMaingard,876613
43,lightling,7312
44,CyndyCecilBragg,2163
45,pennyclean,39
46,courosa,75972
47,NewYorker,381
48,jawndotnet,4998
49,rogerhamilton,678380
50,JeffreyHayzlett,453374
51,organichat,9940
52,maryannawright,772
53,leraboroditsky,53
54,paulbloomatyale,461
55,VukovicNikola,1841
56,GeoffNunberg,694
57,PostcardActivsm,1462
58,Neurophilosophy,241
59,wdeal,525
60,GerardSteen,324
61,OUPAcademic,3377
62,turnermarkb,47
63,redhenlab,12
64,DinaSadoriniou,2969
65,rkasper,7658
66,AbbyNrgHealing,8154
67,tweetbot,4
68,tapbots,5
69,KP_Kelly,196022
70,blab,16
71,MurrayNewlands,1222289
72,Welly_Marshall,139005
73,DrPaulDePompo,6364
74,SiriouslySusan,1530157
75,EXAGolo,31476
76,heyginasena,441
77,GilbertLiz,602
78,ML_x_ART,157
79,kjcoach,6479
80,EvaGregory,25346
81,Cogitarian,554
82,WardPlunet,109524
83,FailsafeNetwork,74
84,DareWellness,1176
85,JoeFindsTalent,2532
86,TheDataAgent,368
87,kencaillat,484134
88,DearAnnMarie,6812
89,cleanconf,36
90,Otterology,1440
91,TheBeakSquawks,21086
92,CroftEdwards,210076
93,KarrieLouise,835
94,ConsultingNao,493
95,Geoffdx,692
96,VixenDenBoudoir,46
97,thegrid,808
98,everydaycarry,60786
99,benlandis,1595003
100,Deeizzie,640
101,mariedelaney1,1249
102,PathmindAI,3549
103,naturalgenetic,24808
104,_krisjack,278
105,jurafsky,292
106,AndrewYNg,559
107,JoshuaISmith,13102
108,stanfordnlp,98
109,oakgrowing,1815
110,patosins,1073
111,pinpointtarget,37625
112,colortheory,1538134
113,agilesensei,3702
114,LipiBagum,893
115,BeWhoYouAre,12400
116,ebmartin70,8890
117,jakammins,3241
118,KateNasser,36994
119,JesseLynStoner,9154
120,JanBrause,2240
121,LindaAspey,2297
122,GladeanaMcMahon,929
123,stephenpalmer,13314
124,flash_others,4428
125,DavidHoffeld,37797
126,booklaunchbiz,1216
127,chescaleigh,2662
128,KayliBarth,995
129,degraal,377
130,naturalhealth22,3274
131,ninapriceLAc,1126
132,TheCooksCook,623505
133,cyberpr,41995
134,BrewerVASocial,57808
135,JeremyScrivens,133977
136,MikeLehrOZA,47228
137,abattis18,25211
138,RealNLPTraining,684
139,IanMcDerm0tt,338
140,rdilts,9
141,k_ravlani,21
142,FuturistDroid,11545
143,ProsperosWorld,3292
144,jinjan7email_w,305
145,nopain3,729
146,hearingtrumpet,327
147,LynnBuckledee,1732
148,karendunbar147,16126
149,AphorismFinland,1797
150,Carolin93969912,128
151,ifrane32993329,757
152,EllenHCorr,26
153,KopeSandy,38
154,ContempTraining,33
155,SueFertility,297
156,MaliAndJoe,23371
157,KilobyCenter,1435
158,CRC_SantaCruz,105
159,Attn_Grabbers,1787
160,ScozzariFrank,127425
161,jasonchumusic,2686
162,Daniel_Kudro,152
